DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_39,subject_40,subject_41,subject_42,subject_43,subject_45,subject_46,subject_47,subject_48,subject_49
62,35.0,3.0,1.0,-0.071,0.839,-0.493,0.423,-1.320,-0.165,-0.776,0.818,0.389,-1.039,0.978,-0.441,-0.773,1.025,-0.455,-1.335,-0.350,-0.237,1.047,-0.170,0.362,-0.050,1.083,1.075,0.135,1.892,-0.167,-1.194,-0.347,1.095,-0.480,1.154,-0.157,0.504,0.238,-0.162,1.184,-1.982,-0.255,-0.356,-0.860,0.136,0.038,-2.449
63,6.0,1.0,17.0,-1.043,0.646,0.522,-2.414,0.252,0.244,-0.255,2.031,-0.787,-1.285,-0.104,-0.186,1.110,1.051,1.228,0.969,0.146,2.143,-0.994,0.370,1.446,-0.422,0.497,1.156,-0.438,-0.811,0.579,0.257,-1.101,0.434,-0.486,1.053,-0.316,-1.007,0.865,-8.180,,,,,,,,
64,19.0,9.0,1.0,0.612,1.334,1.708,-0.651,0.892,-0.180,0.285,1.012,-1.271,-0.972,-0.220,-0.791,0.926,1.107,1.042,1.870,-0.993,-0.414,-1.246,0.432,-1.929,-0.968,-0.375,0.040,1.029,0.621,0.606,0.987,-1.663,0.519,1.012,0.397,-0.263,-0.102,-0.563,-1.609,0.665,2.268,1.858,0.734,0.339,-0.677,0.244,-1.668
65,12.0,3.0,1.0,0.704,0.871,2.846,-2.572,-0.904,-0.502,-0.278,1.253,0.343,-1.190,0.672,-0.885,-0.611,1.604,1.164,-3.107,-0.504,1.083,0.286,1.185,0.636,-0.013,0.406,0.276,-2.050,1.147,-0.402,0.012,0.697,-0.617,1.005,1.009,-0.302,-0.983,0.587,0.184,0.843,-0.812,-0.021,-0.323,-0.157,0.065,0.813,-0.204
66,31.0,9.0,1.0,-0.042,-1.075,0.139,-0.644,0.646,1.111,1.229,0.514,-0.208,-0.554,0.877,0.479,2.400,0.740,0.817,0.309,-0.836,-1.278,-1.081,0.392,0.989,-0.630,1.100,1.047,-0.203,-0.677,1.219,-1.024,-1.609,0.022,-0.087,0.022,-1.434,1.079,-0.512,-0.207,0.391,0.213,1.221,-0.921,-0.041,-0.759,-0.542,-0.809
67,6.0,2.0,1.0,0.082,0.406,0.900,0.805,0.156,1.239,-0.366,1.575,-0.120,-0.825,0.727,-0.197,0.956,0.247,-0.585,1.438,0.201,0.298,-0.987,-0.156,0.370,-0.998,2.014,-1.262,-2.226,1.112,-0.261,0.033,0.006,0.232,1.625,-0.448,0.088,0.724,-1.091,-0.819,0.996,-0.590,0.574,0.849,-1.003,-1.092,0.042,-0.864
68,28.0,7.0,1.0,0.507,1.221,-0.028,-1.192,0.551,0.662,-0.228,0.999,-1.375,-1.907,0.949,-0.209,0.143,0.550,0.788,0.113,-0.315,-1.180,1.969,-0.149,0.868,0.092,3.206,0.163,-1.763,2.660,1.607,0.695,-3.110,0.857,0.577,-0.593,0.149,2.383,-0.243,-0.231,0.680,0.752,2.219,1.496,-0.204,-1.685,-0.242,-1.859
69,14.0,1.0,1.0,1.419,1.617,-0.102,-0.715,-0.445,0.308,-0.013,0.522,-0.799,-1.682,1.030,0.098,0.014,1.099,-0.388,-0.238,-0.336,-0.133,0.116,1.808,1.153,-0.307,1.655,1.589,0.384,1.221,1.429,0.466,-1.326,0.036,-0.254,0.451,-0.146,0.927,0.583,-1.982,0.327,0.518,0.052,-0.341,-0.063,-0.418,0.111,-0.426
70,35.0,2.0,1.0,0.233,1.048,1.708,0.042,-0.298,0.694,0.326,1.207,-1.492,-0.407,-0.217,-0.939,1.420,1.058,0.365,-0.336,-1.036,0.639,0.999,0.547,1.332,-0.533,0.133,0.250,-0.368,2.278,1.905,-0.051,-1.550,-1.040,1.153,-0.102,0.955,0.520,-0.144,-1.028,0.452,-0.166,-0.182,-0.294,0.448,-0.935,0.520,-0.708
71,18.0,6.0,1.0,-0.798,-0.219,2.023,-0.234,-0.240,0.490,1.430,0.340,-0.873,-1.020,0.199,-0.443,0.932,0.431,-0.851,0.679,0.037,1.201,1.251,-0.012,0.968,-1.364,0.362,-0.418,-2.357,-0.375,0.996,0.263,-0.250,0.833,0.977,0.654,-0.163,0.281,-0.352,-0.412,0.338,-2.179,-0.483,0.516,0.056,-0.665,-0.318,-1.468
72,5.0,9.0,1.0,-0.371,0.588,1.115,-0.731,0.308,1.187,-1.015,0.170,-0.003,-1.276,1.083,-0.578,1.143,1.064,1.614,0.025,-0.159,0.706,0.549,0.982,-1.094,-1.779,1.027,0.257,-1.326,-0.018,-0.588,1.117,-1.180,-1.662,0.984,-0.282,-0.549,0.858,-0.140,-0.426,1.062,1.119,-0.471,-1.422,1.501,-0.915,0.070,-0.816
73,19.0,1.0,1.0,1.094,0.511,-0.379,-1.817,-0.015,1.769,-0.257,0.971,-0.984,0.455,-0.597,0.719,0.862,0.516,-0.787,-0.007,0.202,0.816,0.750,-0.463,-1.138,-1.642,1.376,0.290,1.505,0.717,-1.430,1.101,-0.175,0.385,-0.389,0.404,-0.237,-0.176,0.190,0.800,-0.137,1.941,1.482,1.251,-0.514,-0.472,0.560,-0.794
74,10.0,5.0,1.0,0.630,0.533,1.359,-2.315,-0.501,-0.701,-0.035,1.031,0.065,-1.922,-0.124,0.138,1.727,-0.016,1.665,1.521,-0.102,-0.974,0.467,0.305,1.547,0.172,0.191,1.864,-1.548,0.414,-0.009,-0.744,-0.158,-0.520,1.870,1.450,-0.811,-0.832,-0.182,-0.666,1.631,0.721,0.714,-0.321,1.025,0.124,0.513,-0.019
75,1.0,10.0,1.0,-0.372,-0.607,1.149,-0.652,-0.123,2.127,0.536,0.818,-0.625,-0.642,-0.867,-1.632,0.193,0.668,0.461,1.364,0.099,0.000,0.156,-0.574,0.500,0.452,1.714,1.111,-2.602,3.299,2.872,0.128,-1.985,1.224,0.622,-0.040,-0.512,-0.858,-0.004,0.174,-0.130,-1.362,0.246,-0.118,1.172,0.435,1.272,-0.572
76,31.0,2.0,1.0,1.416,0.647,-0.117,-0.984,-1.379,1.507,1.095,-0.447,-0.743,-2.025,1.802,-0.209,-0.021,0.487,0.996,0.824,-0.388,0.930,1.736,0.273,0.979,-0.282,1.914,0.814,-1.533,0.433,0.561,0.444,1.228,-0.158,0.009,1.177,-0.260,-0.183,-1.136,-0.006,1.160,0.306,2.014,0.895,0.644,0.066,0.592,-1.445
77,4.0,10.0,1.0,-0.870,2.054,-0.445,-0.387,-0.812,-0.054,-0.363,2.327,0.550,-3.526,0.377,0.461,0.836,0.118,0.329,0.802,-0.574,-0.101,-0.295,0.286,2.290,-0.509,0.966,-0.082,-1.597,1.391,0.445,1.892,0.211,-1.286,-0.767,1.435,-0.542,1.065,0.313,0.473,-0.047,1.606,0.356,-0.668,-0.259,-0.060,0.835,-0.366
78,24.0,7.0,1.0,0.492,1.153,1.378,-2.112,-0.499,0.378,-0.985,-0.023,-0.652,-1.570,0.405,-0.101,0.815,0.839,0.256,0.457,-0.366,-0.091,-0.239,0.513,0.575,-1.325,1.006,-0.425,0.350,0.812,0.805,1.207,-0.042,1.063,1.595,-0.500,-0.766,1.746,-0.293,-0.600,1.101,1.110,-1.129,0.111,-0.181,0.551,0.774,-1.182
79,28.0,6.0,1.0,-0.483,-0.818,0.037,-1.022,0.562,1.118,-1.406,0.272,-0.454,1.219,0.208,-0.659,-0.057,1.590,0.093,-0.112,0.263,-2.324,0.113,1.978,0.234,-0.823,-0.050,0.495,-1.295,-0.675,0.355,1.103,-0.682,-0.367,0.352,0.135,1.289,-0.110,-0.112,-0.859,0.636,0.377,0.166,-0.814,-0.728,-1.053,0.562,-0.979
80,19.0,7.0,1.0,-0.466,0.375,-0.564,-2.021,-0.657,0.578,-1.406,1.602,-1.477,-1.536,0.550,-0.525,1.367,0.711,-0.438,-0.355,0.582,0.539,0.285,-0.132,0.268,-0.579,0.719,1.436,-0.475,-0.198,1.114,-0.111,-2.608,1.169,-0.708,0.666,-0.257,0.595,-0.727,0.527,0.535,0.455,1.442,1.730,0.704,-0.204,-0.044,-1.341
81,1.0,1.0,1.0,0.830,0.987,2.217,0.052,-0.446,1.725,0.831,0.463,-0.043,-2.155,0.636,0.037,-0.152,2.299,2.358,0.282,0.286,0.593,-1.398,0.975,0.603,-1.233,1.010,1.924,-0.832,0.204,0.050,0.175,-1.185,0.962,1.142,0.852,-0.122,0.669,-0.785,-0.408,0.958,-0.717,-0.202,-0.616,1.137,-0.963,-0.274,-0.781
82,7.0,6.0,1.0,-0.528,-0.267,-1.083,-0.010,-0.413,1.130,-1.443,1.516,-0.116,-1.950,0.420,-0.437,-0.024,1.251,0.197,1.835,0.081,0.622,-0.031,0.431,0.025,0.149,-0.215,0.834,-0.065,-1.070,0.585,-1.652,0.204,1.452,0.931,0.750,-0.875,0.252,-0.574,-1.635,1.375,-0.939,-1.199,-1.303,0.109,-1.431,0.026,-0.287
83,6.0,5.0,1.0,0.007,0.283,2.009,-1.713,-0.353,1.576,0.113,1.421,-2.040,0.332,1.536,0.273,-0.522,0.423,1.066,2.226,0.295,-1.091,-0.780,-0.103,0.947,1.168,1.381,1.534,-0.274,0.110,0.875,-0.687,-0.063,-0.265,0.625,0.579,-0.013,-1.958,-0.841,-1.201,0.170,0.052,-0.017,-0.374,1.451,-1.817,0.601,0.322
84,29.0,7.0,1.0,-0.341,0.486,1.143,-2.656,-0.470,0.053,0.191,0.415,-1.268,-2.425,-0.046,-0.360,0.553,0.319,1.793,-0.342,-0.281,-0.123,0.496,0.343,2.184,-1.687,1.138,0.486,-1.222,0.985,0.924,0.680,-1.485,-1.017,-0.610,1.071,0.207,0.335,0.585,-1.002,0.487,-0.560,0.933,0.805,0.622,-0.362,0.368,-2.290
85,27.0,3.0,1.0,0.386,0.976,0.468,0.200,-0.414,1.017,-0.687,0.413,0.141,-0.651,1.701,-1.326,1.042,0.573,1.089,-0.376,-0.279,-1.257,-0.898,0.422,1.942,-1.174,0.721,0.656,0.309,1.735,0.230,-0.649,0.853,1.002,1.876,-0.348,1.649,-1.835,-0.412,-0.806,0.896,1.900,1.437,0.721,0.722,0.404,-0.080,-0.348
86,26.0,8.0,1.0,0.571,0.731,-1.491,-0.988,-0.056,0.269,0.636,0.840,-0.901,0.278,1.393,-0.255,0.657,1.097,-0.594,0.257,-0.127,-1.320,-1.121,1.833,0.120,-0.798,-0.349,2.097,-2.164,0.287,1.087,0.100,-1.913,1.151,0.916,-0.566,-2.268,-0.128,-0.434,-0.943,0.659,2.086,0.321,-0.011,0.538,-0.968,0.723,-0.884
87,23.0,5.0,1.0,-0.246,0.967,-0.273,-0.801,0.595,1.464,-0.506,1.317,-0.782,0.156,-1.098,-1.061,0.912,1.584,0.962,-0.960,-1.204,0.343,-0.983,0.180,-1.058,-0.144,0.719,-0.334,-0.958,1.283,-0.474,0.270,-2.139,-0.643,0.760,1.019,0.199,0.975,-0.177,0.198,0.157,-1.497,0.427,0.271,-0.105,-0.147,0.719,-2.390
88,32.0,10.0,1.0,0.296,1.050,-0.546,-0.651,-0.108,0.475,1.360,0.771,-2.153,-0.127,0.745,-0.128,0.289,1.602,0.508,-0.463,-0.588,-0.240,-0.285,0.534,1.935,-2.176,0.317,0.553,-1.834,2.870,-0.093,1.509,0.710,0.971,-0.626,2.267,0.014,-1.780,0.816,0.866,0.679,-0.607,-0.428,-0.850,1.365,-1.411,0.394,-0.200
89,11.0,10.0,15.0,0.207,-0.172,0.952,0.139,-0.829,-0.248,0.128,0.455,-0.500,-0.101,0.323,-0.701,2.735,0.266,-0.230,1.689,-0.614,-0.094,-0.155,-0.693,1.523,-1.665,0.743,0.387,-1.302,2.632,1.037,-8.641,,,,,,,,,,,,,,,,
90,11.0,6.0,1.0,-0.719,-1.102,1.538,-1.109,-0.231,0.048,0.191,0.913,-1.063,-0.305,-0.314,-0.370,0.274,0.537,1.054,0.635,-0.833,1.345,0.548,0.465,0.534,-0.126,0.506,-0.060,-0.441,0.846,0.787,-0.476,-3.498,1.238,-0.319,2.127,-0.306,1.103,-0.741,-2.178,1.322,-1.029,0.452,-1.179,0.590,-0.667,0.441,-0.022
91,2.0,2.0,1.0,0.130,0.606,0.585,-1.580,-0.225,0.991,0.368,1.820,-0.269,-3.500,1.491,-0.516,1.484,0.372,0.182,0.152,0.000,1.835,1.140,1.225,1.589,-0.864,1.185,1.590,-2.361,1.807,-0.313,0.917,-1.263,1.577,0.897,0.033,-0.200,-0.020,0.613,-0.233,0.571,1.051,-1.695,-0.780,2.044,-1.089,-0.306,-1.376
92,5.0,1.0,1.0,-1.390,0.964,0.705,-0.515,-0.501,1.308,1.525,0.624,0.718,-1.481,1.362,0.217,1.372,-0.012,0.778,0.829,-0.807,0.712,-1.071,-0.571,0.975,-0.162,0.118,-0.256,-1.047,0.586,0.806,1.216,-0.433,0.160,0.053,-0.013,-0.060,0.283,0.168,-0.670,0.581,-0.705,-0.415,-0.848,1.260,0.025,-0.376,-1.748
93,22.0,9.0,1.0,-0.680,0.797,-0.121,-2.191,-0.907,2.082,-0.353,1.171,-1.157,-0.242,0.997,0.436,0.268,1.036,-0.005,0.823,-0.019,-1.293,-1.032,0.723,0.684,-1.836,1.457,-0.023,-0.311,1.514,0.948,-0.723,-0.027,0.919,0.326,1.407,-0.524,-1.358,-0.835,-1.563,0.911,-0.934,-0.829,-0.606,1.391,-2.747,0.227,0.072
94,16.0,2.0,15.0,-0.317,0.755,0.832,-0.782,-1.314,0.822,-0.840,0.911,-0.211,-1.559,-1.076,-0.803,0.628,0.791,1.209,2.316,-0.203,-0.626,0.303,0.888,0.065,-1.913,0.302,1.271,-0.885,0.551,0.591,1.980,0.441,-9.236,,,,,,,,,,,,,,
95,19.0,6.0,1.0,0.266,0.110,-1.449,-2.105,-0.827,1.001,-0.051,1.031,-0.997,-1.983,1.400,0.002,0.646,0.693,0.525,1.078,0.180,0.312,-0.348,0.537,-1.336,-1.252,0.717,0.287,-1.327,0.163,0.657,0.732,-1.454,2.095,-0.135,-0.487,-1.630,-0.014,1.259,0.382,0.212,0.424,-1.232,-1.239,0.378,-1.331,-0.042,-1.121
96,9.0,9.0,1.0,-0.651,1.473,1.044,-2.163,-0.132,0.418,0.717,0.609,-0.575,0.640,0.622,-0.368,1.148,0.791,1.320,0.713,0.320,-1.321,-0.574,-0.590,1.908,-0.067,0.060,0.287,-1.131,-0.395,-0.262,-0.444,-0.141,1.726,0.423,0.627,0.264,0.389,-0.651,-1.515,0.849,0.487,0.455,-1.063,0.086,-0.142,1.065,-2.049
97,15.0,4.0,1.0,0.474,1.223,-1.181,-1.390,0.128,0.054,0.039,-0.079,-1.289,-0.766,0.746,-1.112,1.791,0.340,2.644,2.333,-0.127,1.076,0.278,0.875,0.261,-1.520,1.467,0.408,-1.432,-1.604,0.619,-0.735,-0.400,-0.022,0.049,1.709,0.456,0.934,0.841,-0.913,-0.058,0.547,1.141,0.813,1.184,-0.396,0.087,-1.753
98,25.0,3.0,1.0,0.258,-0.083,0.626,-1.001,-0.213,1.050,-0.131,0.539,-0.147,-0.248,-0.050,-0.434,0.047,0.028,0.356,-1.132,0.092,0.399,-0.349,0.330,2.010,-0.311,2.033,1.137,-1.449,1.718,0.838,-0.194,0.261,2.025,-0.102,1.987,1.017,1.064,0.419,-1.134,1.247,1.324,0.434,0.105,0.074,-0.075,0.297,-2.621
99,25.0,9.0,1.0,-1.547,0.980,-0.039,0.945,-0.393,-0.081,-0.260,0.953,-0.258,-2.192,0.930,-1.037,-0.977,0.856,-1.129,0.631,-1.124,0.984,-3.384,0.466,1.402,-0.742,0.814,1.293,0.065,-0.089,-0.302,1.549,-0.509,1.308,0.827,0.994,0.234,-0.709,1.134,-0.158,0.707,1.453,1.036,-1.338,0.130,-0.093,-0.227,-0.130
100,10.0,4.0,1.0,-0.027,0.650,0.164,0.789,0.781,1.285,-0.353,0.228,-1.452,-1.363,1.314,0.013,1.893,1.263,0.060,0.402,-0.374,0.736,1.133,-0.465,0.073,-0.059,1.134,0.012,-2.436,1.777,0.772,0.141,0.547,1.354,0.184,1.783,-0.060,0.943,0.206,-1.871,0.074,-0.157,-1.073,-0.460,-0.244,-1.259,-0.253,-1.697
101,9.0,4.0,10.0,0.473,2.150,1.008,-0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,8.0,9.0,1.0,0.395,0.307,1.039,-1.573,-0.507,-0.074,-0.655,1.186,0.188,-0.999,0.755,-0.418,0.794,0.933,0.139,1.327,0.203,0.192,0.198,0.190,1.736,-0.813,1.647,0.898,-1.224,2.203,1.391,-0.314,0.127,-0.094,1.356,0.273,-0.849,-0.631,1.052,0.021,0.546,0.569,-0.983,1.672,-0.316,-0.017,0.316,-0.600
103,25.0,7.0,1.0,-0.499,0.595,0.968,-0.272,-0.682,1.506,1.599,1.679,-0.601,-0.934,-0.928,-1.515,0.186,1.564,0.892,1.210,-0.072,0.762,-1.602,-0.491,1.256,-1.175,1.167,0.546,1.478,0.675,-0.098,0.494,-0.366,1.078,-0.090,1.311,0.169,0.585,-1.542,-1.056,1.262,-1.122,0.105,-0.072,0.363,-0.761,0.177,-0.133
104,12.0,7.0,1.0,0.280,0.665,0.545,-1.767,0.272,1.885,-0.214,0.201,-0.929,0.028,1.593,-1.231,2.463,-0.061,0.634,2.270,-0.314,0.043,-1.917,-0.071,0.093,-0.497,0.346,0.448,-0.687,2.512,1.263,1.685,-1.071,0.255,-0.327,0.263,-0.848,1.066,0.488,0.430,0.613,-0.479,0.522,-0.156,0.217,-0.023,0.266,-1.467
105,1.0,3.0,1.0,-0.612,0.148,1.777,0.279,0.049,1.403,0.644,-0.022,-1.754,-1.840,1.509,0.197,0.911,1.545,1.184,2.116,0.132,-1.357,-1.198,0.185,1.694,-1.011,1.170,-0.030,-1.579,-1.176,1.599,-0.446,1.010,0.810,1.000,-0.383,-0.433,-2.052,-0.555,-0.573,0.986,-0.409,-1.553,-0.492,0.238,-1.284,-0.213,-2.049
106,32.0,6.0,13.0,-0.361,-0.243,0.319,-1.294,0.934,0.182,-1.116,1.221,0.433,-0.944,1.383,0.381,-0.339,-0.310,0.267,-0.018,-0.721,-0.751,8.161,,,,,,,,,,,,,,,,,,,,,,,,,
107,16.0,1.0,1.0,0.279,0.368,1.138,-1.603,0.632,2.211,-0.885,1.508,-0.756,-0.928,2.721,-0.448,1.625,1.588,1.849,2.264,-0.869,1.029,-0.543,0.339,1.479,0.264,1.657,-0.181,-1.193,0.950,0.763,-0.606,1.065,0.073,0.244,0.341,-0.388,0.727,1.301,-0.558,1.257,-1.063,0.446,0.168,-0.269,0.314,0.542,-1.665
108,29.0,8.0,1.0,0.009,1.240,0.260,0.380,-0.571,0.715,-0.162,0.739,-1.132,0.349,-0.070,-0.317,0.677,0.482,1.159,0.043,0.250,-0.410,-0.444,0.359,1.288,-0.888,-0.377,1.392,-0.195,-0.300,1.954,2.097,-1.327,0.250,0.062,1.464,-1.010,0.246,-0.151,-1.359,0.160,1.300,0.121,-0.615,0.661,-0.490,-0.143,0.704
109,26.0,5.0,1.0,0.531,0.186,1.211,-2.525,0.417,0.575,-0.696,1.251,0.500,-0.447,1.345,0.274,1.013,0.634,-0.009,0.408,-0.545,1.519,-0.308,0.079,-0.053,-0.702,1.081,-0.011,-1.996,2.051,2.546,0.138,1.169,0.991,0.327,0.891,0.132,-0.398,0.073,-1.358,0.924,1.632,0.135,0.720,-0.911,-1.084,-0.233,-1.421
110,33.0,9.0,1.0,0.460,0.191,-0.107,-1.168,-0.854,0.701,0.388,2.317,-0.579,-0.708,0.279,0.679,-0.414,0.483,-0.404,2.177,-1.295,0.113,-0.343,0.328,0.729,-0.737,0.997,0.930,-0.293,0.602,1.051,-1.990,0.072,-0.619,0.725,0.050,0.261,-0.145,-0.697,-1.041,0.907,0.043,1.237,-1.435,0.561,0.164,0.442,0.887
111,23.0,4.0,1.0,0.099,1.536,-0.125,-0.817,-0.548,0.228,-0.735,1.471,-0.648,-0.632,0.743,-0.669,1.076,0.116,1.009,2.067,0.581,-0.317,0.735,1.026,1.513,-0.874,1.268,0.557,-1.236,1.259,1.163,0.979,0.319,1.259,1.061,0.917,-0.144,0.327,-1.313,0.112,0.600,0.857,-0.685,1.916,0.274,-1.448,-0.756,-0.705
112,28.0,8.0,13.0,0.659,0.718,0.066,-0.957,-0.543,1.548,-0.836,1.817,-1.664,-0.015,0.771,0.175,-0.691,0.505,0.109,-10.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2.0,3.0,1.0,-0.237,-1.080,0.250,-1.761,-0.723,0.884,1.170,0.488,-1.078,-0.328,0.511,-0.938,1.066,0.255,1.306,0.743,-0.359,0.852,2.362,0.183,0.557,-1.255,0.760,0.482,-0.892,-0.466,1.175,-0.763,-0.952,-0.450,1.190,0.940,-0.584,-1.155,0.835,-0.387,0.513,-0.052,1.425,0.566,-0.634,-1.637,-0.249,0.312
114,24.0,2.0,1.0,0.172,0.266,0.321,-2.413,-0.198,-0.099,1.534,1.322,-0.335,0.293,1.553,-0.350,1.038,0.286,0.760,0.579,-0.306,-0.808,-0.047,0.748,2.604,-0.404,0.608,1.019,-0.925,-1.055,-1.694,1.818,-1.727,-0.083,1.515,1.969,-0.870,0.146,-0.065,-1.080,0.657,1.636,1.354,-0.131,1.954,-0.321,0.258,-0.230
115,10.0,9.0,1.0,0.026,0.922,1.124,1.125,-0.628,0.160,-0.892,0.418,0.491,0.655,0.229,-0.887,1.854,1.423,0.481,2.584,-0.100,0.665,-1.300,0.364,1.465,-1.743,-0.490,0.963,-1.022,0.643,0.860,2.540,0.079,1.151,0.326,0.690,-0.587,-0.051,0.656,-0.606,0.622,-0.124,-0.533,0.501,-0.770,-0.969,0.129,0.384
116,2.0,9.0,1.0,0.095,0.957,0.101,-0.091,-1.022,1.840,-1.600,1.279,-0.155,0.000,0.124,-0.664,0.102,0.557,1.842,2.692,0.186,0.272,-1.989,0.148,1.606,0.471,-1.052,0.846,0.152,0.140,0.634,0.960,-1.707,1.270,1.536,2.256,0.195,-0.020,0.710,0.573,0.902,-0.135,0.059,0.961,0.174,-0.865,0.172,-2.414
117,30.0,2.0,1.0,0.432,0.636,-0.804,-1.321,0.688,0.936,-1.330,1.530,-1.424,-2.759,2.068,-0.272,0.554,1.937,0.286,0.721,-0.500,0.506,-0.045,1.169,-0.907,-1.020,1.656,1.120,-1.609,0.723,-0.321,-0.813,-1.730,2.396,-0.581,1.026,0.277,0.073,0.659,-1.417,1.704,-1.193,1.083,0.237,0.218,0.861,0.168,-1.914
118,23.0,8.0,1.0,-1.446,1.387,-0.657,-0.119,-0.388,0.431,-0.885,0.747,-0.470,-3.435,1.007,0.050,0.395,0.451,0.765,0.014,-0.420,-0.432,0.195,-0.143,1.855,-0.506,1.691,-0.121,0.475,1.351,-0.649,-0.162,-1.199,0.818,1.581,1.034,-1.099,1.460,0.075,0.039,0.553,1.852,1.493,-0.969,-0.130,0.817,-0.249,-0.716
119,28.0,4.0,16.0,-0.993,1.271,1.643,-0.325,-0.431,0.558,-0.193,-0.113,-0.755,0.608,-0.103,-1.505,0.289,0.450,1.120,0.208,0.078,0.407,-0.554,0.587,2.000,-0.570,0.389,0.876,-0.584,1.638,0.211,-0.008,-1.280,0.027,0.528,0.412,-0.668,-0.867,-7.278,,,,,,,,,
120,13.0,1.0,1.0,-1.957,0.512,1.975,0.516,-0.156,1.162,-0.959,0.144,-0.296,-0.066,0.238,-0.977,0.758,1.485,0.483,1.294,-0.026,-0.444,-0.211,0.441,1.251,0.118,-0.699,0.368,-0.513,0.315,0.306,0.032,-0.670,1.346,-0.155,1.053,0.130,0.925,-0.315,0.302,0.491,0.938,-0.606,1.539,0.258,-1.430,-0.093,-0.824
121,3.0,2.0,1.0,1.185,0.458,1.128,-1.360,-0.157,1.492,-0.730,0.677,-0.145,-0.993,1.549,-0.078,1.989,1.639,-0.096,-1.519,-0.481,1.654,-1.509,-0.546,0.810,-0.283,1.049,-0.394,-0.186,0.745,0.596,1.049,0.146,0.694,0.412,1.954,-0.036,1.225,-0.340,-0.577,0.484,-0.924,0.003,-0.109,-0.280,0.337,0.989,-1.524
122,30.0,5.0,1.0,-0.892,-0.238,0.301,-1.021,-0.294,1.550,-0.122,0.496,-0.774,-0.727,3.068,-0.525,1.573,0.834,0.691,-0.368,-0.842,-0.253,0.829,0.274,1.105,-1.341,0.685,1.202,0.132,1.156,0.577,1.472,-1.075,2.653,0.847,0.985,0.741,1.883,-0.084,-0.958,1.245,-1.627,0.377,-0.844,0.455,-0.797,0.376,0.123
123,27.0,5.0,1.0,-0.307,1.064,0.158,-0.412,0.502,1.096,-0.643,0.844,-1.478,-0.622,0.915,-0.262,1.414,0.332,0.178,2.021,0.138,0.042,-1.577,-0.149,0.612,-1.157,0.986,0.886,-0.140,0.333,0.500,0.187,-1.448,0.478,0.867,0.320,-0.490,-0.427,-1.649,-0.453,0.823,0.245,-0.468,0.936,0.050,0.532,0.660,-1.294
124,1.0,5.0,10.0,-0.027,-0.135,10.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,28.0,10.0,1.0,0.469,0.660,-0.880,-1.576,-0.759,1.761,-1.795,0.754,-1.159,0.827,1.708,0.415,-0.068,0.447,-0.745,0.141,0.138,-0.019,0.700,0.701,1.790,-0.626,0.681,-0.046,-0.760,0.416,0.084,0.692,0.134,-1.377,0.585,0.947,-0.179,0.881,-0.674,-0.090,1.245,-0.424,0.174,0.439,0.709,0.135,0.447,-0.081
126,33.0,3.0,1.0,-0.033,1.128,2.389,-1.536,-0.127,0.140,1.250,1.051,-1.022,-0.311,-0.400,-0.967,0.287,0.682,0.586,0.804,-0.310,0.215,0.029,-0.407,1.052,-2.298,0.959,0.643,-1.823,0.872,-0.847,-0.134,-0.906,1.157,0.596,1.432,-0.985,-0.047,0.414,-0.901,0.560,0.735,0.475,-0.672,0.659,-0.300,0.942,1.060
127,19.0,4.0,1.0,-0.835,1.872,0.830,-0.318,-1.149,1.452,-0.815,2.017,-0.853,-1.574,0.045,-1.066,1.755,0.475,-0.382,0.079,-0.433,0.810,0.116,0.951,-0.363,-1.210,0.257,1.135,-1.618,1.623,0.048,-0.152,-1.091,0.346,0.650,0.842,-0.277,0.698,-0.204,-0.625,0.277,0.752,1.055,-0.986,1.157,-0.294,0.317,-0.393
128,16.0,7.0,1.0,0.858,2.063,0.067,-1.793,0.212,0.969,-0.670,1.096,-0.604,0.678,1.998,-0.347,-0.013,0.502,0.830,-3.126,-0.132,-0.657,-0.518,1.297,0.604,-1.175,1.103,0.458,0.120,1.248,0.142,0.940,-0.944,1.058,1.013,0.705,-0.240,-1.435,0.430,-1.050,0.685,0.480,0.742,0.243,1.113,-0.869,0.050,-1.112
129,34.0,7.0,1.0,1.004,1.752,0.920,-2.903,-0.433,1.086,1.384,0.822,-0.671,-1.756,-0.065,-0.104,1.275,0.659,-0.246,1.486,-0.088,2.923,-0.926,-0.322,1.854,-0.589,0.558,1.683,-0.296,0.188,-1.533,1.216,-0.903,0.183,-0.089,0.716,-0.530,-0.943,-0.392,-0.275,-0.771,0.706,1.188,0.030,1.343,-0.493,0.378,-2.747
