item,case,level,level_ko,desc,expect_focus,detect_path,strength_t,solved_metric,tno,unit,lsl,usl,before_shape,before_mean,before_stdev,before_quant,after_shape,after_mean,after_stdev,after_quant
SD_UP_02_L4,SD_UP,4,L4 검출(크게 초과),산포만 커짐 (Δσ% 경로),1,sd_delta,0.4375,70.0,1112,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.770833,
CPK_LOW_01_L1,CPK_LOW,1,L1 미검출(여유),평균 이동으로 Cpk 하락 (절대 품질 경로),0,after_cpk,0.0176,1.58,1113,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0625,1.041667,
CPK_LOW_01_L2,CPK_LOW,2,L2 미검출(임계 직하),평균 이동으로 Cpk 하락 (절대 품질 경로),0,after_cpk,0.0882,1.5,1114,V,0.0,10.0,normal,5.0,1.041667,,normal,5.3125,1.041667,
CPK_LOW_01_L3,CPK_LOW,3,L3 검출(임계 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),1,after_cpk,0.3971,1.15,1115,V,0.0,10.0,normal,5.0,1.041667,,normal,6.40625,1.041667,
CPK_LOW_01_L4,CPK_LOW,4,L4 검출(크게 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),1,after_cpk,0.7059,0.8,1116,V,0.0,10.0,normal,5.0,1.041667,,normal,7.5,1.041667,
CPK_LOW_02_L1,CPK_LOW,1,L1 미검출(여유),평균 이동으로 Cpk 하락 (절대 품질 경로),0,after_cpk,0.0176,1.58,1117,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0625,1.041667,
CPK_LOW_02_L2,CPK_LOW,2,L2 미검출(임계 직하),평균 이동으로 Cpk 하락 (절대 품질 경로),0,after_cpk,0.0882,1.5,1118,V,0.0,10.0,normal,5.0,1.041667,,normal,5.3125,1.041667,
CPK_LOW_02_L3,CPK_LOW,3,L3 검출(임계 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),1,after_cpk,0.3971,1.15,1119,V,0.0,10.0,normal,5.0,1.041667,,normal,6.40625,1.041667,
CPK_LOW_02_L4,CPK_LOW,4,L4 검출(크게 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),1,after_cpk,0.7059,0.8,1120,V,0.0,10.0,normal,5.0,1.041667,,normal,7.5,1.041667,
CONTROL_SAME_01_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1121,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_01_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1122,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_01_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1123,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_01_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1124,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_02_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1125,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_02_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1126,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_02_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1127,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_02_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1128,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_03_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1129,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_03_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1130,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_03_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1131,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_03_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1132,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_04_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1133,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_04_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1134,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_04_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1135,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
CONTROL_SAME_04_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,0,,0.0,,1136,V,0.0,10.0,normal,5.0,1.041667,,normal,5.0,1.041667,
