SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,SHAPE_BIMODAL_01_L1,SHAPE_BIMODAL_01_L2,SHAPE_BIMODAL_01_L3,SHAPE_BIMODAL_01_L4,SHAPE_BIMODAL_02_L1,SHAPE_BIMODAL_02_L2,SHAPE_BIMODAL_02_L3,SHAPE_BIMODAL_02_L4,SHAPE_BIMODAL_SKEW_01_L1,SHAPE_BIMODAL_SKEW_01_L2,SHAPE_BIMODAL_SKEW_01_L3,SHAPE_BIMODAL_SKEW_01_L4,SHAPE_BIMODAL_SKEW_02_L1,SHAPE_BIMODAL_SKEW_02_L2,SHAPE_BIMODAL_SKEW_02_L3,SHAPE_BIMODAL_SKEW_02_L4,SHAPE_TRIMODAL_01_L1,SHAPE_TRIMODAL_01_L2,SHAPE_TRIMODAL_01_L3,SHAPE_TRIMODAL_01_L4,SHAPE_TRIMODAL_02_L1,SHAPE_TRIMODAL_02_L2,SHAPE_TRIMODAL_02_L3,SHAPE_TRIMODAL_02_L4,SHAPE_TAILFLIP_01_L1,SHAPE_TAILFLIP_01_L2,SHAPE_TAILFLIP_01_L3,SHAPE_TAILFLIP_01_L4,SHAPE_TAILFLIP_02_L1,SHAPE_TAILFLIP_02_L2,SHAPE_TAILFLIP_02_L3,SHAPE_TAILFLIP_02_L4,SHAPE_TAIL_ONESIDE_01_L1,SHAPE_TAIL_ONESIDE_01_L2,SHAPE_TAIL_ONESIDE_01_L3,SHAPE_TAIL_ONESIDE_01_L4,SHAPE_TAIL_ONESIDE_02_L1,SHAPE_TAIL_ONESIDE_02_L2,SHAPE_TAIL_ONESIDE_02_L3,SHAPE_TAIL_ONESIDE_02_L4,SHAPE_TAIL_BOTH_01_L1,SHAPE_TAIL_BOTH_01_L2,SHAPE_TAIL_BOTH_01_L3,SHAPE_TAIL_BOTH_01_L4,SHAPE_PLATEAU_01_L1,SHAPE_PLATEAU_01_L2,SHAPE_PLATEAU_01_L3,SHAPE_PLATEAU_01_L4,SHAPE_SKEW_R_01_L1,SHAPE_SKEW_R_01_L2,SHAPE_SKEW_R_01_L3,SHAPE_SKEW_R_01_L4,SHAPE_SKEWFLIP_01_L1,SHAPE_SKEWFLIP_01_L2,SHAPE_SKEWFLIP_01_L3,SHAPE_SKEWFLIP_01_L4,SHAPE_OUTLIER_01_L1,SHAPE_OUTLIER_01_L2,SHAPE_OUTLIER_01_L3,SHAPE_OUTLIER_01_L4,SHAPE_OUTLIER_02_L1,SHAPE_OUTLIER_02_L2,SHAPE_OUTLIER_02_L3,SHAPE_OUTLIER_02_L4,SHAPE_SPIKE_01_L1,SHAPE_SPIKE_01_L2,SHAPE_SPIKE_01_L3,SHAPE_SPIKE_01_L4,SHAPE_SPIKE_02_L1,SHAPE_SPIKE_02_L2,SHAPE_SPIKE_02_L3,SHAPE_SPIKE_02_L4,SHAPE_TRUNC_01_L1,SHAPE_TRUNC_01_L2,SHAPE_TRUNC_01_L3,SHAPE_TRUNC_01_L4,SHAPE_UNIFORM_01_L1,SHAPE_UNIFORM_01_L2,SHAPE_UNIFORM_02_L1,SHAPE_UNIFORM_02_L2,DISC_BIMODAL_01_L1,DISC_BIMODAL_01_L2,DISC_BIMODAL_01_L3,DISC_BIMODAL_01_L4,DISC_BIMODAL_02_L1,DISC_BIMODAL_02_L2,DISC_BIMODAL_02_L3,DISC_BIMODAL_02_L4,DISC_SPARSE_01_L1,DISC_SPARSE_01_L2,DISC_SPARSE_01_L3,DISC_SPARSE_01_L4,POS_SHIFT_01_L1,POS_SHIFT_01_L2,POS_SHIFT_01_L3,POS_SHIFT_01_L4,POS_SHIFT_02_L1,POS_SHIFT_02_L2,POS_SHIFT_02_L3,POS_SHIFT_02_L4,POS_SEPARATE_01_L1,POS_SEPARATE_01_L2,POS_SEPARATE_01_L3,POS_SEPARATE_01_L4,SD_UP_01_L1,SD_UP_01_L2,SD_UP_01_L3,SD_UP_01_L4,SD_UP_02_L1,SD_UP_02_L2,SD_UP_02_L3,SD_UP_02_L4,CPK_LOW_01_L1,CPK_LOW_01_L2,CPK_LOW_01_L3,CPK_LOW_01_L4,CPK_LOW_02_L1,CPK_LOW_02_L2,CPK_LOW_02_L3,CPK_LOW_02_L4,CONTROL_SAME_01_L1,CONTROL_SAME_01_L2,CONTROL_SAME_01_L3,CONTROL_SAME_01_L4,CONTROL_SAME_02_L1,CONTROL_SAME_02_L2,CONTROL_SAME_02_L3,CONTROL_SAME_02_L4,CONTROL_SAME_03_L1,CONTROL_SAME_03_L2,CONTROL_SAME_03_L3,CONTROL_SAME_03_L4,CONTROL_SAME_04_L1,CONTROL_SAME_04_L2,CONTROL_SAME_04_L3,CONTROL_SAME_04_L4
C000509,128,2,23,18,1,,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,5.877591,4.263794,4.918085,4.918085,5.877591,4.263794,4.918085,4.918085,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.097974,6.082940,5.931399,5.690383,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,6.098409,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.906250,3.562636,3.562636,3.562636,3.562636,3.562636,3.562636,3.562636,3.562636,4.187125,4.146522,4.035441,3.890497,3.506834,3.506834,3.506834,3.506834,3.506834,3.506834,3.506834,3.506834,5.281808,5.281808,5.281808,5.281808,5.281808,5.281808,5.281808,5.281808,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056,5.827056
C000510,128,3,24,18,1,,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,3.960200,5.850651,3.923983,3.923983,3.960200,5.850651,3.923983,3.923983,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.016192,4.028870,4.150666,4.323776,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.015933,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,4.166667,5.023613,5.023613,5.023613,5.023613,5.023613,5.023613,5.023613,5.023613,4.990662,4.950059,4.838978,4.694035,4.120155,4.120155,4.120155,4.120155,4.120155,4.120155,4.120155,4.120155,5.358773,5.358773,5.358773,5.358773,5.358773,5.358773,5.358773,5.358773,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796,4.379796
C000511,128,4,25,18,1,,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.279293,3.910092,4.089421,4.089421,4.279293,3.910092,4.089421,4.089421,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.347475,4.321031,4.319786,4.398324,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,4.362499,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,3.385417,5.189455,5.189455,5.189455,5.189455,5.189455,5.189455,5.189455,5.189455,5.081875,5.041272,4.930191,4.785248,5.224633,5.224633,5.224633,5.224633,5.224633,5.224633,5.224633,5.224633,5.836684,5.836684,5.836684,5.836684,5.836684,5.836684,5.836684,5.836684,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660,5.451660
C000512,129,1,26,18,1,,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.590457,6.402126,6.338966,6.338966,4.590457,6.402126,6.338966,6.338966,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.676221,4.623490,4.520844,4.502948,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,4.700454,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,6.007275,6.007275,6.007275,6.007275,6.007275,6.007275,6.007275,6.007275,5.531676,5.491074,5.379993,5.235049,3.852196,3.852196,3.852196,3.852196,3.852196,3.852196,3.852196,3.852196,3.727360,3.727360,3.727360,3.727360,3.727360,3.727360,3.727360,3.727360,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859,5.465859
C000513,129,2,27,18,1,,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,6.682508,6.438388,4.576317,4.576317,6.682508,6.438388,4.576317,4.576317,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.357169,5.291058,5.068695,4.872369,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.382462,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,6.060430,6.060430,6.060430,6.060430,6.060430,6.060430,6.060430,6.060430,5.560912,5.520309,5.409228,5.264284,4.020896,4.020896,4.020896,4.020896,4.020896,4.020896,4.020896,4.020896,3.945046,3.945046,3.945046,3.945046,3.945046,3.945046,3.945046,3.945046,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976,3.882976
C000514,129,3,28,18,1,,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,5.850374,6.051043,4.038555,4.038555,5.850374,6.051043,4.038555,4.038555,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.244993,4.229311,4.264129,4.372413,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.255942,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.363772,4.363772,4.363772,4.363772,4.363772,4.363772,4.363772,4.363772,4.627750,4.587147,4.476066,4.331122,5.748616,5.748616,5.748616,5.748616,5.748616,5.748616,5.748616,5.748616,6.276438,6.276438,6.276438,6.276438,6.276438,6.276438,6.276438,6.276438,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166,7.077166
C000515,129,4,29,18,1,,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.653622,3.771632,3.765032,3.765032,3.653622,3.771632,3.765032,3.765032,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.703375,3.764352,4.017223,4.273915,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,3.682959,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,6.510417,4.876356,4.876356,4.876356,4.876356,4.876356,4.876356,4.876356,4.876356,4.909671,4.869068,4.757987,4.613044,6.253419,6.253419,6.253419,6.253419,6.253419,6.253419,6.253419,6.253419,4.203945,4.203945,4.203945,4.203945,4.203945,4.203945,4.203945,4.203945,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861,3.706861
C000516,130,1,30,18,1,,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.072337,4.085592,4.500588,4.500588,5.072337,4.085592,4.500588,4.500588,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.196655,5.128604,4.921315,4.761157,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,5.223824,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,4.687500,3.159856,3.159856,3.159856,3.159856,3.159856,3.159856,3.159856,3.159856,3.965596,3.924993,3.813912,3.668969,4.339711,4.339711,4.339711,4.339711,4.339711,4.339711,4.339711,4.339711,4.055320,4.055320,4.055320,4.055320,4.055320,4.055320,4.055320,4.055320,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845,5.434845
C000517,130,2,31,18,1,,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.802471,4.025871,4.360672,4.360672,4.802471,4.025871,4.360672,4.360672,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.903486,4.840047,4.682204,4.599136,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,4.930723,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,3.278007,3.278007,3.278007,3.278007,3.278007,3.278007,3.278007,3.278007,4.030579,3.989976,3.878895,3.733952,6.894779,6.894779,6.894779,6.894779,6.894779,6.894779,6.894779,6.894779,7.327390,7.327390,7.327390,7.327390,7.327390,7.327390,7.327390,7.327390,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958,5.217958
C000518,130,3,32,18,1,,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.034248,6.259379,4.480840,4.480840,5.034248,6.259379,4.480840,4.480840,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.155011,5.086976,4.885057,4.735114,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,5.182456,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,6.770833,4.517918,4.517918,4.517918,4.517918,4.517918,4.517918,4.517918,4.517918,4.712530,4.671927,4.560846,4.415903,3.299510,3.299510,3.299510,3.299510,3.299510,3.299510,3.299510,3.299510,4.692906,4.692906,4.692906,4.692906,4.692906,4.692906,4.692906,4.692906,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005,5.577005
C000519,130,4,33,18,1,,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.520810,5.434017,6.053838,6.053838,3.520810,5.434017,6.053838,6.053838,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.569502,3.654454,3.966940,4.257231,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,3.538712,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,6.410255,6.410255,6.410255,6.410255,6.410255,6.410255,6.410255,6.410255,5.753315,5.712712,5.601631,5.456688,5.565352,5.565352,5.565352,5.565352,5.565352,5.565352,5.565352,5.565352,4.822577,4.822577,4.822577,4.822577,4.822577,4.822577,4.822577,4.822577,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746,4.575746
C000520,131,1,34,18,1,,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.045692,3.637098,3.449840,3.449840,3.045692,3.637098,3.449840,3.449840,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.098579,3.283228,3.817854,4.214746,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.022686,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,5.093783,5.093783,5.093783,5.093783,5.093783,5.093783,5.093783,5.093783,5.029256,4.988653,4.877572,4.732628,5.015827,5.015827,5.015827,5.015827,5.015827,5.015827,5.015827,5.015827,5.583611,5.583611,5.583611,5.583611,5.583611,5.583611,5.583611,5.583611,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508,4.679508
C000521,131,2,35,18,1,,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,4.956209,6.270154,4.440380,4.440380,4.956209,6.270154,4.440380,4.440380,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.069961,5.002619,4.813429,4.685207,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.097697,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,5.729167,4.454203,4.454203,4.454203,4.454203,4.454203,4.454203,4.454203,4.454203,4.677487,4.636884,4.525803,4.380859,6.027498,6.027498,6.027498,6.027498,6.027498,6.027498,6.027498,6.027498,5.380032,5.380032,5.380032,5.380032,5.380032,5.380032,5.380032,5.380032,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781,5.743781
C000522,131,3,36,18,1,,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.037252,6.501986,4.482398,4.482398,5.037252,6.501986,4.482398,4.482398,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.158291,5.090247,4.887885,4.737126,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,5.185718,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,4.947917,5.837008,5.837008,5.837008,5.837008,5.837008,5.837008,5.837008,5.837008,5.438030,5.397427,5.286346,5.141402,4.973891,4.973891,4.973891,4.973891,4.973891,4.973891,4.973891,4.973891,4.852911,4.852911,4.852911,4.852911,4.852911,4.852911,4.852911,4.852911,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328,5.177328
C000523,131,4,1,19,1,,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.598534,3.759441,3.736470,3.736470,3.598534,3.759441,3.736470,3.736470,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.647727,3.718431,3.995855,4.266682,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.623127,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.645833,3.082816,3.082816,3.082816,3.082816,3.082816,3.082816,3.082816,3.082816,3.923224,3.882621,3.771540,3.626597,7.007741,7.007741,7.007741,7.007741,7.007741,7.007741,7.007741,7.007741,5.423805,5.423805,5.423805,5.423805,5.423805,5.423805,5.423805,5.423805,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453,2.751453
C000524,132,1,2,19,1,,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.168204,3.885508,6.253995,6.253995,4.168204,3.885508,6.253995,6.253995,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.231477,4.217304,4.257020,4.369200,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,4.241845,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,5.468750,4.676014,4.676014,4.676014,4.676014,4.676014,4.676014,4.676014,4.676014,4.799483,4.758880,4.647799,4.502855,4.945718,4.945718,4.945718,4.945718,4.945718,4.945718,4.945718,4.945718,4.173548,4.173548,4.173548,4.173548,4.173548,4.173548,4.173548,4.173548,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065,6.671065
