item,group,shape,level,level_ko,expect_focus,actual_focus,expect_reason,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk,stdev_delta_pct,meanshift_sigma,p_stdev,ok,note
LOW_CPK_05_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,5.008,1.1471009390085278,1.451,5.0009,1.174491186515246,1.419,2.38778,0.0062,0.544827,1,
LOW_CPK_05_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,4.9968,1.1478787125499248,1.451,5.0014,1.3242810113347798,1.258,15.367678,0.004,4.9e-05,1,
LOW_CPK_05_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,5.0049,1.1467820377556324,1.452,4.9855,1.8783176947185276,0.885,63.790296,0.0169,0.0,1,
LOW_CPK_06_L1,shape,low_cpk,1,차이 거의 없음(미검출),0,0,none,5.0024,1.1492898655947126,1.449,4.9944,1.1681320361903784,1.425,1.639462,0.007,0.662291,1,
LOW_CPK_06_L2,shape,low_cpk,2,검출(임계 소폭 초과),1,1,cpk,5.0082,1.1511466748320411,1.445,5.0005,1.3221532628771253,1.26,14.855326,0.0067,1.8e-05,1,
LOW_CPK_06_L3,shape,low_cpk,3,심하게 검출,1,1,cpk,5.0053,1.1461487613264854,1.453,5.0042,1.8857505117067461,0.883,64.529298,0.001,0.0,1,
CONTROL_01,control,normal,0,,0,0,none,5.0014,1.0447328487549508,1.595,5.002,1.0434808832268982,1.597,-0.119836,0.0006,0.901198,1,
CONTROL_02,control,normal,0,,0,0,none,5.0027,1.03945507156726,1.603,5.0023,1.0435575371780226,1.596,0.394675,0.0004,0.978612,1,
CONTROL_03,control,normal,0,,0,0,none,5.0034,1.0438295376798399,1.596,5.0032,1.0404739403685062,1.601,-0.32147,0.0002,0.965354,1,
CONTROL_04,control,normal,0,,0,0,none,5.0026,1.0433112273871363,1.597,5.001,1.0403895001493622,1.602,-0.280044,0.0015,0.729272,1,
CONTROL_05,control,normal,0,,0,0,none,5.0027,1.0431488984523087,1.597,4.9989,1.0461319659459303,1.593,0.285968,0.0036,0.777873,1,
CONTROL_06,control,normal,0,,0,0,none,4.9968,1.0421915163541509,1.598,4.9936,1.0401017156019836,1.6,-0.20052,0.0031,0.764783,1,
CONTROL_07,control,normal,0,,0,0,none,4.9993,1.043870209694869,1.596,4.9983,1.0348889912890853,1.61,-0.860377,0.001,0.756711,1,
CONTROL_08,control,normal,0,,0,0,none,4.9978,1.0412575173518246,1.6,4.9991,1.0405234629177436,1.601,-0.070497,0.0012,0.705671,1,
CONTROL_09,control,normal,0,,0,0,none,4.998,1.0397464709667836,1.602,4.9958,1.0434405761583796,1.596,0.355289,0.0021,0.874027,1,
CONTROL_10,control,normal,0,,0,0,none,5.0021,1.0435613105486914,1.596,4.9957,1.0452262260020897,1.593,0.159542,0.0061,0.939054,1,
CONTROL_11,control,normal,0,,0,0,none,5.003,1.0431069101775454,1.597,5.0022,1.0421141335049862,1.599,-0.095175,0.0008,0.668008,1,
CONTROL_12,control,normal,0,,0,0,none,5.0013,1.0430826012148466,1.597,4.9965,1.0338836026329243,1.611,-0.881905,0.0046,0.667388,1,
CONTROL_13,control,normal,0,,0,0,none,4.9963,1.0425482292576445,1.597,5.0067,1.0401746660604783,1.6,-0.227669,0.01,0.644743,1,
CONTROL_14,control,normal,0,,0,0,none,5.003,1.04201626721611,1.599,4.9984,1.0461996881711682,1.593,0.401474,0.0044,0.515029,1,
CONTROL_15,control,normal,0,,0,0,none,4.9973,1.0444277276196374,1.595,5.0008,1.0428462388643807,1.598,-0.151422,0.0034,0.663375,1,
CONTROL_16,control,normal,0,,0,0,none,4.9971,1.0383627061167393,1.604,5.0071,1.0435939015719866,1.595,0.503793,0.0096,0.729077,1,
CONTROL_17,control,normal,0,,0,0,none,5.0068,1.039617360806189,1.601,5.0059,1.0370434969303468,1.605,-0.247578,0.0009,0.929391,1,
CONTROL_18,control,normal,0,,0,0,none,4.9949,1.0417511452973518,1.598,5.0037,1.0413201439231061,1.599,-0.041373,0.0084,0.569559,1,
CONTROL_19,control,normal,0,,0,0,none,4.9965,1.0420524655891192,1.598,4.997,1.0426627928859449,1.598,0.05857,0.0005,0.59328,1,
CONTROL_20,control,normal,0,,0,0,none,5.0039,1.040587709196317,1.6,4.9953,1.0439380882466347,1.595,0.32197,0.0083,0.739942,1,
CONTROL_21,control,normal,0,,0,0,none,5.0024,1.0371423443687324,1.606,5.0053,1.0449637334776167,1.593,0.754129,0.0028,0.288884,1,
CONTROL_22,control,normal,0,,0,0,none,4.9982,1.0440799063592452,1.596,4.9959,1.0380200470518224,1.604,-0.580402,0.0022,0.987647,1,
CONTROL_23,control,normal,0,,0,0,none,5.0002,1.0441121787652763,1.596,5.0003,1.0420324975807223,1.599,-0.199182,0.0001,0.59481,1,
CONTROL_24,control,normal,0,,0,0,none,5.0002,1.0381398020295554,1.605,4.9948,1.0409367516417696,1.599,0.269419,0.0052,0.892295,1,
CONTROL_25,control,normal,0,,0,0,none,5.0013,1.0425590251474328,1.598,5.0027,1.0451847847424027,1.594,0.251857,0.0013,0.643297,1,
CONTROL_26,control,normal,0,,0,0,none,5.0037,1.042139371604151,1.598,4.9986,1.0358030050115667,1.609,-0.608015,0.0049,0.769663,1,
CONTROL_27,control,normal,0,,0,0,none,4.9977,1.0441979419798793,1.595,5.0007,1.0466827541365136,1.592,0.237964,0.0029,0.710741,1,
CONTROL_28,control,normal,0,,0,0,none,5.0044,1.0402118442668205,1.601,4.9915,1.0392198361314786,1.601,-0.095366,0.0124,0.803549,1,
CONTROL_29,control,normal,0,,0,0,none,5.0022,1.044321997833453,1.595,4.9978,1.0403944977423056,1.601,-0.376081,0.0042,0.82271,1,
CONTROL_30,control,normal,0,,0,0,none,5.01,1.0385708558605116,1.602,5.0016,1.0409950256153646,1.601,0.233414,0.0081,0.680095,1,
CONTROL_31,control,normal,0,,0,0,none,5.0049,1.041177031498795,1.599,4.9997,1.044656886905232,1.595,0.334223,0.005,0.916935,1,
CONTROL_32,control,normal,0,,0,0,none,4.9993,1.04133074025594,1.6,4.9942,1.034744021492675,1.609,-0.632529,0.0049,0.88712,1,
CONTROL_33,control,normal,0,,0,0,none,4.9941,1.0369516499420839,1.605,5.0096,1.0412495537651114,1.598,0.414475,0.0149,0.837602,1,
CONTROL_34,control,normal,0,,0,0,none,4.9992,1.0441084220319223,1.596,5.002,1.0442799792202826,1.595,0.016431,0.0027,0.822944,1,
CONTROL_35,control,normal,0,,0,0,none,4.9989,1.0406031667615414,1.601,5.0023,1.043810000008136,1.596,0.308171,0.0033,0.928207,1,
CONTROL_36,control,normal,0,,0,0,none,5.0026,1.0398735358123512,1.602,4.9966,1.0452862325750307,1.593,0.520515,0.0058,0.843665,1,
CONTROL_37,control,normal,0,,0,0,none,5.0045,1.0451735213780802,1.593,4.9923,1.0442056512482274,1.594,-0.092604,0.0117,0.851,1,
ADDED_ITEM_01,added,normal,0,,0,0,new_item,,,,,,,,,,1,new_items 포함
ADDED_ITEM_02,added,normal,0,,0,0,new_item,,,,,,,,,,1,new_items 포함
ADDED_ITEM_03,added,normal,0,,0,0,new_item,,,,,,,,,,1,new_items 포함
ADDED_ITEM_04,added,normal,0,,0,0,new_item,,,,,,,,,,1,new_items 포함
ADDED_ITEM_05,added,normal,0,,0,0,new_item,,,,,,,,,,1,new_items 포함
REMOVED_ITEM_01,removed,normal,0,,0,0,removed_item,,,,,,,,,,1,goodlog removed
REMOVED_ITEM_02,removed,normal,0,,0,0,removed_item,,,,,,,,,,1,goodlog removed
REMOVED_ITEM_03,removed,normal,0,,0,0,removed_item,,,,,,,,,,1,goodlog removed
REMOVED_ITEM_04,removed,normal,0,,0,0,removed_item,,,,,,,,,,1,goodlog removed
REMOVED_ITEM_05,removed,normal,0,,0,0,removed_item,,,,,,,,,,1,goodlog removed
LIMIT_CHG_HI,limit_change,normal,0,,0,0,limit_change,4.994,0.9204522283444653,1.809,5.0025,0.9206771299537562,1.447,0.024434,0.0092,0.863344,1,limit_change_map 포함
LIMIT_CHG_LO,limit_change,normal,0,,0,0,limit_change,4.9983,0.9214615286232514,1.808,5.0016,0.9203588438768784,1.449,-0.119667,0.0036,0.970258,1,limit_change_map 포함
LIMIT_CHG_BOTH,limit_change,normal,0,,0,0,limit_change,4.9987,0.9663708374716973,1.724,4.9998,0.9664715442530769,1.448,0.010421,0.0011,0.807006,1,limit_change_map 포함
