SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000492,124,1,6,18,1,,6.163475,6.269966,5.698580,3.752317,5.083672,3.864433,4.372468,4.322085,5.878953,4.537530,6.103980,6.138969,4.752663,5.200871,4.887912,3.386208,3.766052,4.191713,4.591240,5.509673,5.887653,5.515507,5.061221,4.934502,4.945013,5.365978,6.560154,4.845894,3.356386,2.254760,5.955886,5.042101,3.926905,6.037713,3.763844,8.419160,4.467116,3.052305,4.038048,4.512272,3.257299,3.545162,5.413278,4.374174,5.047864,5.113664,4.308704,3.709467,6.889338,5.463979,5.899488,5.931792,4.779845,4.151603,4.357653,4.876423,4.445399,6.747477,4.178290,4.691204,4.080307,2.633637,3.691165,5.367647,4.854407,4.877164,7.126127,3.675996,5.237626,2.863356,6.437846,4.691077,5.376424,2.382978,4.655396,6.170008,5.807436,5.115143,4.422074,3.683380,6.520624,4.276484,6.467655,4.542466,6.470621,5.214328,5.783703,4.822318,3.304266,5.208895,5.530078,2.876744,5.228118,2.726448,3.885199,4.140411,5.746164,4.415126,4.429213,3.534896,3.689080,5.712313,7.461546,4.519993,6.210943,5.207241,4.367207,5.011780,3.472894,3.937107,4.466456,4.485413,3.902018,3.954219,3.777593,4.406226,3.813184,3.661676,4.539277,4.321242,4.488364,4.352619,4.554685,3.910670,3.946518,4.157295,3.912241,3.609157,3.464312,4.507685,4.292473,3.922259,4.776490,3.351885,3.907344,3.077909,3.962401,5.370719,5.441306,3.463790,4.934482,4.770560,6.001635,4.494837,3.595487,5.260005,5.076696,6.103141,6.202596,5.996479,5.436479,4.829719,7.101212,4.497377,4.105316,5.395791,5.090567,5.016351,5.228963,5.818025,5.084813,5.152710,5.894139,5.411379,5.426066,5.144812,6.210222,4.850677,5.135981,3.026921,5.632957,3.416484,4.065011,5.654026,3.706762,4.390933,4.615813,4.761981,4.857044,6.024077,4.761074,4.364343,3.805884,5.998880,4.401220,4.773971,5.141595,3.299932,6.834705,4.617622,5.365446,5.772345,5.479904,4.959696,4.851597
C000493,124,2,7,18,1,,3.391257,5.158552,3.864873,4.215713,5.107635,6.671765,5.440931,5.852081,4.634873,3.807724,6.961430,6.260256,3.157436,4.670242,4.188555,4.152008,5.930578,4.759359,4.637804,5.131799,5.735090,5.009160,1.031334,4.951123,5.089739,3.780539,4.237628,3.468259,4.228992,6.077474,6.549114,5.330899,4.229357,4.328141,4.820389,5.557288,4.650544,7.215443,5.203209,4.272787,5.703715,7.510879,5.051170,5.991117,6.543202,4.609473,4.615951,6.103612,5.545403,5.321594,5.860983,4.696706,3.534228,5.086456,3.954480,3.596776,3.991157,4.114595,4.453756,3.793549,4.539309,6.096879,5.459614,2.708827,5.923754,4.800466,3.559234,4.917884,4.673618,4.835881,5.268182,3.328943,6.929664,4.727665,3.909792,5.506381,4.133327,2.668829,5.922915,5.627864,5.685180,4.716710,5.529122,3.179642,4.040263,5.518429,5.258462,4.157659,4.436981,4.281396,5.413241,4.738318,8.185802,4.696741,4.576603,4.377522,4.479751,6.351292,4.942962,4.357251,4.279392,4.900496,4.073994,4.764541,4.747999,5.234959,5.381433,5.065603,3.530773,4.623142,4.420488,4.331057,4.310403,3.714008,3.898296,3.720216,3.162685,3.721328,4.068441,4.093699,3.971181,4.669394,4.617283,3.273853,3.838433,4.100510,3.571789,3.904346,4.352080,4.290524,4.465970,3.554770,4.368813,5.207022,3.795432,4.669193,4.652772,2.681136,3.012793,4.554144,4.755256,6.204979,4.966561,5.274004,6.179455,5.550682,4.687089,3.932292,6.824898,6.466589,6.725210,2.639318,5.428941,4.438691,5.949122,5.550627,6.210031,4.691957,4.095359,4.188161,4.817503,3.755376,4.043008,6.525739,5.635902,3.538977,5.617889,5.736239,4.566078,4.603370,3.679529,5.980929,5.869929,4.022779,4.800470,4.431123,5.742991,4.192052,6.240685,4.125355,6.370327,5.284786,4.682467,4.753459,3.960324,3.561622,5.123292,4.599957,5.198416,4.990282,5.341208,4.731817,5.409776,6.413075,5.216108
C000494,124,3,8,18,1,,3.479165,6.191483,5.576096,5.541569,6.065218,4.838152,4.574335,5.714404,4.921644,4.575628,3.809361,4.428953,6.405323,4.087914,3.865225,4.139048,4.682022,4.186171,5.831102,4.325278,4.323139,5.803961,4.994745,5.064820,3.628549,3.820000,4.271304,4.112181,5.369112,4.135629,5.663123,4.346485,5.347781,3.654312,6.842924,4.121186,4.945687,5.855755,3.441988,4.893623,4.413499,5.947192,5.406843,5.698220,6.652255,5.084984,4.859329,6.654122,5.693941,3.365191,6.385793,2.555734,4.404904,5.679852,5.149151,6.375854,5.820956,5.036727,3.589675,4.357895,5.407008,4.398065,6.440776,4.988731,4.850971,2.618097,4.980002,5.904891,5.172082,5.816968,5.655681,4.577510,4.355518,4.151963,3.929667,4.689671,4.673592,4.955786,5.822650,4.533048,5.133041,3.939231,5.457829,5.813632,4.967105,4.055050,3.940022,5.120773,3.152668,5.219108,4.990717,4.730741,3.207295,3.583780,4.285816,4.846871,4.839978,5.906091,6.006802,5.417789,4.692534,5.935950,4.351832,5.573344,5.697964,5.929461,4.774399,6.210306,4.032216,4.390556,3.737936,4.104934,3.611994,3.736332,4.634420,3.689669,4.350557,3.531855,3.968365,4.521874,4.537469,4.788172,4.213929,3.502003,4.024969,4.298706,4.117658,3.485349,4.474206,4.207254,3.265199,4.200329,4.796037,2.993303,6.486351,5.677076,4.411060,5.201012,3.585356,5.409654,6.666330,2.239544,4.004406,6.398956,2.880800,3.847837,3.904286,4.968324,5.110077,5.176347,5.512163,6.409096,5.105485,4.276970,4.471248,4.673930,3.371699,7.018697,5.505998,3.780751,3.710477,5.975831,6.256238,2.823887,5.108549,3.881555,6.113912,5.705537,6.168067,4.199532,3.490283,4.149571,4.384282,4.755918,5.157846,6.155750,4.089200,4.332529,4.530618,5.002320,5.762457,5.818257,4.339550,5.202123,3.796805,4.537959,4.780357,4.972347,3.267137,4.877684,5.746811,2.866269,5.111704,6.016087,4.457687
C000495,124,4,9,18,1,,5.088812,5.814439,3.782002,4.589921,4.444154,4.763948,4.576733,2.725416,4.869008,6.126923,5.432699,5.831289,3.766828,4.937024,3.931902,4.618560,3.294354,5.381870,4.647811,5.723648,5.106460,5.292983,4.480439,3.348390,5.856035,3.918773,6.440488,5.535265,6.309923,5.518273,5.934944,4.068514,4.185885,5.309561,4.941513,4.452890,5.003622,3.816852,5.324908,5.471522,2.876933,2.322082,4.572371,6.737911,5.508852,5.573615,4.471753,5.423319,5.782382,6.004038,2.794574,4.996165,3.558954,4.870744,3.963234,3.997680,4.225914,4.403572,6.287526,6.606155,4.183296,5.095227,6.221498,4.745019,4.214970,5.678132,3.875539,4.631249,5.074407,5.385802,6.025859,4.018053,5.063065,6.237067,5.925809,3.687399,5.907896,5.606081,6.544233,2.869341,5.635830,4.100041,5.344056,4.999641,3.168160,4.643498,5.506656,5.946233,5.216571,3.409924,4.352396,4.374363,4.628976,5.165427,6.260958,4.926887,3.939716,6.534968,5.849711,2.961728,4.990881,5.208998,3.851996,4.849527,4.693366,4.339560,4.504601,4.851958,3.717061,4.112242,3.639616,4.521263,4.329390,3.992268,4.184876,4.670488,4.040358,4.332598,3.276107,3.899062,4.512742,4.709743,2.962196,4.430335,4.253920,4.291983,3.369764,4.292652,4.357729,3.691249,4.162636,2.923531,4.122158,5.896902,4.201732,4.444031,5.942557,5.807338,4.454463,6.957147,6.370935,5.984128,3.876019,5.133122,4.751800,5.782957,4.363818,6.432905,7.593672,6.333016,5.352284,5.342981,6.057540,4.355102,4.061091,6.504397,5.346742,6.636813,4.067130,4.883441,5.942543,5.268127,5.189418,7.011005,6.179803,2.518339,3.518340,4.081964,4.666530,6.204741,6.522396,5.575348,6.322861,5.238335,4.164493,5.700097,6.002094,6.438218,3.658751,3.626419,4.697158,5.389651,5.735925,7.269815,6.510635,3.097628,4.785940,4.735457,5.369134,5.016199,4.823235,7.242817,4.430881,5.207655,5.768457
C000496,125,1,10,18,1,,7.432254,4.796602,3.466003,5.149400,4.070036,4.948101,5.994112,6.139612,4.272985,6.411029,5.850064,5.045882,5.735578,6.505174,3.658895,5.456107,3.086017,4.148264,4.934428,3.091176,4.374508,5.372736,5.281067,4.677444,5.013752,5.257353,5.368318,3.619849,3.924127,5.823207,3.523866,6.622245,4.979108,4.095108,5.792143,5.281302,4.604286,4.462030,4.643634,4.819373,7.773021,4.197121,4.897464,5.771925,6.760751,4.469455,3.424955,5.668362,2.705183,5.646902,5.735070,4.157162,5.776518,6.632056,3.952323,4.596680,4.032836,4.237152,5.428534,3.771927,6.124970,2.660191,6.718399,5.404481,4.839340,5.594520,6.355928,3.265326,3.705792,4.142262,5.881912,5.229055,5.000929,5.038022,6.402184,4.411121,4.206143,2.656652,3.901452,4.765398,6.472913,3.973797,6.729737,5.942233,5.075982,4.602834,5.044746,6.953835,6.106844,5.066222,4.946539,4.485150,6.518824,6.365503,5.564607,6.078752,5.196538,4.549687,4.383856,5.007384,5.064599,5.482151,4.699461,4.928331,4.644529,5.381470,3.415768,4.251982,3.882691,3.987983,3.449267,3.936719,4.045090,4.433411,4.293398,4.285798,4.519117,3.814652,3.957206,4.566987,4.588374,3.695585,4.387209,4.209319,4.453235,4.329334,4.258791,4.134999,3.185480,3.705213,4.865880,4.172584,7.896424,3.369999,4.857237,4.097108,4.154729,5.900571,4.721459,5.157202,5.129951,5.031378,2.875138,6.204387,3.493916,4.400696,6.423017,5.270979,5.446745,5.672663,3.289164,5.524550,5.497276,5.681891,7.253903,4.471475,5.627796,4.585047,4.056627,6.827924,5.096783,4.823731,3.935751,5.287988,4.882167,5.380017,5.108236,4.538741,5.121227,3.604641,4.559961,4.204891,4.446801,5.096713,6.790987,3.875649,2.125028,5.515918,4.235622,5.525597,5.054276,4.769376,6.127657,4.104904,4.072912,4.684315,3.230444,4.513895,4.179328,6.139557,4.992463,6.348577,4.725306,5.812940,2.368294
C000497,125,2,11,18,1,,5.560484,4.079230,5.478068,6.135857,4.917576,5.773114,4.489202,2.901825,4.865355,2.466379,4.323024,5.985276,6.609455,6.655621,4.618329,4.964373,4.914050,2.888231,3.816017,5.579347,5.624967,5.052185,6.568286,4.816546,5.322666,5.689749,5.491998,4.724244,4.361763,4.499249,4.575877,3.712998,5.885395,6.438020,5.174513,4.433746,4.538150,3.753302,4.184298,3.719102,5.437432,3.539364,4.159399,6.296739,4.853693,5.606812,4.756223,4.427870,5.484966,3.978076,4.307296,2.612278,4.426798,6.971823,5.851426,6.938901,3.410659,5.066962,6.956557,7.680430,5.173035,4.906405,3.237684,5.596042,5.756490,5.316587,4.890116,6.282886,3.182182,5.106723,5.835899,3.956543,5.130244,5.166876,5.389079,4.360639,6.567341,4.138366,4.863712,6.375491,5.925454,6.685502,4.118339,3.629540,4.824019,4.241089,4.560403,4.607262,4.452746,4.707502,4.414595,4.056057,4.997649,5.752747,6.126514,4.504271,3.906573,5.291851,5.698342,4.240838,5.071101,3.666065,7.240788,3.888762,4.607065,5.689306,4.590204,3.901072,3.883046,4.183722,4.557429,4.308866,4.182612,3.747445,3.995479,3.291163,3.273548,4.217750,4.314512,4.479028,3.740504,3.976218,3.822288,4.663712,3.247838,4.130156,4.429654,4.046008,3.645971,4.192461,4.525151,4.177851,5.513741,5.045841,3.523234,5.650085,6.101630,6.043409,4.138924,5.057935,5.687915,7.010865,5.455416,3.057013,5.698806,4.133999,6.228318,5.297676,4.275979,6.728276,3.742358,4.222274,5.820664,3.817768,5.572474,4.977134,5.082227,5.353486,4.510191,5.705661,5.264523,4.489424,5.199612,3.406608,4.777378,5.017820,4.961316,5.044037,5.272023,5.917432,5.279354,5.362723,3.726687,5.669748,2.943913,5.363587,6.368834,6.299095,4.315694,4.942542,4.897016,5.294077,6.940563,5.010604,6.085511,5.256380,4.436526,7.072799,5.021950,3.917484,6.035961,6.389552,3.743538,4.506059,4.237572
C000498,125,3,12,18,1,,4.549418,5.699383,6.140708,4.600943,5.717508,3.792067,4.439052,6.573392,5.490997,6.876320,3.622874,4.124524,4.509136,3.761488,4.744784,4.437637,5.411677,5.112982,4.071395,5.584595,4.697837,4.432485,6.103465,4.549300,3.835546,3.964940,5.382062,6.246124,5.550327,6.158352,2.828008,6.361628,3.839003,5.642121,5.292453,5.143972,5.849616,4.884035,4.432883,4.576361,5.045568,6.138297,4.395210,3.528176,5.649106,3.886943,4.784882,6.524967,6.992529,5.544749,5.665604,6.203512,5.212420,6.053173,5.716810,3.414039,5.081119,6.373445,5.486117,4.368124,6.352816,5.239345,3.815583,6.238120,5.270970,4.150549,4.522508,4.678898,5.359902,4.272405,3.068523,5.801709,5.505298,5.098285,3.616398,6.207569,5.592412,5.548538,5.805974,5.028627,4.876555,5.374424,5.143835,5.571607,4.848463,5.319759,5.870798,5.023529,5.740637,5.143724,3.352014,4.857413,4.249910,3.730867,6.030150,5.724630,5.128377,5.392039,6.254085,4.726067,5.335151,4.254694,7.833175,5.672908,6.000068,4.382548,5.411738,6.245530,3.814841,4.511448,4.769617,4.080291,4.130992,4.720753,3.983206,4.005950,3.938330,4.187756,3.759003,3.478053,3.930366,4.142400,4.102587,3.700198,4.003375,4.110427,4.064261,3.833950,4.045184,4.421675,3.979374,4.327412,5.440302,5.905965,5.950115,4.425123,6.598720,6.160029,5.684065,4.493783,6.737776,5.192481,2.985994,4.947193,5.786595,4.292432,4.274216,4.707254,4.874645,4.442830,5.426840,5.563428,5.990140,5.842002,5.637884,4.542744,6.950898,6.315395,6.383286,4.524169,5.074874,3.778610,5.101110,3.562261,4.572365,4.388915,6.329712,5.776363,5.854986,4.167714,3.649982,5.826937,2.767735,4.685546,5.746617,5.238773,6.065194,4.753529,6.137051,4.940751,4.474570,5.772680,4.622931,2.810408,4.836520,6.040716,4.589666,4.813909,4.871817,3.883897,2.623827,4.679959,3.744472,5.815040,5.410980
C000499,125,4,13,18,1,,4.464198,5.330369,3.621917,4.635238,5.884531,6.401112,5.036942,4.282072,4.840108,4.739818,5.428469,4.535753,7.168441,4.060440,4.552238,5.122797,5.315119,3.533859,4.385566,3.927958,4.797374,4.296764,4.761151,4.891859,5.082711,4.549496,6.750318,4.863729,4.188918,4.088224,6.331755,5.310031,6.320266,4.785374,4.565867,5.636264,4.159026,4.617992,3.197044,6.127309,5.211208,4.037571,5.821899,6.234908,4.943455,2.820998,6.902447,2.997721,3.379902,4.141973,3.796018,3.150813,5.669831,5.905515,5.426978,5.199109,5.620505,4.601618,3.658828,6.481007,7.328549,6.114946,6.303837,4.401606,5.845647,6.102573,4.032187,4.637587,5.774712,5.292646,4.238895,4.262240,4.851930,5.501933,5.489836,5.450220,5.745254,4.660562,5.182517,4.509443,5.035447,4.911690,4.638290,5.167048,4.794182,7.737144,3.382215,3.137445,5.271774,3.811795,5.690619,4.512413,4.310885,6.737983,4.268360,4.378910,4.379494,7.865055,4.959506,3.731822,7.712076,6.146563,5.652306,5.569950,4.353044,5.430479,5.286689,5.080871,3.325637,3.562566,5.148868,4.247526,3.489274,4.010641,3.899959,4.331187,4.033541,3.981750,4.038936,4.375005,3.326475,4.067062,4.558574,4.242895,4.080311,4.829704,4.170907,3.971644,3.712865,4.016457,3.983152,3.940666,4.027830,6.714250,8.173387,6.175283,4.162245,3.063597,5.286952,2.937243,5.135099,4.368637,5.447608,6.130800,6.913201,3.653156,4.029942,3.817934,5.608776,4.612750,5.947965,5.831288,4.884066,4.396420,3.071455,6.265870,2.886979,4.523215,4.972208,6.559723,5.402529,4.046032,6.878939,5.132484,3.788812,3.678346,4.304950,4.628875,5.832201,6.384882,5.502643,5.111466,5.814526,4.114956,6.162602,5.086886,6.533940,4.807412,5.984515,4.335460,3.331241,6.470312,6.642564,4.859485,3.820473,5.482965,5.611631,7.378156,5.647578,5.624464,7.690518,4.708861,4.441554,5.170106,5.437774
C000500,126,1,14,18,1,,4.989574,3.212374,4.784923,5.293677,5.294755,4.281699,2.273233,4.564064,5.570392,4.963445,5.217999,5.085674,5.043799,3.895053,5.674950,6.577266,4.856329,3.837554,4.561788,3.412054,2.989927,5.281134,4.307422,6.294113,4.634034,5.402433,5.767806,3.029833,6.933446,5.973251,5.213279,4.282595,3.540640,4.843224,4.054330,5.470849,4.452860,4.321762,7.096485,3.692047,3.822702,4.259975,5.807249,3.405457,5.059688,3.603306,1.491668,4.300401,4.569393,4.615639,3.077880,4.618728,5.099082,6.099934,8.055872,6.021857,4.893438,4.657345,5.286980,3.700724,4.829213,6.696385,5.707606,5.162411,4.292694,4.436261,6.127839,4.001024,3.951071,6.639414,4.287138,4.052201,4.706138,4.138926,4.866221,4.005801,5.233120,5.106146,2.751397,5.775918,6.337653,5.417983,3.431875,3.635195,6.037008,5.221880,5.978490,3.438493,4.538996,4.250030,7.560236,5.708509,6.434961,4.484721,4.735985,3.651583,5.400461,6.713331,5.098697,5.545728,5.006495,5.622842,4.675879,5.063027,5.637724,6.148930,4.510775,3.885728,4.374688,4.198256,4.247896,4.110707,4.001093,4.101724,4.327955,3.848102,4.338305,4.734665,3.609599,4.353402,3.875522,3.333292,4.838355,4.380366,3.432301,3.596467,3.665482,3.712873,3.892275,3.965433,4.053603,3.883498,5.477258,2.078158,3.793711,4.074238,7.291554,4.496143,5.674158,5.967409,7.604475,5.016730,4.644003,5.217187,6.075404,3.956482,5.044888,4.204488,6.920510,4.129797,6.535723,5.134757,4.675775,3.906036,4.631571,5.240557,4.215471,5.534179,6.767777,4.472965,5.280294,5.697275,4.862768,4.009793,5.862536,5.659286,7.095573,3.296398,4.986922,3.393726,3.932826,7.009483,5.335135,4.037124,4.470460,3.508212,3.814762,5.492781,3.434125,5.033215,2.992097,4.115932,4.658865,5.219094,7.037038,5.636306,5.353975,6.533795,5.906218,3.223952,5.799694,4.540948,4.459301,6.027123,5.253014
C000501,126,2,15,18,1,,4.131177,4.557511,4.813859,5.512046,4.380037,3.688272,5.915172,5.497282,5.737760,5.002571,4.441750,5.955133,4.214454,5.720295,5.759184,4.325823,4.570870,3.913680,6.879607,5.361148,4.720249,4.741348,2.719268,4.877225,3.983285,6.305780,2.936002,6.089448,4.574370,5.398177,4.489728,5.782994,4.482149,5.929554,4.254214,7.519804,5.266612,7.097608,5.403352,5.658761,4.494322,5.079173,5.291010,5.894668,5.317018,5.252860,5.376397,4.691933,6.523367,5.282578,4.425894,6.831021,4.970794,4.996224,4.093127,5.877815,4.732822,5.613430,4.377501,4.074952,5.517172,4.575730,4.132058,5.274030,3.937584,3.814218,4.644718,4.085300,3.358201,6.381851,4.277044,6.929719,4.701835,5.974592,6.716197,4.570767,5.668889,3.706776,5.196498,4.958983,3.444495,5.280046,4.777307,5.977971,5.320262,9.034229,3.211090,5.460925,4.580091,4.856386,4.714392,5.177881,4.686934,3.821050,4.705901,5.141907,4.667952,3.543710,9.612453,4.870012,6.770634,6.060987,5.973973,3.663751,5.584839,3.349253,4.809915,5.659700,4.444868,4.183029,4.002065,3.980045,3.429775,4.942179,5.100188,4.328983,3.565505,4.386775,4.104885,3.660117,3.585469,4.630957,4.020113,3.939075,4.130903,2.689586,4.155074,4.359397,4.027869,3.165301,4.302145,4.548180,3.404847,4.558495,4.585256,4.378242,4.825148,5.143710,4.551431,3.536806,3.595185,7.206749,3.009384,4.915508,6.020626,3.650866,5.348446,4.876744,6.414435,4.886537,6.683417,6.125674,5.278074,3.807172,4.306061,6.018056,4.948127,5.948548,5.306182,4.678446,5.548263,4.768476,4.537162,3.982880,4.505082,5.736575,6.222182,4.428639,5.506237,6.020730,5.191159,3.728977,4.252848,4.163676,6.875894,5.222522,5.715389,4.848109,6.172831,6.197554,5.030901,5.159593,4.951687,6.847550,4.706741,5.226755,7.024353,6.128543,4.779149,4.530723,6.321197,5.453473,5.070513,4.443383,5.178391
C000502,126,3,16,18,1,,5.598976,5.438395,5.025355,3.311556,5.561654,5.359651,3.085242,7.282088,3.928653,5.145709,5.983175,4.676553,6.573243,5.783348,6.456208,4.743179,2.853060,3.237747,5.672448,4.122260,1.751652,3.545295,6.023699,5.270252,5.973007,4.991934,3.005303,5.972012,2.605720,6.102559,5.437336,5.029848,4.917867,6.708961,3.073343,4.763427,3.625884,4.877487,6.325592,5.557574,4.212632,4.698645,4.600696,4.896616,5.244101,5.554986,4.355522,5.657435,6.645429,5.687086,4.508416,5.499920,4.324678,4.653656,5.016308,5.899529,4.106368,5.392351,3.895409,2.319796,2.949143,5.405872,5.010656,5.072791,5.879255,5.918398,7.125508,4.932059,5.783080,5.369925,5.111756,6.974551,6.422768,6.345672,5.252042,3.962948,3.486867,6.194577,5.701664,6.660027,5.710404,7.622373,5.551343,5.009492,5.707264,6.769596,4.802426,4.088506,4.150917,5.960758,4.131049,3.664520,5.810322,5.430493,2.739993,5.487921,4.104842,4.743513,7.821948,5.407956,3.641293,4.884733,5.428818,5.139523,4.165981,4.488171,4.935283,5.367593,4.235610,4.661409,4.091398,4.278096,5.115987,5.041300,4.590451,3.350158,3.782492,3.107433,4.494912,3.351437,3.288123,4.107947,3.182283,3.657661,4.403434,4.152125,3.885043,4.039323,4.037885,4.838257,3.924463,4.665656,4.455915,6.162065,5.941364,5.652896,3.756912,6.709105,4.909390,5.389299,6.708377,6.343165,5.581773,3.961134,4.795162,6.102310,6.595170,5.268255,6.336679,5.766087,5.160587,4.724005,4.314671,4.769329,4.919525,4.724160,5.652285,6.358804,5.460181,5.567766,5.123525,4.839097,5.222236,3.776168,5.821665,7.568141,5.180005,6.758941,4.440195,5.209651,6.088234,5.022397,3.385813,5.842210,6.108346,5.572623,5.868462,5.366763,5.980411,5.223463,8.647925,5.855047,4.446863,3.884809,5.186642,5.105359,4.360568,4.283866,6.843259,5.565663,6.126046,6.866041,4.495031,5.501326,4.403985
