SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000376,95,1,31,14,1,,4.188720,6.057393,9.042663,5.390116,7.563995,8.526184,5.918753,6.035999,7.147419,6.339059,7.052603,8.710184,4.027705,6.846189,6.727521,5.190375,6.769819,8.659683,6.879881,4.358605,5.352324,4.586246,5.398581,5.971782,3.769192,6.645159,6.660426,4.547170,5.564135,7.912817,3.305790,4.307373,3.833318,4.063549,4.022691,6.059327,3.516160,6.392659,4.445224,4.638264,5.217591,5.123194,4.570215,7.145736,7.004558,6.139225,4.660833,5.752145,4.040521,3.346312,5.570270,4.261340,5.298578,7.335088,3.591023,4.228422,6.100623,3.806214,5.233529,3.303465,5.560366,4.888971,5.105643,5.679301,4.799834,4.810714,4.523563,4.993673,4.490222,4.576564,4.503295,5.173895,6.536056,4.666493,4.915147,6.986664,4.520306,4.504942,5.002137,4.839365,5.564549,4.272238,3.488831,4.767758,2.818744,4.200998,5.154676,6.462666,4.539162,5.873489,5.041150,4.538950,2.707766,5.728110,5.602666,4.194272,7.389998,4.300165,3.341460,4.048988,4.799211,5.039929,3.730736,4.166083,5.671526,4.063153,4.653461,6.719220,4.851205,4.312652,3.682438,3.181305,3.612847,5.078374,4.236883,3.981019,2.647675,4.098139,3.971137,3.541323,3.736950,3.444686,3.694923,3.785131,3.979965,4.462483,3.521800,2.579741,2.300061,4.535799,4.855557,2.571675,3.043317,5.534337,1.655245,4.626253,4.255310,6.778245,4.917196,6.607035,6.517814,5.396940,6.360916,5.689357,4.445936,3.820814,7.331973,4.879961,6.161167,8.176601,5.571259,5.743402,5.018945,5.184004,4.053436,5.167080,5.831816,4.992530,5.470042,6.020735,5.707078,6.821877,2.991941,6.142925,4.517609,4.996899,4.110743,3.905888,5.334911,2.683884,2.927769,5.925250,5.186148,2.239105,5.311146,6.288871,4.081346,4.511026,3.928003,5.552947,4.833269,2.279531,4.542131,2.894110,4.659634,4.428195,4.680002,4.084929,5.323728,7.181467,6.397233,4.568477,6.270070,5.380755,6.150658
C000377,95,2,32,14,1,,4.952499,7.008291,6.391453,5.715325,6.033889,8.848539,5.690252,5.825866,8.835818,5.733210,6.049779,7.554442,6.574772,4.926724,8.049742,3.754929,7.241529,8.008088,3.427384,7.195992,7.747611,6.883766,4.805156,7.110779,6.609144,6.017616,7.560389,4.416519,4.788994,7.005743,4.896117,6.137603,6.517552,5.787239,5.187921,7.531983,3.621950,4.115656,7.592255,5.377948,5.768933,6.720690,3.747093,4.838283,4.126269,3.771024,5.815611,2.588542,4.244270,5.382210,6.732284,7.115343,8.349545,5.040834,3.841339,5.776565,6.794288,5.994071,6.174199,4.261367,5.996038,4.120055,4.717829,4.865654,4.978810,4.791531,5.388546,4.285283,4.716092,5.475861,5.381112,5.483618,5.746143,3.991956,5.002409,6.333734,5.517090,4.685284,4.157975,4.757095,5.196372,4.815260,5.708613,4.542619,5.377821,4.959638,3.149787,5.917447,4.240133,6.231512,4.891549,2.061566,5.461228,6.243881,5.229144,4.150368,4.673404,4.806644,4.033963,7.701434,4.109829,3.400809,3.945137,4.474722,2.843122,5.373652,5.716123,5.241348,3.794225,4.413947,3.469820,4.025120,3.206694,3.948909,4.873498,4.222176,3.469007,4.420252,4.015804,2.542227,3.874231,3.741237,3.704946,4.204477,3.770636,3.665378,4.314829,3.767945,3.964032,4.972704,2.193557,4.536800,3.216377,4.210506,5.602990,3.502365,4.601335,4.699237,6.372978,7.969618,9.273772,7.448764,6.326909,9.542056,5.517510,6.965397,3.052247,5.718343,5.691376,5.353798,4.738046,6.653350,2.574510,7.050542,4.109908,4.251415,5.935044,4.664887,5.904116,6.358872,5.671102,4.401956,5.330917,5.195950,5.980048,4.621323,5.259740,4.420117,3.676510,6.125225,5.178832,4.916431,5.964906,2.847047,5.815008,5.388165,4.560400,3.842327,4.675257,5.510924,3.181477,5.230258,8.218345,4.753923,6.999644,3.666458,3.352090,3.113965,4.358532,5.808570,5.292743,6.414419,4.528007,5.524923,4.834698
C000378,95,3,33,14,1,,3.825980,6.426832,6.854385,5.780638,6.511846,6.404483,5.321159,5.744769,5.441237,6.249415,7.864678,8.069012,4.753751,7.010615,7.738789,6.909104,4.946251,6.821729,5.918261,8.050876,6.560799,5.514901,5.282617,7.619428,5.094096,5.607338,7.397952,6.254960,5.583099,7.092149,3.885740,5.493286,2.776977,3.637521,2.348973,3.308440,6.056749,4.948288,7.095299,5.154112,6.315966,7.634674,4.651353,3.434212,5.036853,4.825294,6.437200,8.630322,6.708700,6.150499,3.360879,4.415385,6.127988,7.688113,3.657480,3.953099,3.122848,3.980004,3.542210,5.299387,2.844179,4.008594,5.017846,3.462701,4.580308,4.111050,6.425608,4.983474,5.189394,5.591333,3.685328,4.892440,3.860515,5.364244,3.879768,4.602039,5.174800,4.544607,4.851566,4.642211,5.014677,6.334252,5.094670,3.618111,4.027464,4.058735,3.243356,8.919655,5.074228,6.418877,3.919123,5.772637,5.711738,4.144627,3.746135,3.707408,4.127952,5.840117,4.717217,4.117596,7.361870,4.930570,5.162007,4.204912,9.068689,5.047358,2.844230,5.931624,4.036344,3.401241,3.121983,3.686063,3.736769,3.159732,4.236181,3.612559,3.571897,3.716159,4.429159,2.911758,4.303918,3.774409,3.586068,3.795700,3.475207,4.124714,4.390672,3.711871,4.067364,4.244396,2.917970,3.669614,3.026946,6.926195,5.384650,5.954732,5.939890,7.489677,5.034337,6.148798,5.686775,4.920628,5.173109,4.854099,5.486626,2.779737,2.976805,4.667847,7.631085,5.802825,3.531221,5.713447,6.537890,6.470414,4.855013,4.561828,5.070715,4.852153,3.259729,4.559283,5.011429,5.177349,6.457524,5.474575,5.885262,6.085857,4.447325,6.567326,5.135406,5.235422,4.535353,6.565589,4.558477,4.141081,6.372302,5.537212,5.389796,6.252569,4.645159,5.400852,5.725067,3.028354,6.353507,4.777234,6.949625,3.355045,3.553396,4.230139,5.302508,5.577906,4.732301,5.000645,4.220596,4.047721,4.538075
C000379,95,4,34,14,5,1101,5.671604,6.168677,7.615977,4.262628,5.985440,6.523923,5.458339,5.934876,7.077626,4.129883,5.567489,8.224066,5.301489,7.203571,5.217555,6.472673,7.432156,7.018902,5.853404,6.317847,6.804349,3.186559,7.800112,7.745483,4.719223,6.145062,6.920274,5.425077,4.917390,8.171306,6.078139,5.175336,5.678957,3.429830,3.983925,5.768391,4.674755,4.596079,4.786841,5.467970,6.993176,6.032706,4.612480,4.190446,4.084000,3.770100,4.433602,4.847993,5.445121,5.698248,7.371733,5.084403,5.414288,5.285064,4.188239,4.844834,5.730287,6.788991,6.045105,4.285585,4.568965,6.313907,4.391937,4.323978,5.315222,4.995090,3.259973,5.162837,4.893969,6.374410,4.148034,4.956974,4.660718,4.767165,4.207348,3.807447,5.357983,4.344868,5.285839,5.289306,5.282787,6.270584,4.465934,5.152195,4.907578,5.155213,5.306512,6.037840,5.747140,5.348980,4.284944,4.541786,3.627138,4.327547,4.523270,7.208531,4.847014,4.549788,5.094480,3.931628,7.044804,4.430531,4.931391,4.321631,5.171081,4.619905,4.083346,6.095692,4.559091,4.851029,2.730716,4.114935,3.456801,3.636392,4.727348,4.933573,5.613862,3.366021,3.710604,3.778876,3.591066,4.016313,3.047629,4.047018,4.155171,3.406820,4.189062,4.110359,4.545218,4.419820,3.032354,3.548154,4.891991,5.009404,5.477939,3.954583,4.543690,6.593131,3.885268,3.269125,7.634104,3.034363,3.702018,6.314569,3.780005,5.781850,3.381636,4.464708,6.906450,8.008385,5.610008,3.997191,2.758183,3.869645,4.917370,6.431728,3.559907,6.427261,6.148027,4.506739,3.673460,5.580001,5.560455,4.847478,5.225392,5.489754,5.889243,6.118526,4.658845,6.267531,4.207208,6.003816,5.794462,6.103162,5.212869,5.477315,4.897586,4.698999,4.403428,5.571719,4.373541,5.475158,4.039372,4.528195,5.286492,6.078444,5.997414,5.551063,6.742668,5.968639,4.749263,6.256284,4.304660,5.875050,4.513836
C000380,96,1,35,14,1,,5.689890,5.303104,9.036618,5.598353,5.061976,8.603724,6.117669,5.091279,8.463469,6.254202,5.935925,7.964383,4.955845,7.187758,8.276439,4.382427,5.749530,8.029682,6.852576,7.049917,7.368653,5.133142,5.765221,9.146662,7.208071,5.532447,7.162940,4.714553,3.868199,6.082787,6.278851,4.501858,3.739928,5.166082,4.544377,4.766180,3.749852,6.148489,4.451659,5.785120,4.676692,4.617492,4.887393,3.956279,3.717423,5.749436,4.384381,3.732529,6.481103,5.195639,8.383872,5.259183,2.433607,7.477545,6.319071,3.675972,4.663695,4.571150,5.774080,5.124502,3.961911,5.021577,4.837031,4.439727,4.514566,5.860215,5.648900,4.360347,4.296054,4.980379,5.673872,4.879731,4.480391,5.056138,4.605152,4.430134,4.861432,6.003380,5.237020,4.456940,5.154720,4.146052,5.284623,5.168801,3.169020,4.316475,6.552701,3.953513,7.091810,3.135622,6.392739,5.914215,5.008665,4.573281,4.214618,6.611919,6.048061,6.597068,4.018755,5.498072,3.805983,6.248220,7.036173,4.426217,4.940650,4.351817,6.124934,4.613808,3.956449,3.739518,2.828573,4.670239,3.479314,3.374729,4.711608,3.457722,3.604905,3.092894,3.946885,3.971377,4.000716,3.898783,4.015172,4.874601,3.161674,4.465748,3.435858,4.459385,2.811001,3.761650,3.805157,3.962032,4.933503,5.284394,5.990564,3.625392,3.772921,5.226331,5.996481,3.426504,5.287428,5.966640,5.182669,5.750305,4.374434,5.964082,5.822338,5.476596,5.839001,9.058163,5.908588,3.479677,4.745950,4.457856,4.112630,5.116584,5.718547,5.336898,4.755634,5.845988,5.533390,6.289156,2.496296,5.267914,6.591892,5.821334,4.853883,4.926284,6.485057,4.646189,5.277288,5.282935,5.642609,5.500684,4.817470,5.988060,3.721366,2.042778,4.815850,4.803651,5.163572,5.907241,5.097994,3.362684,3.180868,4.986521,5.261680,3.783641,5.374841,4.068900,3.715269,6.912168,5.738857,5.774040,5.786281
C000381,96,2,1,15,1,,6.019689,5.210888,7.857400,7.859232,5.171243,7.911792,5.108642,6.432536,5.758468,5.301712,5.358821,5.737449,4.601285,4.964781,7.025134,4.669895,5.577451,6.384020,6.099242,7.056562,6.093586,5.008566,6.262225,7.356694,4.811581,4.758038,7.186507,6.040879,5.428196,7.298904,5.156323,3.404045,3.267091,5.931008,4.501056,6.018898,5.330419,6.623724,5.055168,7.030582,6.427525,6.521941,4.597307,6.197641,5.001026,4.021868,5.495354,7.624290,3.378500,3.893422,6.875754,5.847161,3.014411,7.114755,4.230626,4.687063,4.467409,5.480226,3.722615,6.193510,4.918525,5.848677,4.008902,6.368143,6.827664,5.463364,4.083151,2.406703,4.926569,3.992922,4.992905,4.998792,4.376310,4.387053,5.809039,4.636104,4.010492,4.729551,4.458781,6.043497,4.939094,3.818353,5.628123,4.998477,5.095934,8.745144,5.865470,4.731619,4.813776,2.592677,4.954638,5.548382,4.296823,6.047779,7.288276,6.380529,5.286718,5.962607,4.352827,5.978926,3.960924,3.794622,5.141761,2.523071,6.522844,5.987979,5.296181,2.497996,4.153496,4.001965,4.334874,3.364032,2.881718,2.783750,4.754408,4.031800,3.572124,3.929595,3.715711,2.645196,4.767501,4.403838,2.666771,4.942925,4.238463,3.200769,4.212131,4.541227,3.178298,4.399226,4.090451,4.670521,4.887003,4.641248,3.798090,6.413065,3.732647,4.436499,5.706226,4.864679,7.201773,7.215123,3.223384,5.238407,5.017835,4.801556,2.194890,4.539598,5.166991,5.560891,5.378355,5.091649,5.906456,6.037634,5.797859,5.398343,5.451955,4.939642,3.958700,4.837396,4.190174,5.820615,5.284174,5.696874,4.737133,6.510583,4.753712,7.187149,4.500299,5.625834,5.410100,5.185334,3.385020,4.098913,5.384474,3.340665,3.929228,6.600909,3.938445,3.992762,4.981535,5.868618,4.253958,5.325101,4.625678,6.544751,4.300917,4.478415,4.664543,5.147531,4.726224,5.014991,4.894549,5.447033,5.472769
C000382,96,3,2,15,1,,4.872095,5.869007,6.922510,5.491713,7.252580,7.851052,4.952083,5.959033,5.952407,3.716256,6.296849,7.334492,5.535412,7.804986,7.054563,4.617394,6.758796,7.071225,3.267849,7.753162,7.232220,4.307418,6.304447,8.081337,6.729793,4.633078,6.490572,6.204531,7.217446,7.491712,4.605806,4.625160,4.804558,5.542637,6.515289,7.460845,5.323785,6.189351,5.372594,4.517641,5.434760,4.072712,4.093875,4.640141,7.073832,3.288380,6.259893,4.528734,6.169626,3.842516,5.673524,3.355118,4.123280,7.564686,3.245437,4.617010,6.444167,3.431056,4.030215,5.839517,5.416836,3.999395,4.667149,3.925196,3.391988,5.119788,5.209414,3.706413,4.431528,6.076460,3.974920,6.257680,5.634002,4.937635,5.133364,6.366566,5.280385,4.803317,3.832911,6.470159,4.117317,5.804177,5.837065,5.614675,5.994531,5.609098,4.981136,3.945352,2.978873,3.694289,4.092325,5.812456,5.686819,8.709274,4.803398,5.110021,4.679056,5.669147,5.206231,4.695576,5.833171,4.176690,4.189954,5.423430,2.522527,3.336838,6.893229,3.912696,3.897838,4.315474,4.649377,3.662718,4.214178,3.630366,4.067113,3.614357,3.890683,4.132988,3.777921,4.375689,4.261457,3.652003,5.153792,3.518696,4.094066,3.865644,4.173579,3.923941,3.760639,4.349581,3.152629,3.914300,4.360963,5.649708,3.946655,5.441202,5.024923,4.775380,5.209941,2.940817,2.005745,4.513616,4.206405,5.511220,5.632916,3.913661,6.069810,4.751994,6.693737,3.303587,3.383595,3.997479,2.466971,5.581538,5.919369,5.434024,5.694862,4.464301,6.135048,5.657707,4.024001,5.450469,4.876148,3.493496,4.920702,5.435721,3.244019,4.471870,3.824386,5.370573,4.330244,5.135175,6.073455,4.027268,6.375051,5.208906,6.689927,5.667717,6.423706,5.632287,7.062889,4.242201,4.215085,5.872643,5.177840,3.578693,5.664237,4.384328,6.003176,4.885885,3.238852,5.203169,7.675151,4.164818,2.903783
C000383,96,4,3,15,1,,6.780149,6.014759,7.808853,5.271092,5.641616,6.916585,5.034249,6.161307,5.641559,5.067233,6.579178,6.207840,5.650516,5.690249,7.224034,5.690236,6.100012,5.977212,3.358802,7.533499,8.418018,6.136417,5.976204,5.027479,6.648698,7.347255,7.470237,5.832686,6.887288,8.671313,4.770194,5.088725,2.073459,5.680597,6.679094,4.414672,4.856627,3.161615,4.610826,2.210652,5.626217,4.764148,3.506006,4.987705,4.679994,4.874128,3.871071,5.814647,5.124726,4.162262,5.169510,5.013370,3.369033,3.282709,5.910908,4.882047,7.563745,5.516185,6.459201,4.922329,5.578547,5.626556,4.994501,5.539919,5.560789,5.063068,5.284617,5.327967,5.115187,4.134586,6.258472,4.740843,5.996615,3.294031,5.507300,4.602422,4.996849,4.772263,4.923718,5.494324,5.304953,3.168985,4.928033,4.822154,3.795814,5.742696,9.014068,6.470327,3.937678,4.927904,5.215181,7.771330,5.104443,5.054919,4.750755,0.743530,4.679147,4.182264,4.648021,4.315954,5.267850,5.351154,2.735924,6.290989,7.846990,4.715313,4.923064,2.816934,3.840565,4.588403,3.809512,4.500655,4.113783,3.630581,3.681020,3.676282,3.321406,4.706995,3.913299,4.052688,4.487981,4.313046,4.437827,4.683005,4.673808,4.186154,3.723909,4.340064,3.931716,3.702641,2.996599,4.658438,4.040284,4.345358,2.512579,6.610675,6.200978,3.611562,6.207945,2.829241,4.796005,6.015442,5.776392,6.565251,6.627044,4.134915,6.365868,4.752430,4.905989,4.853905,4.384433,4.987094,5.925591,5.798341,2.882844,6.456309,4.895213,3.689383,6.150956,4.886416,4.808830,3.418172,4.711847,4.850367,3.876440,5.366579,4.549544,5.461961,5.912941,3.192860,4.994307,4.816637,5.454812,3.049287,5.993470,6.064534,3.776643,5.723005,4.063624,5.894846,5.705870,5.258802,5.956320,5.916042,6.402464,4.476933,5.119315,5.236098,5.632798,3.878504,4.660718,4.736074,4.292435,4.459394,4.813382
C000384,97,1,4,15,1,,3.849672,6.869839,6.382527,5.977260,7.761801,8.805423,4.167024,5.857435,7.680948,7.308064,6.408284,7.785580,5.047419,7.682090,9.189810,6.536821,5.158096,6.661078,7.804566,6.816057,6.884277,6.139909,7.218385,7.397099,6.228042,6.923267,8.340373,4.807018,7.086856,6.907703,3.247547,4.538800,3.282206,6.797303,6.251354,0.646607,6.244765,4.336663,6.730165,4.060231,5.352737,5.682220,4.748632,6.297318,2.962257,5.283935,5.866590,4.454953,4.613114,2.301520,5.308669,4.866294,5.751833,4.960405,4.933980,4.050912,2.583349,2.309659,4.567688,4.577114,3.239227,5.388983,5.453372,5.635910,5.390931,4.944748,4.708311,4.734798,5.605943,6.240394,5.379231,3.831193,4.951911,5.138991,3.534352,5.204608,4.775352,5.203980,4.835319,3.350422,4.567309,5.310904,6.723034,6.112931,5.829658,6.874775,5.818888,4.509839,3.430531,9.411144,4.732729,5.177465,3.591886,2.431765,3.271984,7.232865,4.642554,5.088516,6.530279,5.407638,6.092986,3.607593,3.378748,7.645182,8.642244,5.279678,5.723977,7.401681,4.326786,4.247648,3.327883,4.504085,3.912552,3.528704,4.007988,4.049297,2.417459,4.812253,3.075860,3.480393,2.289116,3.692130,1.886278,3.662193,4.223732,3.734920,3.703167,3.206708,4.542316,3.927384,4.455764,2.006962,6.339841,3.583074,6.674354,3.692031,3.816266,3.506650,5.713367,5.549928,3.286091,3.870394,3.948655,4.937504,4.787682,1.700529,3.877146,3.674259,5.645801,6.854065,5.446817,5.333294,7.141177,4.925218,4.702275,5.118677,4.079547,4.651593,5.612893,4.657241,7.188734,3.880900,4.325476,5.064186,4.967211,3.994576,4.813221,4.196097,5.032173,5.246267,5.808226,4.113648,5.517411,5.426359,5.350793,4.335863,4.499530,4.169756,5.776508,4.302416,4.767304,5.470527,4.129643,4.323845,5.366248,3.745699,5.446977,5.559102,7.218230,3.671631,5.578097,3.464676,5.112794,3.584875,4.270087
C000385,97,2,5,15,1,,5.669948,6.652178,6.469878,3.112327,6.477550,5.302720,6.121361,3.188366,6.613198,4.751097,6.408026,5.787718,4.873504,8.093734,7.668848,5.209645,6.545568,7.902040,5.558667,6.063946,6.899349,2.658950,7.316070,7.656794,4.681737,4.277148,8.426765,4.767175,6.824124,8.206955,4.714632,5.434346,7.202128,7.108463,3.966436,4.552379,6.290666,3.968217,6.173246,4.634036,5.630790,7.097973,5.050007,7.482846,6.026810,5.791179,5.178091,5.588583,6.123499,5.207240,3.549254,6.404080,5.715429,6.882645,6.020315,6.305980,3.332718,4.633266,2.310212,6.764040,5.481655,4.172644,4.798091,4.553360,5.368469,5.548415,5.211914,3.944966,5.387406,3.957344,5.840318,5.066063,6.068405,3.923294,3.207830,4.732573,5.310395,4.076400,5.041940,4.524051,5.111343,5.275180,5.212310,4.840555,6.585134,6.360502,7.049928,5.021995,4.826595,7.725756,4.498766,4.677383,3.720195,6.166868,3.622757,6.197487,5.721543,4.569212,3.704141,4.634203,5.045161,4.903209,4.459940,5.964274,4.465510,5.899530,4.408233,4.610321,4.084446,3.323402,5.121912,4.348750,3.447110,2.378756,3.943545,3.704568,3.126965,2.766033,4.037691,3.319843,4.781316,3.788573,3.518163,4.135376,4.406660,2.977203,3.766730,4.463567,3.372379,3.684497,4.243179,2.496011,3.656067,2.675103,3.685266,3.847126,5.697712,2.908241,2.320127,5.540678,6.781356,5.770015,5.841079,5.986205,5.620876,4.756013,6.701411,4.046580,7.106463,2.852613,4.835555,5.031921,3.695837,4.077454,6.304014,7.608536,2.881527,4.429025,5.546963,4.534102,4.384531,4.413464,4.522372,4.673442,3.682780,6.786842,3.830621,4.933559,3.224289,5.756697,5.181830,4.833618,4.238492,4.679421,6.751656,5.640736,5.226258,4.891163,6.607949,7.335873,5.616513,5.854997,5.870548,5.024109,5.847074,6.282046,6.817811,5.979524,5.210773,5.690178,5.098797,4.660931,4.363798,5.188589,3.629304
C000386,97,3,6,15,1,,5.889126,6.473928,8.098129,5.934848,2.941437,5.821085,5.322902,6.024302,5.490091,6.838053,5.272521,8.193505,6.784443,4.603208,7.652264,4.720843,3.027876,9.990000,5.330104,6.348482,6.905550,5.266789,5.398342,7.104174,4.061195,3.816609,4.897478,5.040231,8.529989,8.276009,5.761637,6.690218,5.066426,4.383788,5.814326,3.999111,3.778914,4.542821,6.399177,4.156582,2.976147,4.323605,6.277741,7.194750,5.501918,5.209450,6.417448,6.696649,5.982861,4.281817,5.775413,4.183644,4.017854,5.526201,6.061132,6.746362,5.678382,5.222965,4.304875,2.469708,5.760503,4.325149,4.184223,6.586107,2.500607,4.349657,5.591729,4.659255,4.506308,5.625687,4.297556,5.469318,3.978420,5.417201,4.825912,4.627511,5.526845,5.555776,4.313727,6.551372,5.004728,3.807800,5.773291,5.621996,4.585262,4.011015,6.416732,2.535226,5.748098,5.811281,6.526402,5.680482,3.443681,4.466889,5.174370,5.804819,4.936377,3.704852,4.914604,4.547043,4.113740,5.056875,4.793804,5.309504,3.452380,4.933450,3.159309,3.887157,4.345895,3.141886,3.732988,4.839158,3.207848,3.872513,3.035985,3.720806,3.500311,4.136668,3.916915,3.445498,5.224188,4.370285,2.706083,4.081513,3.584098,3.500801,5.106744,3.452673,3.733687,3.367034,4.484664,3.172113,4.217948,6.241073,4.508957,3.832844,2.215577,0.841489,3.104807,5.274571,3.483170,4.481188,6.622041,3.590500,6.571194,2.774723,7.941908,4.853424,5.547695,2.901571,6.757551,5.085369,5.358071,3.634999,5.193543,5.608770,5.708562,4.133324,3.296873,5.254956,6.656327,5.736270,4.398155,4.635117,4.849513,5.428802,3.362714,3.511861,5.434749,5.506749,6.180230,3.273779,3.393329,5.569627,3.710405,6.069992,4.744989,4.167166,4.163135,4.403830,6.062447,4.447725,5.678358,4.477760,5.003747,5.617311,5.949766,5.580804,4.888977,4.784740,5.096544,1.749996,6.311168,5.602275,4.075266
