SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
C000235,59,4,-18,-19,2,58,2.30199,0.94754,-0.00635268,0.985203,37,29,30,31,63,0.999934,1,1.25,1.5,1.75,0.963116,0.898656,0.886084,0.920809,0.99829,0.989736,0.995444,1.03054,0.990717,1.06111,,,,,,0.989788,0.891064,1.01758,0.958944,1.00211,0.893986,0.864859,0.769962,0.609073,0.572821,0.867837,1.03065,1.38251,6.19497,0.916349,0.993729,0.443573,-0.315611,3.69067,8.15288,1.00503,1.1975,1.17556,0.702868,0.908347,1.05383,0.965346,0.845615,0.95348,2.07773,0.806362
C000236,60,1,-17,-19,2,19,0.890289,2.25714,2.61296,-0.616799,26,29,29,30,24,1.00002,1,1.25,1.5,1.75,1.02097,1.00405,1.07789,1.03496,1.1136,0.955998,0.983112,0.927866,0.989979,0.930642,,,,,,1.00344,1.05668,0.992874,1.04019,0.981627,0.958548,0.77381,0.799045,0.673423,0.571841,0.995006,0.961566,1.54355,1.37387,0.882136,0.887638,0.361892,2.3167,3.5668,1.54249,1.03173,0.892301,0.775348,0.747978,0.624054,1.04915,0.905706,1.05969,1.52415,0.754119,1.18293
C000237,60,2,-16,-19,2,60,1.26642,1.0753,-0.906948,2.68299,38,45,42,45,0,0.999997,1,1.25,1.5,1.75,0.99418,1.00376,0.942364,1.00561,1.10774,1.1407,0.931481,1.05251,1.03021,0.952768,,,,,,0.913671,0.953633,0.886353,1.03911,1.03582,0.913046,0.856358,0.749244,0.705241,0.558925,0.793067,0.666665,1.04755,0.667932,0.253848,0.912972,0.380125,2.10988,-1.39873,7.67689,0.88183,1.11526,0.919686,0.770051,1.43604,1.16484,1.34292,1.32259,1.09577,1.92035,0.728231
C000238,60,3,-15,-19,2,60,1.4641,1.22717,1.26022,0.390712,24,28,41,30,0,0.999951,1,1.25,1.5,1.75,1.00635,1.05015,1.02687,1.08615,0.969497,1.06323,1.18413,1.05228,1.0203,0.961312,,,,,,0.992853,1.03922,0.996109,1.04992,0.98633,0.954158,0.838036,0.745576,0.63463,0.513633,0.926988,1.18605,1.10711,1.13895,1.11022,0.808359,0.455791,-0.0378208,3.54258,-0.664749,1.0359,0.888407,0.83022,0.746284,0.668709,0.628092,1.01984,0.824901,1.00902,2.06814,0.751303
C000239,60,4,-14,-19,2,60,0.157403,2.66671,1.02103,-0.633459,26,39,28,63,0,0.999837,1,1.25,1.5,1.75,1.01366,1.04711,1.05926,0.90721,1.03227,1.00843,1.00967,1.02056,0.976626,0.982709,,,,,,1.01505,1.00696,1.10199,0.9386,1.06982,0.882484,0.798835,0.789325,0.651217,0.528813,0.994411,0.896364,1.38329,1.13967,1.71084,1.11509,0.440163,-0.24037,-1.32891,-5.91061,1.04343,1.09084,0.754102,1.35132,0.926835,1.01184,1.02557,1.00124,0.858137,0.711482,0.53396
C000240,61,1,-13,-19,2,11,0.95557,0.27179,4.34998,5.76126,33,36,0,34,33,1.00006,1,1.25,1.5,1.75,0.953613,1.00537,1.01001,0.909759,0.987841,0.999805,1.01843,1.01743,1.03307,1.00783,,,,,,0.908035,1.06285,1.02991,1.1108,1.00799,0.852054,0.758988,0.757609,0.662907,0.542513,0.899579,1.05285,0.609239,6.26341,1.45868,1.04915,0.197809,2.20333,3.90837,7.29682,0.959183,1.23406,1.17851,1.16094,1.0178,0.80402,0.913887,0.962471,0.708096,0.800982,0.506181
C000241,61,2,-12,-19,2,60,1.38021,1.44569,1.04492,4.82903,29,42,23,53,27,0.999949,1,1.25,1.5,1.75,0.947289,0.99146,1.15074,0.994653,1.12136,0.988085,0.97625,1.04032,0.97813,1.00902,,,,,,1.00395,1.06028,0.995297,0.983346,0.913257,0.964886,0.818545,0.718044,0.667702,0.581899,1.02883,1.05801,1.24095,1.85639,0.881902,0.80544,0.293799,0.0655412,-0.383,6.87033,1.03455,0.845525,1.27171,1.20775,1.00232,1.30234,1.18861,0.74731,0.824661,1.9153,0.597897
C000242,61,3,-11,-19,2,60,0.286441,1.41741,-0.235427,1.57491,11,36,63,36,63,1.00013,1,1.25,1.5,1.75,1.0004,0.968819,1.09333,1.1127,1.10465,1.01076,0.879953,0.934853,1.05018,1.03583,,,,,,1.03713,0.947688,1.00989,0.985568,1.03352,0.933299,0.817806,0.772765,0.71274,0.536373,0.994899,1.00717,0.893102,-4.2815,2.14273,1.09521,1.34086,0.264343,-1.65313,6.97378,0.97521,1.14096,0.751583,1.30973,0.945609,1.14078,0.91626,0.627928,0.8188,0.819057,1.05134
C000243,61,4,-10,-19,2,60,2.46868,1.82034,-1.35797,-0.224497,32,31,51,25,50,0.999862,1,1.25,1.5,1.75,1.00128,1.01643,0.976675,1.01609,0.883998,0.947204,1.02337,1.09807,1.03225,0.962787,,,,,,0.950185,1.05467,1.01446,1.00249,1.04742,0.957376,0.863154,0.708205,0.604887,0.473904,0.996691,0.548799,0.436252,1.21275,0.848574,0.882644,1.58835,0.171165,-2.0036,0.946981,1.04488,0.934206,1.17905,0.740143,0.598389,0.780794,1.15299,1.18246,0.709519,0.788428,1.31726
C000244,62,1,-9,-19,2,31,0.274922,2.60753,-0.0252286,-1.7745,32,37,37,34,24,0.999941,1,1.25,1.5,1.75,1.03477,1.01106,1.06773,0.936403,0.741048,1.02208,1.05296,0.971309,0.965491,0.997739,,,,,,0.988125,1.09,1.03011,0.943745,1.01131,0.958957,0.85129,0.741427,0.594925,0.60192,0.868453,0.812288,0.933473,1.15418,1.03513,1.07728,1.33157,-0.429352,-2.1256,7.01822,1.06318,1.17665,1.104,1.17265,0.658967,0.660942,0.793329,0.971651,1.65525,1.01474,0.86751
C000245,62,2,-8,-19,2,45,1.82688,1.32944,-0.196094,-0.926143,45,35,32,27,0,1.00003,1,1.25,1.5,1.75,1.01614,1.05706,1.01605,1.02718,0.596711,1.01559,1.00737,0.916007,1.01727,0.999901,,,,,,1.06509,1.08928,0.953634,1.00246,0.998102,0.900595,0.825726,0.762583,0.694264,0.539991,0.951931,1.15626,1.22142,0.0877579,0.973735,1.01664,1.49188,0.0985547,-1.68477,-4.47248,1.02884,1.11197,1.12184,1.24371,1.0132,0.987357,0.996449,0.95426,0.842949,0.834802,1.19361
C000246,62,3,-7,-19,1,,2.19326,0.774066,1.5416,2.58094,35,28,28,0,0,0.999983,1,1.25,1.5,1.75,0.999331,0.999065,0.998572,0.964596,0.797628,1.00764,0.935942,0.958502,0.88455,1.0292,,,,,,0.988212,0.997218,0.992766,1.00462,1.03717,0.930557,0.763064,0.734633,0.684329,0.522855,1.17535,1.01182,3.45887,1.21029,-9.70458,1.04118,1.97082,2.23471,3.14511,7.51389,1.03741,1.1601,1.15794,1.2732,1.32437,1.14033,0.935685,1.38623,1.5312,1.84337,1.05605
C000247,62,4,-6,-19,2,60,1.54607,0.563518,3.8669,-0.373463,21,30,22,33,0,1.00005,1,1.25,1.5,1.75,1.00933,0.897018,0.99309,0.734376,0.998622,1.00707,1.02198,1.09555,0.957479,1.03075,,,,,,1.02992,1.05276,1.06023,1.06598,1.02602,0.941403,0.834122,0.777157,0.626933,0.531109,1.0732,1.00012,0.812137,6.40628,10.7429,0.969645,0.655218,1.91677,-1.70701,0.671022,1.00737,0.789896,0.848635,0.762092,1.34882,0.747637,0.586012,1.50024,0.933556,0.799221,0.836408
C000248,63,1,-5,-19,2,10,1.51516,1.94878,1.88598,-0.713578,35,33,0,34,63,1.00014,1,1.25,1.5,1.75,1.02229,1.0049,0.982109,1.00114,1.03944,1.01753,0.957494,1.00215,0.987378,0.970365,,,,,,0.960596,0.978616,1.01333,1.01607,1.01256,0.874621,0.828449,0.779412,0.672287,0.607437,1.00089,1.19021,0.981539,-4.5577,10.8112,0.990272,0.470075,-0.252153,3.48132,-3.65604,0.987295,1.16518,1.15754,0.757603,0.957122,0.860872,0.901607,0.930569,0.893918,2.03996,1.19727
C000249,63,2,-4,-19,2,60,0.635687,2.042,0.360422,-2.89991,41,34,19,63,22,0.999978,1,1.25,1.5,1.75,0.985387,0.969767,1.00235,1.05153,0.869424,1.00387,1.00755,1.01521,0.610366,0.917287,,,,,,1.01841,0.953899,1.00669,0.983541,0.980308,0.923982,0.811218,0.752817,0.648482,0.59183,1.13888,2.99477,1.40676,0.723279,0.594685,0.960509,0.73811,1.94837,3.29603,-4.72195,1.01515,1.15498,1.12926,1.31402,0.64282,0.788537,0.837648,0.997788,0.807429,2.24692,1.18771
C000250,63,3,-3,-19,2,17,1.07553,1.13419,0.84583,0.226156,26,0,53,63,63,1.0,1,1.25,1.5,1.75,0.938303,0.992321,1.10863,0.998212,0.986078,1.00271,0.990372,1.07244,0.952306,0.934513,,,,,,1.04326,0.985419,0.982279,0.954941,1.00073,0.938286,0.849122,0.774585,0.648575,0.554833,0.89207,0.911934,1.21876,0.763699,1.34741,1.0455,0.625029,2.00443,3.54879,-5.05029,1.01916,1.21063,0.883093,1.21742,0.967327,1.00166,0.811621,1.08639,0.771665,0.948952,1.98699
C000251,63,4,-2,-19,2,14,1.09588,0.27437,0.496467,7.84948,39,49,31,43,33,0.99993,1,1.25,1.5,1.75,1.03786,0.997819,0.964086,0.920101,1.00594,1.10699,1.03938,0.950268,0.905295,0.972495,,,,,,1.04624,0.994552,1.0397,1.03574,0.980809,0.885482,0.798221,0.709125,0.604176,0.542026,0.986653,0.739961,1.29175,1.51814,-9.60735,0.967533,0.30209,1.7882,3.52331,0.877085,1.0024,1.20366,0.848702,1.19812,0.697304,0.907639,1.24012,0.917698,1.69391,0.737473,0.818881
C000252,64,1,-1,-19,1,,0.83633,0.843782,2.21546,2.16647,32,32,49,0,0,0.999955,1,1.25,1.5,1.75,0.988828,1.03859,0.951614,0.940732,1.01568,0.962484,0.963181,1.03743,1.07674,1.05893,,,,,,0.949485,0.960235,1.00313,0.995362,1.01818,0.888055,0.869281,0.755298,0.677303,0.541311,0.995309,0.796876,-2.18197,1.15471,2.06354,0.94684,0.271104,-0.0274234,3.37363,8.95737,1.02763,1.04732,0.827553,1.25029,1.28426,0.848775,0.957104,1.32591,1.04525,2.01396,0.880418
C000253,64,2,0,-19,1,,-0.0643138,0.515162,2.10625,0.277169,45,28,24,0,21,1.00006,1,1.25,1.5,1.75,1.04004,0.987049,0.936385,1.09356,0.955754,1.04368,0.974294,0.976533,0.972257,1.0068,,,,,,0.948264,0.99019,0.959888,1.07599,0.958199,0.933119,0.7335,0.756465,0.700728,0.559297,0.935364,0.767885,1.38118,0.717683,0.873158,0.915852,1.48754,0.175639,-1.27586,-4.26986,0.847505,1.07634,0.812047,1.3236,1.27716,0.772752,0.912705,1.00444,0.856409,0.862664,1.05218
C000254,64,3,1,-19,2,60,0.110275,2.47299,1.70833,-3.47194,30,25,36,63,63,0.999899,1,1.25,1.5,1.75,1.02309,0.982591,0.98314,1.0593,0.993862,1.04934,0.962773,0.960753,0.933463,0.978143,,,,,,0.984714,1.03489,1.04775,0.895621,0.977377,0.888455,0.8574,0.76647,0.673699,0.562413,1.25543,1.03653,0.933251,1.00628,11.3621,1.16587,1.48235,-0.0381282,-1.47626,8.67561,1.01467,1.10841,0.88733,0.693706,1.25961,1.24855,0.866672,0.848188,0.907483,0.846559,1.0003
C000255,64,4,2,-19,2,60,0.614024,2.04342,0.906666,-0.964286,35,17,36,63,0,1.00006,1,1.25,1.5,1.75,0.952103,1.02152,0.998307,0.859892,1.00893,1.07457,1.02808,1.06136,0.908139,0.938116,,,,,,1.06558,1.01034,1.0356,0.935198,0.996721,0.967781,0.83395,0.741915,0.639286,0.515217,0.934693,0.921956,1.01371,0.652151,1.13413,0.917483,0.576334,2.24332,-1.34145,6.55095,1.0163,0.829101,0.785303,1.17947,1.40459,0.9169,0.849388,1.34641,0.830458,0.932425,0.61581
C000256,65,1,3,-19,2,27,1.69693,1.4159,1.10921,3.20914,38,50,29,27,63,0.999937,1,1.25,1.5,1.75,0.970066,1.01288,0.974017,1.05698,1.2036,0.937008,1.01447,1.11212,0.979534,1.021,1.03303,,,,,0.954314,0.934765,1.06511,0.981671,0.971058,0.899521,0.861812,0.768357,0.626675,0.817329,1.15013,0.8768,0.823138,5.88054,-8.26267,1.08623,1.57784,1.62654,-2.21417,8.10598,1.01436,0.864796,1.16239,1.28812,1.00499,0.956249,0.883839,0.794833,0.900841,0.971035,0.195219
C000257,65,2,4,-19,2,60,0.275136,1.96685,-0.773736,1.99577,28,29,0,33,23,0.999814,1,1.25,1.5,1.75,0.996876,0.987107,0.855497,0.972091,1.17979,0.991127,1.05435,1.01497,0.860155,0.854646,,,,,,0.992621,0.99648,0.984954,0.9774,0.993133,0.943664,0.81635,0.710023,0.650499,0.571011,0.891489,0.310232,0.811121,0.100073,0.0510856,1.09797,0.478407,1.36445,3.43777,-3.73462,0.975809,1.04004,0.857661,0.786215,0.679986,0.967147,0.920942,1.31363,0.745249,2.01668,0.183581
C000258,65,3,5,-19,2,60,0.925983,1.05657,-2.04055,2.69767,20,42,0,63,39,1.0001,1,1.25,1.5,1.75,0.997295,1.03238,1.00077,1.01598,0.89001,1.10137,0.972815,0.990912,0.954313,0.956609,,,,,,1.00074,0.933756,0.96493,1.07268,0.989961,0.897911,0.838673,0.773826,0.634063,0.575762,1.14306,1.11941,1.20732,0.475307,11.1133,0.933731,1.66726,-0.00571349,3.62932,-6.40022,0.96455,0.872802,1.08963,1.26956,1.37262,1.14244,0.978371,1.5734,0.746202,1.9367,1.12239
C000259,65,4,6,-19,2,60,2.03056,0.896552,-1.5483,5.83069,20,35,30,0,0,1.00039,1,1.25,1.5,1.75,1.02118,1.06491,0.907164,0.850034,1.61127,1.05939,0.99372,1.12561,0.998118,1.04814,,,,,,0.957438,0.977155,0.972505,0.98321,0.935441,0.879557,0.828293,0.79872,0.603988,0.549961,1.18399,1.21679,0.869283,1.37284,10.8985,1.01409,0.813399,2.09186,3.83224,2.8286,0.9846,1.12121,0.838001,1.31242,0.708741,1.07468,0.63264,0.759672,1.03392,0.923702,0.70192
C000260,66,1,7,-19,2,40,0.610573,1.30655,1.48743,6.04776,25,24,48,37,24,0.999983,1,1.25,1.5,1.75,1.02773,1.01587,1.06891,0.858848,1.26032,0.971474,0.965658,0.981596,1.00299,1.03959,,,,,,0.964972,1.01065,0.941699,0.982083,0.973957,0.938054,0.797295,0.736519,0.658859,0.565903,0.930589,-0.966414,1.22253,-4.01141,-8.31812,1.07887,0.434569,2.097,-2.05538,6.00099,1.07734,0.906615,0.820233,1.27968,0.678575,1.08488,1.31227,1.04068,0.929151,1.13455,0.703533
C000261,66,2,8,-19,2,60,2.05946,-0.0929984,3.26113,-1.38728,26,32,30,33,35,1.00006,1,1.25,1.5,1.75,0.994913,1.00846,0.938936,1.09311,1.05064,0.919788,1.05628,0.973855,1.03277,1.00785,,,,,,0.98117,1.06325,0.980657,1.05798,1.03645,0.923419,0.809169,0.784132,0.591275,0.564141,0.986724,0.843128,0.641905,0.909905,-7.3959,1.00633,1.50063,2.17672,3.13692,-5.72974,0.974958,1.11546,1.11813,1.31619,0.779685,1.07287,0.80994,0.891057,1.07027,0.856431,0.513114
C000262,66,3,9,-19,2,44,1.44181,1.69958,2.53138,3.23273,31,46,39,18,0,1.00018,1,1.25,1.5,1.75,0.985192,0.930749,1.00487,0.944081,1.05362,0.933711,0.958695,0.965209,0.919846,1.03276,,,,,,0.996467,1.03196,0.924259,0.980874,1.06566,0.890499,0.829901,0.746823,0.635479,0.576169,1.08779,1.30875,1.22672,0.767621,0.258964,0.890436,0.770486,2.03565,3.377,2.94493,0.969375,1.17299,0.760651,0.689474,0.630214,0.93969,0.99369,0.764499,0.716028,0.804555,1.44512
C000263,66,4,10,-19,2,60,0.473205,0.816011,0.289514,0.856741,30,39,22,34,34,0.999968,1,1.25,1.5,1.75,1.01604,0.931211,0.982209,0.945941,0.993638,1.01342,1.05573,1.02382,0.955217,0.990788,,,,,,0.969035,1.0324,1.00564,1.02513,0.939311,0.906255,0.866135,0.731793,0.961511,0.566642,1.22324,1.33183,0.277906,0.575914,-0.309401,0.947922,0.763637,-0.412901,-1.69824,7.59113,0.975139,0.873101,1.21867,0.766318,0.637315,0.860309,0.904745,1.18942,1.56107,1.14578,0.754216
C000264,67,1,11,-19,2,56,1.18501,1.88096,3.67203,-1.74682,23,39,36,50,63,1.00001,1,1.25,1.5,1.75,1.01736,0.983023,1.05568,0.981931,0.995358,0.92634,1.04058,0.963307,1.00394,1.04892,,,,,,0.998453,0.973927,1.15502,0.903058,1.03141,0.957764,0.840991,0.726067,0.687328,0.532503,1.1099,3.06104,0.463782,1.36703,-9.51791,1.12791,0.335325,1.91064,-1.4158,1.13262,0.963459,0.848937,1.21898,1.16732,0.990439,0.943172,0.930345,0.855512,1.61815,1.09421,0.934406
C000265,67,2,12,-19,2,32,0.98051,1.42872,-1.61157,0.842774,31,17,27,36,0,1.00002,1,1.25,1.5,1.75,1.00698,1.0539,1.00968,0.937242,1.01189,1.02553,0.988921,1.00078,1.05716,1.02962,,,,,,0.954321,0.975918,1.03178,1.01735,1.00725,0.957009,0.769901,0.679962,0.646527,0.567604,0.869341,0.891363,0.936155,-0.12788,-0.00407901,1.015,0.613898,0.17501,3.52302,-0.321468,1.02962,0.901993,0.907624,0.74441,0.698612,1.10195,0.913825,0.980657,1.52752,2.22165,0.991167
C000266,67,3,13,-19,2,60,0.608655,2.44529,1.13948,2.41416,40,28,39,63,63,1.00002,1,1.25,1.5,1.75,0.976113,0.983186,1.02692,0.985011,0.897516,1.0406,0.955032,0.899642,0.961391,1.0578,,,,,,0.982201,0.915626,0.978113,0.970385,1.0492,0.905629,0.824,0.728742,0.613159,0.530653,1.01023,1.25343,1.16995,1.67451,8.63719,1.0615,1.61914,-0.170716,-2.05282,2.0489,0.965167,1.10406,0.842265,0.783508,0.589606,0.954446,0.768361,0.851246,0.711133,2.19689,1.22124
C000267,67,4,14,-19,2,60,2.18427,1.90307,0.715692,-4.4389,20,25,36,25,63,1.00002,1,1.25,1.5,1.75,0.969526,1.01321,0.975392,0.993088,0.956896,1.11726,0.942952,0.972937,1.01783,1.06747,,,,,,1.03311,1.00273,0.98142,0.949357,1.04543,0.947098,0.845799,0.712685,0.599434,0.535483,1.09715,0.802625,0.958982,-3.70582,-0.588536,0.957653,0.316154,2.26741,3.43852,-5.72925,0.926687,0.844812,1.2184,1.2609,0.898029,1.4073,1.12032,0.71239,0.868639,0.758185,1.0269
C000268,68,1,15,-19,1,,1.03808,1.59104,2.90485,2.06291,45,44,17,0,28,1.00004,1,1.25,1.5,1.75,0.983585,1.00645,0.996974,0.872537,0.988124,0.947382,0.996707,0.991121,0.959999,1.07405,,,,,,1.00751,0.883961,1.0272,1.06299,1.05243,0.923486,0.909431,0.763171,0.623749,0.536789,1.04538,0.853358,0.933438,5.56404,0.284152,1.18454,0.640414,1.93462,3.2413,1.29605,1.00846,0.862526,0.827872,1.33232,1.05565,0.932827,0.880767,1.09828,1.33346,2.12875,0.955202
C000269,68,2,16,-19,2,60,0.253972,2.66626,1.12403,4.43594,41,40,22,0,0,1.00024,1,1.25,1.5,1.75,1.00708,0.983226,0.936713,0.974044,1.08164,0.982264,1.00096,1.04246,0.98666,1.00436,,,,,,0.996828,0.941264,1.07322,0.971434,1.0159,0.953114,0.869993,0.759506,0.680054,0.53771,1.10875,1.07115,3.54083,0.837176,0.396278,1.03105,0.526657,2.17135,4.0409,0.47206,0.922467,1.04613,1.1433,0.765619,0.619059,0.889852,1.08161,0.795296,0.979962,0.719948,1.29736
C000270,68,3,17,-19,2,60,1.51251,1.48609,2.00075,-0.795378,40,42,39,31,0,1.00004,1,1.25,1.5,1.75,0.999131,0.965855,1.09853,0.977372,0.662117,1.01747,0.954244,1.06195,0.985703,0.940669,,,,,,0.989289,1.08768,1.05701,1.05164,0.991105,0.922288,0.809469,0.755693,0.687363,0.556934,1.01589,1.09462,0.48938,1.44092,7.48577,0.974292,0.239715,-0.349131,-1.99489,8.81377,1.11682,1.13265,0.840711,0.79237,1.05135,0.792423,0.876153,0.848683,1.08666,0.878477,0.823278
C000271,68,4,18,-19,2,60,0.585499,0.618656,1.31584,-0.165144,39,36,24,0,63,0.999927,1,1.25,1.5,1.75,1.01936,1.0355,0.964418,0.697246,0.887622,1.12375,0.921552,1.10196,1.07474,0.94259,,,,,,1.02631,1.08174,1.07352,0.955548,0.950727,0.888717,0.840597,0.796506,0.666199,0.538191,0.994239,3.22544,1.07118,1.56163,0.45455,1.09381,0.193263,1.86039,3.67916,-4.93525,1.00115,1.20213,0.913051,0.740483,0.91815,1.1145,0.882855,1.24921,1.54413,0.908393,0.868233
C000272,69,1,19,-19,2,51,1.37506,0.464259,0.0790808,1.37883,42,26,33,63,25,1.00007,1,1.25,1.5,1.75,0.956842,1.00559,0.967085,0.95089,0.988327,0.979598,1.03465,0.946316,0.985499,1.01517,,,,,,0.978189,0.992807,1.00531,0.955593,1.0238,0.897911,0.82169,0.508341,0.600849,0.498781,1.13532,1.07664,1.16527,0.830576,1.66551,1.06665,0.4242,1.65267,-1.62156,-5.31363,0.988365,0.911403,0.848283,0.739249,1.39614,0.818775,1.38912,1.0034,0.943178,1.85951,0.855053
C000273,69,2,20,-19,2,60,1.09781,1.62233,-0.35422,3.03548,40,34,21,34,22,1.00018,1,1.25,1.5,1.75,0.967628,0.969757,0.99424,1.07242,0.923018,1.05152,0.943545,0.944821,0.961071,1.02624,,,,,,0.989561,1.09349,1.00572,0.961641,0.982103,0.927125,0.839659,0.724067,0.645312,0.535124,1.13333,1.10242,1.11781,5.66386,-9.9934,0.964361,1.29553,1.86176,-2.19815,-6.66757,0.91891,1.07971,0.771648,0.749954,1.31488,0.883998,1.08892,0.793793,1.81861,0.909312,0.890685
C000274,69,3,-21,-18,2,37,0.812011,2.24192,3.49822,-3.32967,34,31,35,0,0,1.00014,1,1.25,1.5,1.75,0.999767,0.99324,0.993785,1.13694,1.11089,1.02324,1.07996,0.988126,0.929726,1.05344,,,,,,1.0187,1.02854,1.07118,0.925704,1.04091,0.920069,0.771479,0.735757,0.644775,0.85625,1.02905,0.724671,1.35634,0.344976,10.8797,1.19723,0.394586,-0.261759,3.71705,1.89866,0.926683,0.859813,1.19923,0.705776,0.631131,1.09708,0.742555,1.06299,1.48191,1.0261,0.564305
C000275,69,4,-20,-18,2,60,0.748906,0.332205,0.791949,5.95349,33,26,42,0,32,1.00002,1,1.25,1.5,1.75,0.955729,1.11267,1.03707,0.990634,1.12734,0.957282,1.02964,0.975689,1.10532,0.992909,,,,,,0.989072,1.02576,0.990196,0.88436,0.991095,0.87933,0.778512,0.692606,0.64355,0.532447,0.935185,3.06169,0.666692,2.23491,0.279352,0.885262,1.74878,2.23279,-1.54887,-4.17449,1.03576,1.17802,1.25344,0.672226,1.00538,0.88834,1.33487,1.21867,0.789217,0.760591,0.644112
C000276,70,1,-19,-18,2,60,0.31144,-0.180936,4.14237,-4.58815,37,32,28,25,63,0.999919,1,1.25,1.5,1.75,0.954927,0.972139,1.01797,1.00611,1.00478,1.07657,1.04089,0.990229,1.03837,1.04138,,,,,,0.985657,0.968235,0.937572,0.975388,1.03389,0.942914,0.791437,0.74424,0.607963,0.53657,1.13069,1.46211,0.845935,0.9597,-0.00626686,1.00582,1.04757,-0.162562,2.97579,6.96728,1.01138,0.852398,0.873909,1.18268,0.582586,0.719751,1.12475,0.818779,0.90021,1.86448,1.06318
C000277,70,2,-18,-18,2,60,0.934565,0.00284647,2.21082,3.85165,24,63,35,30,63,0.99986,1,1.25,1.5,1.75,0.972684,0.95952,0.984633,0.985422,1.04354,0.862135,1.00406,0.914806,0.979191,1.05223,,,,,,0.954143,1.00499,0.966804,1.01797,1.06574,0.961911,0.808845,0.776424,0.681681,0.537116,0.627031,0.827416,0.945618,0.728199,9.23214,1.02559,0.629659,2.00287,3.23069,7.23582,0.99408,1.18621,0.790153,0.74845,0.567621,1.07351,1.37857,1.42693,0.894033,2.03614,1.07908
C000278,70,3,-17,-18,2,33,0.760234,0.27115,1.54989,0.653241,29,27,0,29,63,1.0002,1,1.25,1.5,1.75,1.02872,1.01018,0.989428,0.810926,1.16348,0.939744,1.04717,1.00609,1.02028,1.02938,,,,,,0.971572,0.978967,0.964581,1.00435,1.02756,0.857292,0.828802,0.715809,0.667037,0.208173,0.917148,0.9258,0.746871,6.51477,0.701979,1.05521,0.476487,0.211762,3.92888,1.17502,1.00406,0.863171,1.15827,1.2241,1.38114,0.716866,0.756677,0.793415,1.10527,0.974988,1.06876
C000279,70,4,-16,-18,2,60,1.51488,-0.272735,0.689822,4.92922,16,25,16,63,0,0.99976,1,1.25,1.5,1.75,1.01383,0.99687,1.00991,0.902425,1.20089,0.987426,1.04763,0.935455,1.03539,0.99744,,,,,,1.04037,0.945356,0.983874,1.01035,0.957816,0.939222,0.785291,0.743413,0.650084,0.510649,1.06344,0.811085,1.13034,1.70372,0.142468,0.874151,0.241816,0.374217,-1.25538,2.77958,1.0066,0.806821,1.23014,0.79953,1.06296,0.976277,0.746744,0.925717,0.815194,0.669575,1.08927
C000280,71,1,-15,-18,2,60,0.263963,0.75017,-0.640095,-1.23233,33,41,29,63,0,0.999969,1,1.25,1.5,1.75,0.997204,0.981288,0.950606,1.09799,0.907382,1.0759,0.916213,1.02387,0.949869,1.04111,,,,,,0.965552,0.947944,1.08682,1.05011,1.0361,0.968946,0.832891,0.739407,0.595895,0.600302,1.13573,1.2244,0.928432,1.0714,0.594809,0.901625,1.58057,2.60631,-1.96063,9.31805,1.06779,1.14072,1.21568,1.18991,1.3716,1.06729,1.00804,0.731575,0.809379,0.803333,0.508198
