item,group,shape,level,level_ko,tno,unit,before_lsl,before_usl,after_lsl,after_usl,target_before_mean,target_before_stdev,target_after_mean,target_after_stdev,expect_focus,expect_reason,th_cpk_low,th_stdev_delta_pct,th_alpha,th_cpk_high
LOW_CPK_01_L2,shape,low_cpk,2,검출(임계 소폭 초과),6201,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_01_L3,shape,low_cpk,3,심하게 검출,6301,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_02_L1,shape,low_cpk,1,차이 거의 없음(미검출),6102,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
LOW_CPK_02_L2,shape,low_cpk,2,검출(임계 소폭 초과),6202,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_02_L3,shape,low_cpk,3,심하게 검출,6302,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_03_L1,shape,low_cpk,1,차이 거의 없음(미검출),6103,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
LOW_CPK_03_L2,shape,low_cpk,2,검출(임계 소폭 초과),6203,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_03_L3,shape,low_cpk,3,심하게 검출,6303,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_04_L1,shape,low_cpk,1,차이 거의 없음(미검출),6104,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
LOW_CPK_04_L2,shape,low_cpk,2,검출(임계 소폭 초과),6204,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_04_L3,shape,low_cpk,3,심하게 검출,6304,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_05_L1,shape,low_cpk,1,차이 거의 없음(미검출),6105,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
LOW_CPK_05_L2,shape,low_cpk,2,검출(임계 소폭 초과),6205,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_05_L3,shape,low_cpk,3,심하게 검출,6305,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_06_L1,shape,low_cpk,1,차이 거의 없음(미검출),6106,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.1724137931034484,0,none,1.33,15.0,0.05,100.0
LOW_CPK_06_L2,shape,low_cpk,2,검출(임계 소폭 초과),6206,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.3218390804597702,1,cpk,1.33,15.0,0.05,100.0
LOW_CPK_06_L3,shape,low_cpk,3,심하게 검출,6306,V,0.0,10.0,0.0,10.0,5.0,1.149425287356322,5.0,1.8965517241379313,1,cpk,1.33,15.0,0.05,100.0
CONTROL_01,control,normal,0,,7001,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_02,control,normal,0,,7002,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_03,control,normal,0,,7003,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_04,control,normal,0,,7004,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_05,control,normal,0,,7005,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_06,control,normal,0,,7006,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_07,control,normal,0,,7007,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_08,control,normal,0,,7008,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_09,control,normal,0,,7009,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_10,control,normal,0,,7010,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_11,control,normal,0,,7011,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_12,control,normal,0,,7012,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_13,control,normal,0,,7013,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_14,control,normal,0,,7014,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_15,control,normal,0,,7015,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_16,control,normal,0,,7016,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_17,control,normal,0,,7017,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_18,control,normal,0,,7018,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_19,control,normal,0,,7019,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_20,control,normal,0,,7020,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_21,control,normal,0,,7021,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_22,control,normal,0,,7022,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_23,control,normal,0,,7023,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_24,control,normal,0,,7024,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_25,control,normal,0,,7025,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_26,control,normal,0,,7026,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_27,control,normal,0,,7027,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_28,control,normal,0,,7028,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_29,control,normal,0,,7029,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_30,control,normal,0,,7030,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_31,control,normal,0,,7031,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_32,control,normal,0,,7032,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_33,control,normal,0,,7033,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_34,control,normal,0,,7034,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_35,control,normal,0,,7035,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_36,control,normal,0,,7036,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
CONTROL_37,control,normal,0,,7037,V,0.0,10.0,0.0,10.0,5.0,1.0416666666666665,5.0,1.0416666666666665,0,none,1.33,15.0,0.05,100.0
ADDED_ITEM_01,added,normal,0,,8101,V,,,0.0,10.0,,,5.0,1.075268817204301,0,new_item,1.33,15.0,0.05,100.0
ADDED_ITEM_02,added,normal,0,,8102,V,,,0.0,10.0,,,5.0,1.075268817204301,0,new_item,1.33,15.0,0.05,100.0
ADDED_ITEM_03,added,normal,0,,8103,V,,,0.0,10.0,,,5.0,1.075268817204301,0,new_item,1.33,15.0,0.05,100.0
ADDED_ITEM_04,added,normal,0,,8104,V,,,0.0,10.0,,,5.0,1.075268817204301,0,new_item,1.33,15.0,0.05,100.0
ADDED_ITEM_05,added,normal,0,,8105,V,,,0.0,10.0,,,5.0,1.075268817204301,0,new_item,1.33,15.0,0.05,100.0
REMOVED_ITEM_01,removed,normal,0,,8201,V,0.0,10.0,,,5.0,1.075268817204301,,,0,removed_item,1.33,15.0,0.05,100.0
REMOVED_ITEM_02,removed,normal,0,,8202,V,0.0,10.0,,,5.0,1.075268817204301,,,0,removed_item,1.33,15.0,0.05,100.0
REMOVED_ITEM_03,removed,normal,0,,8203,V,0.0,10.0,,,5.0,1.075268817204301,,,0,removed_item,1.33,15.0,0.05,100.0
REMOVED_ITEM_04,removed,normal,0,,8204,V,0.0,10.0,,,5.0,1.075268817204301,,,0,removed_item,1.33,15.0,0.05,100.0
REMOVED_ITEM_05,removed,normal,0,,8205,V,0.0,10.0,,,5.0,1.075268817204301,,,0,removed_item,1.33,15.0,0.05,100.0
LIMIT_CHG_HI,limit_change,normal,0,,8301,V,0.0,10.0,0.0,9.0,5.0,0.9195402298850576,5.0,0.9195402298850576,0,limit_change,1.33,15.0,0.05,100.0
LIMIT_CHG_LO,limit_change,normal,0,,8302,V,0.0,10.0,1.0,10.0,5.0,0.9195402298850576,5.0,0.9195402298850576,0,limit_change,1.33,15.0,0.05,100.0
LIMIT_CHG_BOTH,limit_change,normal,0,,8303,V,0.0,10.0,0.8,9.2,5.0,0.9655172413793103,5.0,0.9655172413793103,0,limit_change,1.33,15.0,0.05,100.0
