item,source,wafer,group,level,level_ko,intent,expect,unit,lsl,usl,bin,metric,target,actual_metric,threshold,n_dut,fail_count,yield,note
UNITA_WIDE_L2_198,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITA_WIDE_L4_199,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,ma,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=A
UNITCODE_MEANSHIFT_L2_236,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_MEANSHIFT_L4_237,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_SEVOUT_L2_232,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_SEVOUT_L4_233,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_SPECTIGHT_L2_234,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_SPECTIGHT_L4_235,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_WIDE_L2_230,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITCODE_WIDE_L4_231,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,CODE,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=CODE
UNITHz_MEANSHIFT_L2_212,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_MEANSHIFT_L4_213,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_SEVOUT_L2_208,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_SEVOUT_L4_209,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_SPECTIGHT_L2_210,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_SPECTIGHT_L4_211,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_WIDE_L2_206,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITHz_WIDE_L4_207,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,khz,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Hz
UNITOhm_MEANSHIFT_L2_220,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_MEANSHIFT_L4_221,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_SEVOUT_L2_216,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_SEVOUT_L4_217,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_SPECTIGHT_L2_218,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_SPECTIGHT_L4_219,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_WIDE_L2_214,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITOhm_WIDE_L4_215,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,ohm,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Ohm
UNITPCT_WIDE_L2_238,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITSec_MEANSHIFT_L2_228,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_MEANSHIFT_L4_229,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_SEVOUT_L2_224,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_SEVOUT_L4_225,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_SPECTIGHT_L2_226,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_SPECTIGHT_L4_227,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_WIDE_L2_222,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITSec_WIDE_L4_223,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,ms,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=Sec
UNITV_MEANSHIFT_L2_196,6,7,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_MEANSHIFT_L4_197,6,7,unit_axis,4,크게 초과,MEAN_SHIFT,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_SEVOUT_L2_192,6,7,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_SEVOUT_L4_193,6,7,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_SPECTIGHT_L2_194,6,7,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_SPECTIGHT_L4_195,6,7,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_WIDE_L2_190,6,7,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
UNITV_WIDE_L4_191,6,7,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,v,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=V
WAFER_GRADIENT_L5_099,6,7,single,5,심각,WAFER_GRADIENT,fire,V,0.5,1.5,2,gradient_norm_abs_max,0.95,0.8086,0.3,2453,1412,0.4244,
BIN18_SEVOUT_L2_288,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN18_SEVOUT_L4_289,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN18_SUBPOP_L2_290,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN18_SUBPOP_L4_291,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN18_WIDE_L2_286,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN18_WIDE_L4_287,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,18,(조합),,,,2453,12,0.9951,
BIN31_SEVOUT_L2_294,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN31_SEVOUT_L4_295,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN31_SUBPOP_L2_296,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN31_SUBPOP_L4_297,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN31_WIDE_L2_292,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN31_WIDE_L4_293,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,31,(조합),,,,2453,12,0.9951,
BIN3_SEVOUT_L2_264,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN3_SEVOUT_L4_265,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN3_SUBPOP_L2_266,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN3_SUBPOP_L4_267,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN3_WIDE_L2_262,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN3_WIDE_L4_263,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,3,(조합),,,,2453,12,0.9951,
BIN4_SEVOUT_L2_270,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN4_SEVOUT_L4_271,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN4_SUBPOP_L2_272,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN4_SUBPOP_L4_273,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN4_WIDE_L2_268,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN4_WIDE_L4_269,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,4,(조합),,,,2453,12,0.9951,
BIN5_SEVOUT_L2_276,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN5_SEVOUT_L4_277,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN5_SUBPOP_L2_278,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN5_SUBPOP_L4_279,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN5_WIDE_L2_274,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN5_WIDE_L4_275,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,5,(조합),,,,2453,12,0.9951,
BIN8_SEVOUT_L2_282,7,8,bin_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
BIN8_SEVOUT_L4_283,7,8,bin_axis,4,크게 초과,SEVERE_OUTLIER,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
BIN8_SUBPOP_L2_284,7,8,bin_axis,2,임계값 소폭 초과,SUBPOP_GAP,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
BIN8_SUBPOP_L4_285,7,8,bin_axis,4,크게 초과,SUBPOP_GAP,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
BIN8_WIDE_L2_280,7,8,bin_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
BIN8_WIDE_L4_281,7,8,bin_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,8,(조합),,,,2453,12,0.9951,
UNITPCT_MEANSHIFT_L2_244,7,8,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_MEANSHIFT_L4_245,7,8,unit_axis,4,크게 초과,MEAN_SHIFT,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_SEVOUT_L2_240,7,8,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_SEVOUT_L4_241,7,8,unit_axis,4,크게 초과,SEVERE_OUTLIER,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_SPECTIGHT_L2_242,7,8,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_SPECTIGHT_L4_243,7,8,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPCT_WIDE_L4_239,7,8,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,fire,PCT,0.5,1.5,2,(조합),,,,2453,12,0.9951,value_type=PCT
UNITPFMISS_MEANSHIFT_L2_260,7,8,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_MEANSHIFT_L4_261,7,8,unit_axis,4,크게 초과,MEAN_SHIFT,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_SEVOUT_L2_256,7,8,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_SEVOUT_L4_257,7,8,unit_axis,4,크게 초과,SEVERE_OUTLIER,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_SPECTIGHT_L2_258,7,8,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_SPECTIGHT_L4_259,7,8,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_WIDE_L2_254,7,8,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPFMISS_WIDE_L4_255,7,8,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,not_fire,DEGC,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF(오분류) — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_MEANSHIFT_L2_252,7,8,unit_axis,2,임계값 소폭 초과,MEAN_SHIFT,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_MEANSHIFT_L4_253,7,8,unit_axis,4,크게 초과,MEAN_SHIFT,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_SEVOUT_L2_248,7,8,unit_axis,2,임계값 소폭 초과,SEVERE_OUTLIER,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_SEVOUT_L4_249,7,8,unit_axis,4,크게 초과,SEVERE_OUTLIER,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_SPECTIGHT_L2_250,7,8,unit_axis,2,임계값 소폭 초과,SPEC_TOO_TIGHT,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_SPECTIGHT_L4_251,7,8,unit_axis,4,크게 초과,SPEC_TOO_TIGHT,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_WIDE_L2_246,7,8,unit_axis,2,임계값 소폭 초과,WIDE_DISTRIBUTION,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
UNITPF_WIDE_L4_247,7,8,unit_axis,4,크게 초과,WIDE_DISTRIBUTION,not_fire,,0.5,1.5,2,(조합),,,,2453,12,0.9951,"value_type=PF — 측정 통계 없음(무판정), 값 기반 룰 발화 불가"
GROSS_FAIL_L2_101,7,8,single,2,임계값 소폭 초과,GROSS_FAIL,fire,V,0.5,1.5,2,yield,0.48,0.4798,0.5,2453,1276,0.4798,
EDGEC_centerbias_1_342,8,9,boundary,1,정상범위(미발화),MEAN_SHIFT,not_fire,V,0.5,1.5,2,center_bias,0.26,0.2601,0.3,2453,12,0.9951,임계값 0.3 대비 이내
EDGEC_centerbias_2_343,8,9,boundary,1,정상범위(미발화),MEAN_SHIFT,not_fire,V,0.5,1.5,2,center_bias,0.285,0.2853,0.3,2453,12,0.9951,임계값 0.3 대비 이내
EDGEC_centerbias_3_344,8,9,boundary,1,정상범위(미발화),MEAN_SHIFT,not_fire,V,0.5,1.5,2,center_bias,0.298,0.2986,0.3,2453,12,0.9951,임계값 0.3 대비 이내
EDGEC_centerbias_4_345,8,9,boundary,3,초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.305,0.305,0.3,2453,12,0.9951,임계값 0.3 대비 초과
EDGEC_centerbias_5_346,8,9,boundary,3,초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.33,0.3304,0.3,2453,12,0.9951,임계값 0.3 대비 초과
EDGEC_centerbias_6_347,8,9,boundary,3,초과,MEAN_SHIFT,fire,V,0.5,1.5,2,center_bias,0.4,0.3995,0.3,2453,12,0.9951,임계값 0.3 대비 초과
EDGEC_codeedgehit_1_354,8,9,boundary,1,정상범위(미발화),CODE_RAIL,not_fire,CODE,0.0,63.0,2,code_edge_hit,0.038,0.0379,0.05,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_codeedgehit_2_355,8,9,boundary,1,정상범위(미발화),CODE_RAIL,not_fire,CODE,0.0,63.0,2,code_edge_hit,0.045,0.0448,0.05,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_codeedgehit_3_356,8,9,boundary,1,정상범위(미발화),CODE_RAIL,not_fire,CODE,0.0,63.0,2,code_edge_hit,0.049,0.0489,0.05,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_cpkwarn_1_336,8,9,boundary,1,정상범위(미발화),SPEC_TOO_TIGHT,not_fire,V,0.5,1.5,2,cpk_warn,1.45,,,2453,12,0.9951,임계값 1.33 대비 이내
EDGEC_cpkwarn_2_337,8,9,boundary,1,정상범위(미발화),SPEC_TOO_TIGHT,not_fire,V,0.5,1.5,2,cpk_warn,1.38,,,2453,12,0.9951,임계값 1.33 대비 이내
EDGEC_cpkwarn_3_338,8,9,boundary,1,정상범위(미발화),SPEC_TOO_TIGHT,not_fire,V,0.5,1.5,2,cpk_warn,1.34,,,2453,12,0.9951,임계값 1.33 대비 이내
EDGEC_cpkwarn_4_339,8,9,boundary,3,초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,cpk_warn,1.32,,,2453,12,0.9951,임계값 1.33 대비 초과
EDGEC_cpkwarn_5_340,8,9,boundary,3,초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,cpk_warn,1.25,,,2453,12,0.9951,임계값 1.33 대비 초과
EDGEC_cpkwarn_6_341,8,9,boundary,3,초과,SPEC_TOO_TIGHT,fire,V,0.5,1.5,2,cpk_warn,1.1,,,2453,12,0.9951,임계값 1.33 대비 초과
EDGEC_kurtosis_1_348,8,9,boundary,1,정상범위(미발화),HEAVY_TAIL,not_fire,V,0.5,1.5,2,kurtosis,1.6,1.6,2.0,2453,12,0.9951,임계값 2.0 대비 이내
EDGEC_kurtosis_2_349,8,9,boundary,1,정상범위(미발화),HEAVY_TAIL,not_fire,V,0.5,1.5,2,kurtosis,1.85,1.85,2.0,2453,12,0.9951,임계값 2.0 대비 이내
EDGEC_kurtosis_3_350,8,9,boundary,1,정상범위(미발화),HEAVY_TAIL,not_fire,V,0.5,1.5,2,kurtosis,1.97,1.97,2.0,2453,12,0.9951,임계값 2.0 대비 이내
EDGEC_kurtosis_4_351,8,9,boundary,3,초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,2.05,2.05,2.0,2453,12,0.9951,임계값 2.0 대비 초과
EDGEC_kurtosis_5_352,8,9,boundary,3,초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,2.3,2.3,2.0,2453,12,0.9951,임계값 2.0 대비 초과
EDGEC_kurtosis_6_353,8,9,boundary,3,초과,HEAVY_TAIL,fire,V,0.5,1.5,2,kurtosis,3.0,3.0,2.0,2453,12,0.9951,임계값 2.0 대비 초과
EDGEC_outlierratiobad_1_330,8,9,boundary,1,정상범위(미발화),SEVERE_OUTLIER,not_fire,V,0.5,1.5,2,outlier_ratio_bad,0.04,,,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_outlierratiobad_2_331,8,9,boundary,1,정상범위(미발화),SEVERE_OUTLIER,not_fire,V,0.5,1.5,2,outlier_ratio_bad,0.046,,,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_outlierratiobad_3_332,8,9,boundary,1,정상범위(미발화),SEVERE_OUTLIER,not_fire,V,0.5,1.5,2,outlier_ratio_bad,0.049,,,2453,12,0.9951,임계값 0.05 대비 이내
EDGEC_outlierratiobad_4_333,8,9,boundary,3,초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio_bad,0.052,,,2453,12,0.9951,임계값 0.05 대비 초과
EDGEC_outlierratiobad_5_334,8,9,boundary,3,초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio_bad,0.06,,,2453,12,0.9951,임계값 0.05 대비 초과
EDGEC_outlierratiobad_6_335,8,9,boundary,3,초과,SEVERE_OUTLIER,fire,V,0.5,1.5,2,outlier_ratio_bad,0.075,,,2453,12,0.9951,임계값 0.05 대비 초과
EDGEC_outlierratiowarn_1_324,8,9,boundary,1,정상범위(미발화),OUTLIER_WARN,not_fire,V,0.5,1.5,2,outlier_ratio_warn,0.014,,,2453,12,0.9951,임계값 0.02 대비 이내
EDGEC_outlierratiowarn_2_325,8,9,boundary,1,정상범위(미발화),OUTLIER_WARN,not_fire,V,0.5,1.5,2,outlier_ratio_warn,0.018,,,2453,12,0.9951,임계값 0.02 대비 이내
EDGEC_outlierratiowarn_3_326,8,9,boundary,1,정상범위(미발화),OUTLIER_WARN,not_fire,V,0.5,1.5,2,outlier_ratio_warn,0.0198,,,2453,12,0.9951,임계값 0.02 대비 이내
EDGEC_outlierratiowarn_4_327,8,9,boundary,3,초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio_warn,0.021,,,2453,12,0.9951,임계값 0.02 대비 초과
EDGEC_outlierratiowarn_5_328,8,9,boundary,3,초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio_warn,0.025,,,2453,12,0.9951,임계값 0.02 대비 초과
EDGEC_outlierratiowarn_6_329,8,9,boundary,3,초과,OUTLIER_WARN,fire,V,0.5,1.5,2,outlier_ratio_warn,0.03,,,2453,12,0.9951,임계값 0.02 대비 초과
EDGEC_spreadnorm_1_318,8,9,boundary,1,정상범위(미발화),WIDE_DISTRIBUTION,not_fire,V,0.5,1.5,2,spread_norm,0.17,0.17,0.18,2453,12,0.9951,임계값 0.18 대비 이내
EDGEC_spreadnorm_2_319,8,9,boundary,1,정상범위(미발화),WIDE_DISTRIBUTION,not_fire,V,0.5,1.5,2,spread_norm,0.176,0.176,0.18,2453,12,0.9951,임계값 0.18 대비 이내
EDGEC_spreadnorm_3_320,8,9,boundary,1,정상범위(미발화),WIDE_DISTRIBUTION,not_fire,V,0.5,1.5,2,spread_norm,0.179,0.179,0.18,2453,12,0.9951,임계값 0.18 대비 이내
EDGEC_spreadnorm_4_321,8,9,boundary,3,초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.181,0.181,0.18,2453,12,0.9951,임계값 0.18 대비 초과
EDGEC_spreadnorm_5_322,8,9,boundary,3,초과,WIDE_DISTRIBUTION,fire,V,0.5,1.5,2,spread_norm,0.186,0.186,0.18,2453,12,0.9951,임계값 0.18 대비 초과
