item,case,level,level_ko,desc,metric,target_t,solved_metric,expect_focus,actual_focus,ok,note,cpk_ratio_pct,stdev_delta_pct,ks_d,meanshift_sigma,p_mean,p_stdev,before_avg,before_stdev,before_cpk,after_avg,after_stdev,after_cpk
DISC_SPARSE_01_L4,DISC_SPARSE,4,L4 검출(크게 초과),이산 + 한 계단에 몰림 (수준 편중),ks,3.0,0.4143,1,1,1,,99.94,-0.454389,0.4143,0.0254,0.567215,0.0,4.9993,1.042497992320651,1.598,4.9728,1.037760999472414,1.597
POS_SHIFT_01_L1,POS_SHIFT,1,L1 미검출(여유),평균만 평행 이동 (σ 동일),ks,0.0354,0.0505,0,0,1,,98.38,1e-06,0.0496,0.078,0.080118,0.523553,5.0,1.041666658164728,1.6,5.0812,1.041666669406224,1.574
POS_SHIFT_01_L2,POS_SHIFT,2,L2 미검출(임계 직하),평균만 평행 이동 (σ 동일),ks,0.0999,0.1001,0,0,1,,95.44,2e-06,0.0991,0.2196,1e-06,0.523553,5.0,1.041666658164728,1.6,5.2288,1.0416666794247376,1.527
POS_SHIFT_01_L3,POS_SHIFT,3,L3 검출(임계 초과),평균만 평행 이동 (σ 동일),ks,0.2761,0.2398,1,1,1,,87.37,1e-06,0.2398,0.6075,0.0,0.523553,5.0,1.041666658164728,1.6,5.6328,1.0416666662829503,1.398
POS_SHIFT_01_L4,POS_SHIFT,4,L4 검출(크게 초과),평균만 평행 이동 (σ 동일),ks,0.5061,0.4192,1,1,1,,76.81,1e-06,0.4192,1.1134,0.0,0.523553,5.0,1.041666658164728,1.6,6.1598,1.0416666681626203,1.229
POS_SHIFT_02_L1,POS_SHIFT,1,L1 미검출(여유),평균만 평행 이동 (σ 동일),ks,0.0354,0.0505,0,0,1,,98.38,1e-06,0.0496,0.078,0.080118,0.523553,5.0,1.041666658164728,1.6,5.0812,1.041666669406224,1.574
POS_SHIFT_02_L2,POS_SHIFT,2,L2 미검출(임계 직하),평균만 평행 이동 (σ 동일),ks,0.0999,0.1001,0,0,1,,95.44,2e-06,0.0991,0.2196,1e-06,0.523553,5.0,1.041666658164728,1.6,5.2288,1.0416666794247376,1.527
POS_SHIFT_02_L3,POS_SHIFT,3,L3 검출(임계 초과),평균만 평행 이동 (σ 동일),ks,0.2761,0.2398,1,1,1,,87.37,1e-06,0.2398,0.6075,0.0,0.523553,5.0,1.041666658164728,1.6,5.6328,1.0416666662829503,1.398
POS_SHIFT_02_L4,POS_SHIFT,4,L4 검출(크게 초과),평균만 평행 이동 (σ 동일),ks,0.5061,0.4192,1,1,1,,76.81,1e-06,0.4192,1.1134,0.0,0.523553,5.0,1.041666658164728,1.6,6.1598,1.0416666681626203,1.229
POS_SEPARATE_01_L1,POS_SEPARATE,1,L1 미검출(여유),양쪽이 서로 반대로 이동(분리 방향),ks,0.0134,0.0505,0,0,1,,100.0,3e-06,0.0505,0.0778,0.080524,0.523552,4.9777,0.5729166538862566,2.896,5.0223,0.5729166723603897,2.896
POS_SEPARATE_01_L2,POS_SEPARATE,2,L2 미검출(임계 직하),양쪽이 서로 반대로 이동(분리 방향),ks,0.0378,0.0991,0,0,1,,100.0,2e-06,0.0991,0.2196,1e-06,0.523553,4.9371,0.572916659246345,2.872,5.0629,0.5729166696713753,2.872
POS_SEPARATE_01_L3,POS_SEPARATE,3,L3 검출(임계 초과),양쪽이 서로 반대로 이동(분리 방향),ks,0.1044,0.2408,1,1,1,,100.0,2e-06,0.2408,0.6074,0.0,0.523553,4.826,0.5729166556512787,2.808,5.174,0.5729166686521723,2.808
POS_SEPARATE_01_L4,POS_SEPARATE,4,L4 검출(크게 초과),양쪽이 서로 반대로 이동(분리 방향),ks,0.1914,0.4192,1,1,1,,100.0,1e-06,0.4192,1.1136,0.0,0.523553,4.681,0.5729166654647184,2.724,5.319,0.572916673666841,2.724
SD_UP_01_L1,SD_UP,1,L1 미검출(여유),산포만 커짐 (Δσ% 경로),sd_delta,0.0312,5.0,0,0,1,,95.25,4.999995,0.0278,0.0,1.0,0.0992,5.0,1.0416666705463316,1.6,5.0,1.0937499540051954,1.524
SD_UP_01_L2,SD_UP,2,L2 미검출(임계 직하),산포만 커짐 (Δσ% 경로),sd_delta,0.1,16.0,0,0,1,,86.19,16.0,0.0505,0.0,1.0,5e-06,5.0,1.0416666705463316,1.6,5.0,1.2083333395569076,1.379
SD_UP_01_L3,SD_UP,3,L3 검출(임계 초과),산포만 커짐 (Δσ% 경로),sd_delta,0.2125,34.0,1,1,1,,74.62,34.00001,0.0823,0.0,1.0,0.0,5.0,1.0416666705463316,1.6,5.0,1.395833444199203,1.194
SD_UP_01_L4,SD_UP,4,L4 검출(크게 초과),산포만 커짐 (Δσ% 경로),sd_delta,0.4375,70.0,1,1,1,,58.81,70.000004,0.1397,0.0,1.0,0.0,5.0,1.0416666705463316,1.6,5.0,1.7708333836822105,0.941
SD_UP_02_L1,SD_UP,1,L1 미검출(여유),산포만 커짐 (Δσ% 경로),sd_delta,0.0312,5.0,0,0,1,,95.25,4.999995,0.0278,0.0,1.0,0.0992,5.0,1.0416666705463316,1.6,5.0,1.0937499540051954,1.524
SD_UP_02_L2,SD_UP,2,L2 미검출(임계 직하),산포만 커짐 (Δσ% 경로),sd_delta,0.1,16.0,0,0,1,,86.19,16.0,0.0505,0.0,1.0,5e-06,5.0,1.0416666705463316,1.6,5.0,1.2083333395569076,1.379
SD_UP_02_L3,SD_UP,3,L3 검출(임계 초과),산포만 커짐 (Δσ% 경로),sd_delta,0.2125,34.0,1,1,1,,74.62,34.00001,0.0823,0.0,1.0,0.0,5.0,1.0416666705463316,1.6,5.0,1.395833444199203,1.194
SD_UP_02_L4,SD_UP,4,L4 검출(크게 초과),산포만 커짐 (Δσ% 경로),sd_delta,0.4375,70.0,1,1,1,,58.81,70.000004,0.1397,0.0,1.0,0.0,5.0,1.0416666705463316,1.6,5.0,1.7708333836822105,0.941
CPK_LOW_01_L1,CPK_LOW,1,L1 미검출(여유),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.0176,1.58,0,0,1,,98.75,1e-06,0.0426,0.06,0.177918,0.977518,5.0,1.0416666670227919,1.6,5.0625,1.0416666760446123,1.58
CPK_LOW_01_L2,CPK_LOW,2,L2 미검출(임계 직하),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.0882,1.5,0,0,1,,93.75,1e-06,0.1259,0.3,0.0,0.977518,5.0,1.0416666670227919,1.6,5.3125,1.041666673614217,1.5
CPK_LOW_01_L3,CPK_LOW,3,L3 검출(임계 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.3971,1.15,1,1,1,,71.87,1e-06,0.4955,1.35,0.0,0.988124,5.0,1.0416666670227919,1.6,6.4062,1.0416666818971596,1.15
CPK_LOW_01_L4,CPK_LOW,4,L4 검출(크게 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.7059,0.8,1,1,1,,50.0,1e-06,0.773,2.4,0.0,0.893177,5.0,1.0416666670227919,1.6,7.5,1.0416666810750577,0.8
CPK_LOW_02_L1,CPK_LOW,1,L1 미검출(여유),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.0176,1.58,0,0,1,,98.75,1e-06,0.0426,0.06,0.177918,0.977518,5.0,1.0416666670227919,1.6,5.0625,1.0416666760446123,1.58
CPK_LOW_02_L2,CPK_LOW,2,L2 미검출(임계 직하),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.0882,1.5,0,0,1,,93.75,1e-06,0.1259,0.3,0.0,0.977518,5.0,1.0416666670227919,1.6,5.3125,1.041666673614217,1.5
CPK_LOW_02_L3,CPK_LOW,3,L3 검출(임계 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.3971,1.15,1,1,1,,71.87,1e-06,0.4955,1.35,0.0,0.988124,5.0,1.0416666670227919,1.6,6.4062,1.0416666818971596,1.15
CPK_LOW_02_L4,CPK_LOW,4,L4 검출(크게 초과),평균 이동으로 Cpk 하락 (절대 품질 경로),after_cpk,0.7059,0.8,1,1,1,,50.0,1e-06,0.773,2.4,0.0,0.893177,5.0,1.0416666670227919,1.6,7.5,1.0416666810750577,0.8
CONTROL_SAME_01_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_01_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_01_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_01_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_02_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_02_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_02_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_02_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_03_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_03_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_03_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_03_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_04_L1,CONTROL_SAME,1,L1 미검출(여유),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_04_L2,CONTROL_SAME,2,L2 미검출(임계 직하),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_04_L3,CONTROL_SAME,3,L3 검출(임계 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
CONTROL_SAME_04_L4,CONTROL_SAME,4,L4 검출(크게 초과),[대조군] before/after 동일 분포 — 전 레벨 미검출이 정답,,0.0,,0,0,1,,100.0,1e-06,0.0228,0.0,1.0,0.854816,5.0,1.0416666623458795,1.6,5.0,1.041666675189181,1.6
