DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_05,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_26,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_38,subject_39,subject_40,subject_41,subject_42,subject_43,subject_44,subject_45,subject_46,subject_47,subject_48,subject_49,subject_50
54,20.0,3.0,1.0,-0.182,0.890,0.227,-1.836,1.439,0.355,0.229,1.769,0.601,-0.309,-1.131,-0.678,1.201,-0.726,0.711,0.745,0.175,0.896,-1.310,0.872,0.832,0.816,1.902,-1.522,0.808,-0.528,0.044,-1.562,1.827,-0.208,0.396,0.708,-1.315,0.645,0.122,-0.103,-0.467,0.890,-0.022,-1.491,0.967,1.295,2.048,0.491,-0.526,-1.046,0.188,0.006,-0.077,0.520
55,19.0,7.0,1.0,0.997,-0.804,1.550,-1.480,0.134,-0.749,1.202,0.280,1.314,-0.888,-0.747,-1.002,0.237,0.683,0.262,1.056,1.162,0.795,-0.046,-1.412,-1.125,0.224,0.395,-1.107,-0.732,0.198,0.573,-1.531,1.857,1.691,-0.029,-1.433,-0.164,-0.509,-0.302,-0.050,-0.151,-1.104,-0.609,0.238,0.525,-0.296,-0.440,0.445,-0.834,0.390,-0.752,0.263,-0.275,0.024
56,2.0,1.0,1.0,1.022,-0.152,1.481,-1.269,-1.256,0.873,-0.766,-1.340,-0.014,-0.758,-1.397,-1.156,1.560,0.074,-0.637,-0.292,-0.464,0.678,0.326,-0.822,-0.637,0.889,1.491,0.490,0.682,-0.736,-0.512,-2.781,-0.328,0.169,1.341,-1.017,0.154,1.918,-0.246,0.547,0.056,-0.115,0.823,-1.058,0.144,0.785,-1.067,0.653,-0.150,0.712,0.202,-0.195,-1.469,0.161
57,32.0,3.0,1.0,0.556,0.078,-0.141,-0.769,-0.572,0.493,-0.259,-1.207,0.993,-0.489,-0.912,-0.101,1.256,0.092,-0.321,0.820,0.233,1.160,-0.925,-1.496,-0.466,-0.281,0.375,-1.307,1.370,1.139,2.546,-1.645,0.553,0.523,0.647,0.169,0.866,-0.057,1.178,-0.574,0.239,-0.594,1.142,-1.646,0.216,0.311,0.917,-0.332,-0.377,0.682,-1.780,0.520,0.168,1.476
58,26.0,7.0,1.0,-0.042,0.279,0.376,-0.601,0.947,0.273,0.653,0.214,1.827,0.233,-0.991,-1.611,1.443,-0.194,0.214,0.479,2.421,0.910,-0.587,0.751,-0.860,0.479,0.476,-0.491,1.185,0.377,0.376,-0.948,0.516,-0.544,1.329,-2.670,-0.156,0.533,1.257,0.324,0.594,-0.968,-1.149,-0.906,0.181,-0.270,2.901,-0.209,0.892,-0.733,0.269,0.327,-0.805,1.079
59,30.0,4.0,1.0,0.592,0.847,-0.260,-1.049,-1.282,0.106,1.738,-0.140,0.463,-0.935,-0.263,-1.107,-0.131,-0.386,-1.423,0.873,0.245,1.699,0.205,0.536,0.017,0.917,0.677,-1.040,0.174,0.811,0.921,-2.381,1.028,0.786,0.293,1.018,0.297,1.064,1.459,0.300,-1.101,0.622,0.820,-0.353,0.700,0.125,0.310,-0.594,-0.147,1.072,-0.006,0.216,-0.229,0.623
60,4.0,5.0,1.0,0.660,0.962,1.493,-0.908,2.972,0.256,0.524,-0.377,-0.275,0.088,-0.908,-0.543,1.158,-0.154,0.185,0.456,1.418,0.131,-0.258,0.532,-1.752,-0.051,1.209,-0.200,1.191,-1.260,1.516,-1.174,-0.396,1.015,-0.052,-0.359,-1.658,-0.724,-1.088,0.400,-0.790,-0.518,1.160,-0.314,0.361,2.088,-0.575,-0.953,-1.164,0.362,0.876,1.968,-0.480,1.832
61,1.0,9.0,1.0,-0.683,0.346,1.846,-0.175,-0.028,-0.791,1.023,-1.895,1.614,-0.733,-1.125,-1.740,-1.888,-0.340,1.320,0.607,0.683,0.602,-0.460,1.661,-2.334,0.395,1.573,-1.219,1.329,0.398,-0.344,0.232,1.941,2.459,-0.153,-0.026,-0.700,-0.784,1.268,-1.076,0.725,-0.063,0.555,-0.385,-0.319,0.580,0.176,-0.084,2.197,0.001,-0.791,0.742,0.315,1.958
62,27.0,10.0,1.0,-0.349,1.504,1.404,-2.686,1.111,0.236,1.233,-2.602,1.630,-0.994,-1.518,-1.492,0.843,-0.385,1.528,1.337,-0.296,1.123,0.403,-0.918,1.433,0.079,0.453,-2.664,2.342,-0.788,-0.524,-2.492,1.437,1.077,-0.041,-0.211,1.060,0.268,0.697,-0.503,0.639,-0.134,0.353,-0.346,0.498,1.615,-0.551,-0.232,-0.936,-0.588,0.159,0.025,-1.733,1.473
63,21.0,7.0,1.0,-0.599,1.790,-0.163,-0.988,-0.409,-0.497,0.355,-1.146,1.640,-0.195,-1.311,-0.944,1.750,-0.488,0.420,0.668,0.336,0.126,-1.222,-0.766,-0.114,1.229,0.612,-0.388,1.331,-0.851,0.704,-1.273,1.826,-0.332,-0.234,-1.246,0.619,-0.043,0.575,-0.742,-0.693,0.632,0.425,-1.159,1.042,-0.506,0.377,-0.391,-0.045,1.019,-0.316,0.047,-1.487,1.242
64,25.0,1.0,1.0,1.596,1.574,1.153,0.921,-2.374,0.642,0.464,0.307,1.065,0.084,-2.140,-0.242,0.430,-0.166,0.162,0.398,-0.227,1.310,-0.109,0.070,-0.749,-0.220,0.831,-0.675,0.931,-0.968,0.898,0.118,2.122,-1.034,0.783,0.129,-0.027,0.487,0.982,0.176,0.655,-0.318,-0.140,0.424,0.264,0.329,1.093,-0.902,-0.106,0.013,-0.521,0.702,-1.688,1.080
65,22.0,6.0,1.0,0.056,1.483,1.714,-0.948,0.190,-0.069,-0.008,0.204,0.698,-0.664,-2.070,-1.153,0.543,-0.266,-0.112,0.832,0.693,0.655,0.662,0.477,0.783,0.774,2.407,0.458,1.143,-0.059,1.192,-0.239,-0.873,2.529,-0.279,1.301,2.198,0.962,1.108,1.505,-0.127,0.400,-0.154,0.075,1.048,-1.541,-0.121,-0.520,-0.938,0.355,-0.030,0.627,-1.442,1.423
66,16.0,4.0,11.0,0.231,0.009,1.552,1.386,0.194,0.386,1.406,-0.586,-6.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,28.0,4.0,1.0,-0.039,0.741,1.624,-0.592,-1.818,-0.573,0.967,-0.851,-0.258,-0.687,-2.431,-0.030,-0.261,-0.402,-1.264,0.798,2.348,1.231,0.382,1.773,-0.411,0.660,1.788,-1.119,1.551,-0.028,1.085,-0.097,2.031,2.271,-1.012,-1.095,0.663,-0.065,1.311,-0.832,0.105,-0.531,0.257,-0.834,0.495,0.704,-0.027,-0.703,1.983,0.043,-1.266,0.588,-3.060,1.527
68,13.0,3.0,1.0,-0.247,2.260,1.226,-1.258,-0.535,0.062,0.000,-0.210,0.162,0.741,-0.762,-0.782,2.084,0.063,-1.556,0.333,1.760,0.411,-0.568,0.105,-0.204,-0.217,0.015,0.003,1.743,-0.519,2.103,0.075,2.993,3.706,0.683,0.074,-0.341,1.562,0.169,-0.144,1.545,-0.581,-0.752,0.441,0.906,0.850,-0.368,0.450,0.002,0.073,-2.070,0.412,-0.052,0.247
69,25.0,3.0,1.0,-0.812,0.609,0.376,-2.530,-0.700,-0.664,1.695,0.757,0.397,-0.750,-0.980,-2.161,-0.885,1.500,0.564,1.071,0.066,0.220,-0.535,1.413,-0.481,0.099,0.096,-0.896,1.005,0.771,1.241,-1.244,1.857,0.030,-0.531,-0.138,-0.826,1.382,1.350,-1.096,0.481,0.411,0.568,-0.975,0.289,1.738,1.554,0.300,-2.857,0.981,-1.927,1.568,-1.396,1.458
70,24.0,4.0,1.0,0.396,-0.885,1.578,-3.256,0.208,0.397,0.446,0.803,1.123,-1.441,-0.272,-1.841,0.264,0.255,-0.743,0.586,2.330,0.317,0.275,-0.171,-0.174,-0.119,2.138,-2.438,-0.211,-0.009,0.879,-0.406,1.056,-0.777,0.614,-0.876,1.957,-0.353,1.222,-0.004,0.163,0.626,0.048,-1.556,0.778,1.027,-0.114,0.134,0.142,-0.685,-1.291,0.532,-1.980,-0.118
71,21.0,3.0,10.0,0.773,-6.320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,7.0,6.0,1.0,-1.081,0.997,0.995,-0.818,-0.209,0.333,0.701,0.747,0.469,-0.694,-2.118,-0.991,1.056,0.653,2.051,0.994,0.059,0.813,-0.074,-0.093,0.002,0.018,2.289,-0.259,-0.030,0.724,1.244,0.146,0.811,1.583,0.538,-1.150,0.378,1.133,1.830,-0.913,-0.322,0.039,0.422,-1.037,1.342,1.310,0.830,0.350,0.257,-0.417,-1.008,-0.194,-0.186,1.100
73,34.0,10.0,1.0,-0.166,0.232,1.013,-0.471,1.357,0.537,0.655,0.732,0.089,0.268,-0.719,-1.350,0.210,-0.633,1.568,0.197,0.494,-0.249,-1.404,-0.942,-0.419,-0.415,0.043,-1.766,-0.039,-0.667,0.803,-0.937,0.322,0.254,-0.149,-1.718,0.197,0.968,0.244,0.490,-1.315,0.575,1.137,-1.590,0.708,0.056,-1.512,0.198,0.286,1.533,-1.122,0.106,-0.179,0.665
74,23.0,10.0,1.0,0.472,0.578,1.598,-0.979,0.842,-1.416,0.571,0.005,1.700,-0.881,0.786,-1.370,0.982,-0.511,0.359,0.810,0.587,-0.519,-0.080,0.481,-0.231,-0.376,0.107,-0.674,-0.887,-1.423,0.916,-1.249,0.522,-0.697,0.369,-2.273,-0.011,0.388,1.697,-1.174,1.038,-0.421,0.944,-0.611,0.478,-0.615,2.446,0.591,0.174,0.363,0.670,0.208,-1.649,2.005
75,27.0,9.0,1.0,1.157,1.437,-0.354,-0.526,-1.459,0.012,1.389,-0.116,1.526,-0.266,-1.157,-0.778,-0.312,0.257,2.129,0.609,-0.081,1.660,-0.270,-0.750,-0.687,1.157,1.670,-1.384,1.263,1.594,0.159,-0.216,1.227,0.483,1.698,1.156,0.075,1.121,1.112,-1.189,0.334,-0.495,0.204,0.481,0.086,0.165,2.436,0.531,0.027,1.173,0.837,0.578,-1.882,1.047
76,20.0,10.0,1.0,-0.705,0.771,0.486,-1.573,-0.269,0.237,0.447,-2.052,1.034,-0.502,0.544,-1.858,0.412,-0.873,0.626,0.795,0.868,-0.087,0.137,-0.963,-0.873,0.041,0.664,-0.656,0.859,-0.695,1.623,-0.093,1.289,2.748,0.077,-0.818,0.871,0.218,1.162,0.324,0.441,-1.213,0.859,-1.285,-0.032,0.660,-0.088,0.439,-0.754,-0.034,0.157,0.655,-2.398,0.923
77,27.0,5.0,1.0,-0.417,0.257,0.904,-0.917,-1.761,-0.342,0.632,-0.502,1.294,-0.802,-0.624,0.333,-0.836,-0.369,-0.381,1.101,1.787,-2.183,-0.557,0.623,-0.767,0.657,0.465,-1.411,1.178,-1.520,1.396,-0.360,0.761,-1.681,-0.319,-0.109,-0.209,1.452,0.326,-0.436,-0.335,-0.649,0.631,-0.155,0.893,1.472,1.181,-0.498,0.033,0.821,-0.098,0.370,0.172,1.270
78,34.0,2.0,1.0,0.187,0.762,-0.589,-0.439,-0.736,-0.582,0.844,-2.258,0.523,0.160,-1.005,-0.565,1.016,-0.418,1.314,0.276,-0.305,1.946,-0.344,0.639,0.673,0.738,1.772,-0.885,2.712,-1.591,0.917,0.094,0.390,0.788,1.373,-0.440,0.221,1.163,-0.116,-0.045,0.040,-0.073,-0.451,0.182,1.566,-1.968,-0.339,0.234,-1.089,1.194,-0.340,1.150,1.014,1.208
79,10.0,1.0,1.0,-0.794,-0.318,1.938,-1.139,0.975,0.668,1.071,-0.741,0.960,-1.134,-0.231,-0.079,1.567,-1.149,1.872,0.596,1.128,0.542,-0.132,0.551,-1.930,-0.138,0.697,-0.991,2.216,-0.593,1.050,-0.738,1.749,0.956,1.331,-0.840,1.265,0.995,1.688,0.277,1.365,0.046,0.025,0.004,0.626,-0.006,0.724,0.014,1.981,1.042,-0.203,0.794,-1.632,0.960
80,19.0,9.0,1.0,1.551,1.537,0.595,-3.141,-1.512,-0.217,1.659,-0.070,1.690,-0.917,0.048,-1.406,2.799,-0.512,1.796,0.309,1.708,-1.120,-0.115,0.520,0.154,0.354,1.582,-0.161,0.635,-0.573,-0.901,-0.282,1.985,0.801,0.385,0.392,-0.341,0.436,2.103,-0.436,1.016,-0.016,0.894,1.248,0.993,0.169,-0.549,0.138,0.374,-0.170,-0.996,0.439,0.105,0.710
81,2.0,9.0,1.0,0.459,0.346,0.534,-0.005,-0.972,0.551,1.308,-0.744,0.942,-0.534,-1.772,-1.288,1.094,0.675,0.095,0.148,0.432,1.399,-0.909,-0.016,-2.130,-0.202,0.150,-0.640,0.336,0.861,0.537,-1.477,-0.401,-0.604,0.372,-2.005,0.923,-0.266,-0.068,-1.570,2.290,-0.177,0.124,-1.005,1.282,2.871,-0.717,0.103,-0.476,0.601,-1.059,0.451,-0.333,1.001
82,14.0,7.0,1.0,0.069,0.883,1.025,-0.446,0.351,-0.922,0.786,-0.076,0.981,-0.222,-0.337,-2.056,0.533,-0.847,1.380,0.905,-0.627,-1.908,-0.015,-1.307,-0.515,1.185,0.270,-1.444,0.633,-0.324,0.224,-0.805,-0.531,0.558,0.083,-0.974,-0.160,-0.792,0.592,-1.161,-0.224,-0.310,-0.738,0.514,0.555,-0.188,1.755,-0.101,0.904,-0.058,-0.704,0.371,0.183,0.260
83,26.0,3.0,1.0,0.227,0.342,1.024,0.732,1.154,-0.914,0.952,-2.878,1.238,0.376,-0.492,-1.011,1.293,-0.938,0.303,0.757,0.924,1.817,-0.530,0.136,-2.246,0.289,-0.050,-0.624,1.082,-0.128,0.759,-0.530,-0.429,1.021,2.263,-1.443,-1.829,0.424,1.196,-0.206,0.766,1.133,-0.553,-1.054,0.196,2.083,-0.874,0.011,-0.392,0.842,-0.385,0.430,-0.747,-0.041
84,1.0,8.0,1.0,0.475,0.901,1.569,-0.122,0.683,0.028,1.805,-0.722,1.686,-0.217,0.368,-1.135,-0.261,-1.426,-0.078,1.057,2.333,1.462,-0.252,-0.348,-0.347,0.243,0.759,-0.947,0.338,0.093,1.200,0.398,1.038,0.183,0.317,-1.452,-0.452,1.548,0.696,-0.448,1.923,0.293,-0.032,-1.233,1.030,1.268,0.284,-0.068,-0.633,0.009,-1.630,-0.761,-0.591,1.003
85,32.0,8.0,1.0,-0.330,0.541,0.266,-0.676,-0.172,-0.562,0.894,-0.602,0.782,-0.887,-0.689,-0.805,-0.594,-0.903,-0.032,0.772,-0.270,0.069,-0.728,1.668,0.222,0.269,3.361,-0.438,0.759,-0.654,1.616,-0.071,1.306,1.803,0.533,0.069,-0.213,1.765,0.331,-1.175,-0.291,-0.085,0.207,-0.530,0.927,0.910,-1.400,0.137,1.393,1.261,-0.981,0.525,-0.834,0.420
86,15.0,5.0,1.0,-0.085,-0.862,-0.364,0.651,0.896,0.849,1.072,-1.508,0.861,-0.078,-0.391,-0.391,-0.494,-1.606,0.169,0.524,0.647,0.102,0.077,-0.019,-0.620,0.280,-0.313,-0.522,0.942,0.729,0.938,0.640,0.245,1.209,2.144,-0.997,0.078,-1.064,1.035,-0.548,0.285,0.597,-0.933,-1.871,1.023,-0.308,0.004,-0.484,0.515,1.139,-0.068,0.594,1.009,-0.040
87,29.0,1.0,1.0,1.194,-0.003,2.051,0.094,1.669,-0.431,0.574,0.189,0.653,-1.356,-0.991,-0.689,1.872,-1.249,1.258,-0.165,0.822,-0.384,-1.100,0.121,-0.823,0.602,0.979,-0.204,0.681,-0.856,1.764,-0.131,0.722,0.944,1.193,-0.149,0.196,1.586,0.649,0.213,-1.122,-0.736,1.094,-0.705,1.367,0.761,2.202,1.065,0.325,0.690,-1.076,0.324,-0.790,0.438
88,12.0,3.0,1.0,-0.919,1.969,-0.183,-0.065,-2.259,0.263,1.340,-1.478,0.187,0.119,-1.120,-1.849,-0.306,0.193,0.735,0.844,0.672,-3.259,0.748,-0.638,-0.084,0.999,1.499,-0.446,0.716,0.659,0.704,-1.548,0.166,0.400,1.116,-0.594,-0.449,0.952,1.261,0.276,1.277,-0.004,-1.122,-0.906,0.272,-0.211,0.313,0.599,1.998,0.823,-0.752,0.348,-0.142,0.288
89,11.0,2.0,1.0,0.385,1.102,-0.578,-1.014,-0.523,-0.540,0.714,-0.190,1.991,-0.264,-0.306,-1.192,0.958,0.405,0.452,0.615,2.042,-0.510,0.569,-1.473,0.996,0.340,1.428,-2.186,0.564,-0.638,0.454,-1.327,0.689,0.425,0.285,-0.643,0.661,0.226,1.171,0.517,0.580,-0.198,1.369,-0.110,0.983,0.623,2.944,-0.401,0.019,0.650,-1.232,-0.351,-2.418,-0.062
90,10.0,6.0,1.0,-1.766,1.133,0.521,0.097,-3.626,-0.260,0.991,-0.610,0.334,-0.961,0.244,0.073,0.264,0.029,-0.692,-0.153,2.010,0.742,0.412,-1.116,0.138,0.794,1.489,0.020,0.721,-0.197,0.131,-1.280,2.271,0.842,1.786,1.053,0.144,-0.068,0.165,0.013,-0.184,0.224,2.102,-1.330,0.841,-0.753,2.745,-0.149,-1.062,0.650,-0.279,0.507,-1.957,1.732
91,28.0,9.0,1.0,1.685,1.788,0.829,-2.353,-0.375,-1.274,1.546,0.314,-0.379,-0.653,-0.747,0.077,-0.048,0.337,0.457,0.856,1.360,-0.371,-0.796,0.711,0.497,-0.087,0.853,-1.164,0.311,0.257,0.834,0.209,1.571,0.292,0.319,0.311,0.295,0.377,2.224,-0.353,0.284,-0.302,-0.221,0.624,-0.253,0.995,1.912,0.340,1.071,0.083,0.565,0.440,-0.860,0.893
92,9.0,3.0,1.0,0.578,0.503,1.347,-0.645,0.104,-0.131,0.144,-0.435,0.610,0.017,-0.330,-0.866,0.102,-0.690,0.680,0.820,0.766,1.337,-0.964,1.355,-1.280,0.423,0.371,-1.332,1.953,0.738,0.614,0.555,0.576,0.076,-0.601,-3.513,-0.835,0.245,2.014,0.110,0.799,1.618,-0.968,-0.520,1.793,0.949,-0.842,-0.333,-0.367,0.296,-0.249,0.239,-0.449,0.868
93,25.0,7.0,12.0,0.314,0.327,1.103,-1.661,1.038,-0.950,-0.150,0.307,-0.637,-0.464,-0.204,-0.769,1.465,-1.081,-9.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,24.0,5.0,1.0,-0.296,0.383,0.452,0.714,-0.556,-1.048,-1.028,-0.906,-0.123,-0.085,-1.932,-0.962,-0.076,1.224,2.139,-0.839,-0.358,-0.284,-0.673,0.656,0.263,-0.137,0.807,-0.639,1.555,-1.376,0.345,0.198,0.958,0.315,-0.522,-0.122,0.650,0.870,0.619,0.427,1.009,-0.629,-0.897,-1.878,0.405,-0.164,0.590,0.152,-0.725,1.090,-2.463,0.519,-0.283,0.976
95,24.0,1.0,1.0,-0.513,1.452,-0.113,0.487,-0.412,-0.476,0.124,0.895,1.114,-0.173,-0.208,-0.241,1.227,-0.480,1.428,0.428,1.867,1.217,-0.083,1.242,-1.038,0.356,1.134,-0.503,1.067,0.257,1.162,-1.266,-1.123,0.295,1.264,-0.156,0.903,0.461,0.586,-0.042,2.296,0.087,-0.794,-0.435,0.518,-0.337,0.737,0.083,-0.036,0.041,-0.567,0.308,0.095,1.180
96,2.0,2.0,1.0,0.123,0.375,0.360,-0.607,0.696,0.430,0.778,0.695,1.303,-1.063,-1.937,-0.097,-0.315,-0.524,0.718,-1.088,0.949,1.378,-0.468,-0.749,0.515,0.022,-0.401,-0.257,0.501,-0.937,2.060,-1.218,2.338,0.833,-0.087,-0.718,0.955,0.862,0.515,-0.612,2.299,0.019,-1.512,-2.241,0.474,0.176,0.505,-0.069,-0.582,0.245,-0.184,0.681,0.538,1.570
97,15.0,7.0,13.0,0.132,0.579,0.516,-1.089,-0.926,0.462,1.805,-0.440,1.226,-1.628,-2.142,-1.107,0.620,0.713,1.517,0.345,0.528,1.194,-0.737,0.688,0.093,-5.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,34.0,7.0,1.0,-0.096,-0.863,0.463,-0.499,0.481,0.211,-0.735,-0.132,0.808,-0.287,-0.899,-1.459,0.993,0.386,1.545,0.545,-0.744,1.171,-0.347,1.695,-0.995,0.197,0.795,-0.559,1.579,-0.152,-0.339,-0.294,0.955,1.177,2.349,0.468,0.012,0.919,0.920,-0.905,0.095,0.675,-0.520,-1.299,0.326,1.582,-0.872,-0.364,-0.022,1.307,0.513,-0.534,-2.661,1.593
99,33.0,10.0,1.0,-1.327,-0.291,-0.797,-2.548,0.649,0.499,-0.773,0.503,1.723,-0.882,0.549,-1.214,0.809,-0.454,1.575,0.992,-0.445,0.407,-0.301,-0.838,-0.646,0.412,-0.561,-0.831,1.388,0.580,1.222,-0.121,-0.995,1.129,-0.301,-1.678,0.767,0.908,1.009,0.328,0.116,-0.170,0.205,-1.092,1.309,0.298,1.071,-0.794,-0.741,1.398,0.454,0.460,-2.023,1.121
100,10.0,8.0,1.0,0.216,0.782,1.059,-1.724,-1.276,0.364,0.695,-2.234,1.376,-0.786,0.250,-1.444,1.523,-0.829,1.976,0.078,0.127,1.145,0.458,-1.281,-0.970,-0.086,0.429,-1.491,1.491,-0.433,0.954,-1.622,-0.213,1.896,1.756,-0.270,0.681,0.181,1.007,-0.553,-0.917,-0.713,0.625,-1.570,0.453,-0.062,0.418,0.278,0.037,0.306,-0.891,0.240,0.180,0.274
101,3.0,8.0,1.0,0.260,-0.229,0.922,-0.686,0.375,0.198,0.340,0.110,0.979,-0.541,0.545,-1.239,0.451,-0.513,-0.416,0.938,0.133,0.909,-0.409,0.682,-0.160,0.511,1.054,-1.003,0.568,0.020,0.467,0.100,0.976,0.995,-0.305,-1.113,-0.248,0.407,-0.138,0.327,0.445,-0.063,-0.630,-0.301,0.883,1.160,0.738,0.149,0.901,0.083,-0.464,-0.250,-2.014,1.096
102,4.0,8.0,1.0,-1.357,1.371,0.998,-2.131,0.039,-0.994,1.256,0.255,2.070,-0.548,-1.677,-0.260,-0.688,-0.821,-0.194,0.982,1.841,0.828,-0.989,-1.679,-1.548,1.175,-0.765,-1.331,1.050,0.254,1.495,-0.235,1.037,1.412,2.997,-2.218,0.617,0.406,0.572,0.250,-0.221,1.050,1.153,-0.633,0.476,2.132,-0.388,-0.552,-0.044,-0.399,-1.444,0.161,-2.239,1.089
103,8.0,3.0,1.0,0.424,-0.346,-1.617,-1.348,-0.172,0.321,0.183,-1.043,0.825,-0.570,-1.618,-0.625,0.462,-0.932,0.205,0.666,1.876,1.540,0.223,-0.106,-0.309,-0.509,0.161,-0.771,-1.163,0.253,0.803,-0.769,1.357,1.738,-0.908,-1.497,-1.003,1.265,2.082,-0.919,-0.011,-0.040,0.571,-0.281,0.598,-0.720,1.039,-0.220,0.590,1.195,-0.503,0.726,-0.664,0.431
104,29.0,7.0,1.0,0.386,0.508,-1.288,-0.967,-2.017,0.293,0.702,0.029,1.688,-0.607,-0.235,-1.204,0.694,0.153,0.290,0.999,-0.002,0.482,-0.674,1.959,-0.308,-0.095,1.320,-1.029,0.568,1.155,0.389,-1.455,-0.210,1.135,0.015,-1.076,1.464,-0.950,0.365,-0.230,2.454,-0.750,-0.295,0.804,0.516,-0.119,0.326,-1.298,-0.063,-0.429,-1.475,0.084,-0.585,0.811
105,20.0,5.0,1.0,1.165,0.909,-1.836,-0.230,-1.561,-1.423,1.335,-0.170,1.356,-0.713,0.129,-0.471,2.724,-0.346,0.668,1.104,0.271,0.671,-0.139,2.120,-2.161,1.287,1.189,-1.648,1.176,-0.188,1.036,-0.812,0.848,0.493,1.495,-0.311,0.300,0.877,2.319,0.400,-0.221,-0.370,-0.775,-0.772,0.579,-0.933,0.577,0.013,-0.333,-0.550,0.370,0.621,-0.908,1.245
106,18.0,6.0,1.0,-0.162,0.425,-1.433,-1.732,-1.560,-0.856,0.836,0.967,1.307,-0.958,-0.393,-0.471,0.597,-1.041,0.887,-0.469,1.860,-0.676,-0.885,-0.946,0.345,0.488,2.047,-0.221,-0.101,-1.085,1.587,-0.765,1.294,0.527,-0.626,-0.264,0.563,1.700,1.855,0.103,1.766,0.338,-0.674,0.240,1.111,-1.339,0.051,0.333,0.669,-0.590,-0.747,-0.127,-0.115,1.581
107,35.0,9.0,1.0,-1.370,-0.307,2.347,-1.269,-0.786,-0.136,1.042,-1.574,0.447,-0.470,-1.214,-1.257,0.846,-0.016,1.548,2.285,0.875,1.150,-0.257,0.812,-0.148,0.454,1.430,-0.759,2.078,-0.302,-0.931,0.014,1.924,0.610,0.093,1.223,0.502,1.289,0.441,-0.819,-0.459,-0.797,1.133,-1.206,0.927,-1.279,0.291,0.325,0.127,1.079,-0.678,0.545,-0.149,1.019
108,17.0,10.0,1.0,-0.299,-0.211,0.741,-0.140,-0.876,-0.628,0.335,-1.097,2.322,-0.901,-0.776,-1.208,1.116,-0.033,1.003,1.105,1.534,0.035,-0.234,1.004,-1.844,0.094,1.885,-1.153,1.568,1.221,0.431,-1.461,0.807,1.630,-0.924,-0.144,1.480,1.653,1.481,1.908,1.672,1.703,-0.590,-1.756,0.808,1.432,0.825,0.034,-0.956,-0.008,-0.685,0.376,-0.726,0.607
109,18.0,4.0,1.0,-0.491,0.692,-0.235,-0.041,-0.565,0.351,0.464,1.271,1.364,-0.261,-0.994,-1.031,-0.067,0.316,0.334,0.379,0.949,1.934,0.293,-0.443,-0.123,0.443,-0.123,0.087,0.879,-0.449,0.433,-1.715,1.087,0.648,1.194,-0.717,0.822,0.941,1.076,-0.977,-0.923,-0.601,-1.158,0.788,1.873,-0.673,-0.865,0.935,0.997,-0.071,-0.152,0.299,0.252,1.049
110,30.0,2.0,1.0,-1.055,0.472,0.877,-1.221,-1.567,-0.905,1.061,0.524,1.193,0.370,-2.519,-0.454,0.503,-0.590,0.577,0.815,0.753,1.542,-0.183,0.106,0.420,0.085,1.007,-0.846,0.671,0.743,-0.755,-1.073,-1.923,0.922,1.067,-1.804,1.281,0.879,0.944,-1.056,0.713,-0.854,0.323,-0.909,1.003,-0.567,0.214,0.245,-0.132,1.233,-1.985,-0.108,-0.824,0.813
111,32.0,7.0,1.0,0.816,0.297,0.946,-1.465,-1.089,-1.191,0.212,-2.244,1.111,0.147,-1.356,-1.677,1.703,0.781,0.208,0.859,0.329,-0.086,-0.245,1.398,0.075,0.720,1.800,0.092,0.225,-0.263,1.173,-1.265,1.897,2.071,-1.462,-2.367,0.546,1.313,0.504,-0.461,0.044,-1.183,0.859,0.580,1.049,-0.024,1.678,0.616,1.060,0.978,-0.218,-0.309,-0.551,0.897
112,4.0,3.0,1.0,-1.148,0.700,-1.377,-1.863,-3.103,-0.244,0.757,-0.965,0.889,-0.962,-1.057,-0.989,-0.414,0.297,1.696,1.553,1.419,0.463,-0.827,-0.275,-0.465,0.063,0.959,-0.746,0.975,2.015,0.328,-0.960,1.402,0.093,-0.213,-1.541,-1.131,-0.976,1.095,-0.046,0.381,0.043,-0.668,0.202,1.230,0.004,-1.395,-0.252,-0.390,1.004,-0.394,0.964,-0.208,0.382
113,15.0,3.0,1.0,-0.105,1.045,1.155,0.244,0.267,-0.005,1.057,-0.644,1.585,-2.416,-0.707,-1.133,1.213,-0.572,0.924,-0.048,1.559,-0.468,0.028,0.225,0.861,0.313,-1.359,-0.635,-1.537,-0.114,1.063,-2.065,0.939,0.592,1.911,1.267,0.798,0.114,0.828,-1.293,-0.546,-0.734,0.016,-0.734,0.729,-1.400,-0.387,0.360,-0.987,0.099,0.020,0.411,-2.496,0.240
